Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481290000000003,LAUCN481290000000004,LAUCN481290000000005,LAUCN481290000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Donley County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1726,1603,123,7.1
2010,Feb,1792,1665,127,7.1
2010,Mar,1761,1640,121,6.9
2010,Apr,1829,1707,122,6.7
2010,May,1863,1742,121,6.5
2010,Jun,1866,1732,134,7.2
2010,Jul,1796,1662,134,7.5
2010,Aug,1780,1648,132,7.4
2010,Sep,1792,1669,123,6.9
2010,Oct,1850,1730,120,6.5
2010,Nov,1821,1701,120,6.6
2010,Dec,1835,1718,117,6.4
2011,Jan,1802,1674,128,7.1
2011,Feb,1788,1676,112,6.3
2011,Mar,1796,1687,109,6.1
2011,Apr,1831,1717,114,6.2
2011,May,1856,1738,118,6.4
2011,Jun,1866,1726,140,7.5
2011,Jul,1792,1662,130,7.3
2011,Aug,1782,1658,124,7.0
2011,Sep,1801,1683,118,6.6
2011,Oct,1804,1698,106,5.9
2011,Nov,1817,1715,102,5.6
2011,Dec,1825,1728,97,5.3
2012,Jan,1710,1607,103,6.0
2012,Feb,1689,1589,100,5.9
2012,Mar,1705,1611,94,5.5
2012,Apr,1728,1637,91,5.3
2012,May,1745,1647,98,5.6
2012,Jun,1727,1606,121,7.0
2012,Jul,1682,1565,117,7.0
2012,Aug,1668,1555,113,6.8
2012,Sep,1687,1593,94,5.6
2012,Oct,1735,1642,93,5.4
2012,Nov,1727,1635,92,5.3
2012,Dec,1711,1616,95,5.6
2013,Jan,1902,1802,100,5.3
2013,Feb,2009,1907,102,5.1
2013,Mar,2127,2031,96,4.5
2013,Apr,2286,2190,96,4.2
2013,May,2369,2265,104,4.4
2013,Jun,2373,2255,118,5.0
2013,Jul,2095,1978,117,5.6
2013,Aug,1827,1714,113,6.2
2013,Sep,1792,1686,106,5.9
2013,Oct,1744,1650,94,5.4
2013,Nov,1686,1599,87,5.2
2013,Dec,1650,1568,82,5.0
2014,Jan,1633,1550,83,5.1
2014,Feb,1643,1560,83,5.1
2014,Mar,1645,1567,78,4.7
2014,Apr,1657,1594,63,3.8
2014,May,1657,1576,81,4.9
2014,Jun,1641,1550,91,5.5
2014,Jul,1605,1509,96,6.0
2014,Aug,1559,1469,90,5.8
2014,Sep,1612,1535,77,4.8
2014,Oct,1624,1553,71,4.4
2014,Nov,1602,1537,65,4.1
2014,Dec,1580,1521,59,3.7
2015,Jan,1601,1530,71,4.4
2015,Feb,1618,1556,62,3.8
2015,Mar,1638,1579,59,3.6
2015,Apr,1646,1592,54,3.3
2015,May,1660,1598,62,3.7
2015,Jun,1663,1586,77,4.6
2015,Jul,1577,1498,79,5.0
2015,Aug,1512,1438,74,4.9
2015,Sep,1543,1471,72,4.7
2015,Oct,1568,1504,64,4.1
2015,Nov,1546,1487,59,3.8
2015,Dec,1545,1485,60,3.9
2016,Jan,1521,1462,59,3.9
2016,Feb,1584,1521,63,4.0
2016,Mar,1586,1525,61,3.8
2016,Apr,1619,1561,58,3.6
2016,May,1599,1543,56,3.5
2016,Jun,1609,1533,76,4.7
2016,Jul,1526,1450,76,5.0
2016,Aug,1529,1457,72,4.7
2016,Sep,1509,1447,62,4.1
2016,Oct,1536,1479,57,3.7
2016,Nov,1535,1476,59,3.8
2016,Dec,1514,1456,58,3.8
2017,Jan,1488,1431,57,3.8
2017,Feb,1506,1444,62,4.1
2017,Mar,1554,1497,57,3.7
2017,Apr,1556,1504,52,3.3
2017,May,1539,1487,52,3.4
2017,Jun,1562,1498,64,4.1
2017,Jul,1452,1390,62,4.3
2017,Aug,1442,1386,56,3.9
2017,Sep,1451,1406,45,3.1
2017,Oct,1503,1460,43,2.9
2017,Nov,1498,1446,52,3.5
2017,Dec,1493,1443,50,3.3
2018,Jan,1466,1416,50,3.4
2018,Feb,1485,1436,49,3.3
2018,Mar,1521,1473,48,3.2
2018,Apr,1498,1455,43,2.9
2018,May,1643,1597,46,2.8
2018,Jun,1752,1685,67,3.8
2018,Jul,1662,1596,66,4.0
2018,Aug,1615,1552,63,3.9
2018,Sep,1532,1479,53,3.5
2018,Oct,1553,1501,52,3.3
2018,Nov,1494,1446,48,3.2
2018,Dec,1478,1424,54,3.7
2019,Jan,1459,1393,66,4.5
2019,Feb,1480,1428,52,3.5
2019,Mar,1470,1423,47,3.2
2019,Apr,1475,1439,36,2.4
2019,May,1484,1443,41,2.8
2019,Jun,1487,1430,57,3.8
2019,Jul,1401,1343,58,4.1
2019,Aug,1412,1353,59,4.2
2019,Sep,1389,1342,47,3.4
2019,Oct,1429,1384,45,3.1
2019,Nov,1393,1348,45,3.2
2019,Dec,1390,1347,43,3.1
2020,Jan,1381,1329,52,3.8
2020,Feb,1393,1347,46,3.3
2020,Mar,1385,1318,67,4.8
2020,Apr,1152,1087,65,5.6
