Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481310000000003,LAUCN481310000000004,LAUCN481310000000005,LAUCN481310000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Duval County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,4856,4223,633,13.0
2010,Feb,4881,4269,612,12.5
2010,Mar,4954,4334,620,12.5
2010,Apr,4991,4411,580,11.6
2010,May,4993,4419,574,11.5
2010,Jun,5087,4477,610,12.0
2010,Jul,5070,4476,594,11.7
2010,Aug,5090,4516,574,11.3
2010,Sep,5108,4551,557,10.9
2010,Oct,5114,4561,553,10.8
2010,Nov,5152,4586,566,11.0
2010,Dec,5148,4607,541,10.5
2011,Jan,5136,4580,556,10.8
2011,Feb,5172,4620,552,10.7
2011,Mar,5184,4664,520,10.0
2011,Apr,5136,4664,472,9.2
2011,May,5169,4697,472,9.1
2011,Jun,5258,4743,515,9.8
2011,Jul,5224,4718,506,9.7
2011,Aug,5195,4709,486,9.4
2011,Sep,5298,4824,474,8.9
2011,Oct,5241,4792,449,8.6
2011,Nov,5245,4807,438,8.4
2011,Dec,5257,4835,422,8.0
2012,Jan,5222,4817,405,7.8
2012,Feb,5284,4895,389,7.4
2012,Mar,5327,4932,395,7.4
2012,Apr,5375,5003,372,6.9
2012,May,5464,5084,380,7.0
2012,Jun,5566,5146,420,7.5
2012,Jul,5504,5093,411,7.5
2012,Aug,5423,5041,382,7.0
2012,Sep,5559,5202,357,6.4
2012,Oct,5523,5169,354,6.4
2012,Nov,5463,5116,347,6.4
2012,Dec,5463,5103,360,6.6
2013,Jan,5439,5062,377,6.9
2013,Feb,5468,5101,367,6.7
2013,Mar,5485,5134,351,6.4
2013,Apr,5558,5220,338,6.1
2013,May,5586,5231,355,6.4
2013,Jun,5658,5257,401,7.1
2013,Jul,5617,5217,400,7.1
2013,Aug,5593,5238,355,6.3
2013,Sep,5579,5232,347,6.2
2013,Oct,5537,5197,340,6.1
2013,Nov,5506,5196,310,5.6
2013,Dec,5480,5172,308,5.6
2014,Jan,5487,5180,307,5.6
2014,Feb,5520,5184,336,6.1
2014,Mar,5554,5223,331,6.0
2014,Apr,5598,5307,291,5.2
2014,May,5637,5331,306,5.4
2014,Jun,5626,5300,326,5.8
2014,Jul,5557,5224,333,6.0
2014,Aug,5480,5146,334,6.1
2014,Sep,5537,5239,298,5.4
2014,Oct,5545,5253,292,5.3
2014,Nov,5470,5186,284,5.2
2014,Dec,5423,5162,261,4.8
2015,Jan,5556,5256,300,5.4
2015,Feb,5503,5170,333,6.1
2015,Mar,5452,5097,355,6.5
2015,Apr,5352,4952,400,7.5
2015,May,5332,4887,445,8.3
2015,Jun,5287,4833,454,8.6
2015,Jul,5128,4665,463,9.0
2015,Aug,5049,4614,435,8.6
2015,Sep,5089,4621,468,9.2
2015,Oct,5059,4597,462,9.1
2015,Nov,5074,4588,486,9.6
2015,Dec,4983,4514,469,9.4
2016,Jan,4872,4393,479,9.8
2016,Feb,4944,4425,519,10.5
2016,Mar,4975,4415,560,11.3
2016,Apr,4939,4373,566,11.5
2016,May,4874,4352,522,10.7
2016,Jun,4887,4304,583,11.9
2016,Jul,4828,4271,557,11.5
2016,Aug,4844,4286,558,11.5
2016,Sep,4869,4313,556,11.4
2016,Oct,4886,4371,515,10.5
2016,Nov,4852,4355,497,10.2
2016,Dec,4805,4327,478,9.9
2017,Jan,4882,4382,500,10.2
2017,Feb,4894,4415,479,9.8
2017,Mar,4878,4442,436,8.9
2017,Apr,4828,4420,408,8.5
2017,May,4837,4467,370,7.6
2017,Jun,4838,4465,373,7.7
2017,Jul,4756,4410,346,7.3
2017,Aug,4736,4381,355,7.5
2017,Sep,4819,4499,320,6.6
2017,Oct,4745,4466,279,5.9
2017,Nov,4682,4401,281,6.0
2017,Dec,4722,4452,270,5.7
2018,Jan,4938,4650,288,5.8
2018,Feb,4965,4680,285,5.7
2018,Mar,5066,4792,274,5.4
2018,Apr,5072,4820,252,5.0
2018,May,5065,4819,246,4.9
2018,Jun,5081,4789,292,5.7
2018,Jul,5071,4778,293,5.8
2018,Aug,5052,4798,254,5.0
2018,Sep,5086,4820,266,5.2
2018,Oct,5163,4924,239,4.6
2018,Nov,5127,4889,238,4.6
2018,Dec,5092,4860,232,4.6
2019,Jan,5053,4803,250,4.9
2019,Feb,5005,4777,228,4.6
2019,Mar,5013,4785,228,4.5
2019,Apr,4957,4775,182,3.7
2019,May,4976,4794,182,3.7
2019,Jun,4995,4763,232,4.6
2019,Jul,4948,4708,240,4.9
2019,Aug,4942,4704,238,4.8
2019,Sep,4919,4714,205,4.2
2019,Oct,4944,4734,210,4.2
2019,Nov,4920,4691,229,4.7
2019,Dec,4919,4678,241,4.9
2020,Jan,4929,4664,265,5.4
2020,Feb,4934,4677,257,5.2
2020,Mar,4922,4562,360,7.3
2020,Apr,4535,3836,699,15.4
