Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481330000000003,LAUCN481330000000004,LAUCN481330000000005,LAUCN481330000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Eastland County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,7816,7076,740,9.5
2010,Feb,7875,7134,741,9.4
2010,Mar,7978,7267,711,8.9
2010,Apr,8101,7405,696,8.6
2010,May,8041,7365,676,8.4
2010,Jun,8177,7415,762,9.3
2010,Jul,8043,7314,729,9.1
2010,Aug,8146,7449,697,8.6
2010,Sep,8179,7508,671,8.2
2010,Oct,8285,7632,653,7.9
2010,Nov,8341,7659,682,8.2
2010,Dec,8379,7721,658,7.9
2011,Jan,8278,7593,685,8.3
2011,Feb,8309,7654,655,7.9
2011,Mar,8427,7785,642,7.6
2011,Apr,8385,7780,605,7.2
2011,May,8430,7810,620,7.4
2011,Jun,8591,7846,745,8.7
2011,Jul,8504,7786,718,8.4
2011,Aug,8433,7751,682,8.1
2011,Sep,8487,7834,653,7.7
2011,Oct,8439,7828,611,7.2
2011,Nov,8388,7810,578,6.9
2011,Dec,8383,7827,556,6.6
2012,Jan,8065,7467,598,7.4
2012,Feb,8290,7701,589,7.1
2012,Mar,8324,7771,553,6.6
2012,Apr,8283,7786,497,6.0
2012,May,8301,7765,536,6.5
2012,Jun,8423,7784,639,7.6
2012,Jul,8278,7650,628,7.6
2012,Aug,8212,7650,562,6.8
2012,Sep,8262,7757,505,6.1
2012,Oct,8285,7783,502,6.1
2012,Nov,8279,7782,497,6.0
2012,Dec,8201,7700,501,6.1
2013,Jan,8364,7811,553,6.6
2013,Feb,8299,7772,527,6.4
2013,Mar,8312,7795,517,6.2
2013,Apr,8477,7997,480,5.7
2013,May,8582,8065,517,6.0
2013,Jun,8574,7961,613,7.1
2013,Jul,8621,8046,575,6.7
2013,Aug,8606,8085,521,6.1
2013,Sep,8668,8166,502,5.8
2013,Oct,8681,8204,477,5.5
2013,Nov,8647,8177,470,5.4
2013,Dec,8529,8090,439,5.1
2014,Jan,8395,7958,437,5.2
2014,Feb,8435,7995,440,5.2
2014,Mar,8411,7986,425,5.1
2014,Apr,8324,7965,359,4.3
2014,May,8415,8008,407,4.8
2014,Jun,8362,7920,442,5.3
2014,Jul,8280,7813,467,5.6
2014,Aug,8220,7775,445,5.4
2014,Sep,8336,7939,397,4.8
2014,Oct,8387,8027,360,4.3
2014,Nov,8519,8158,361,4.2
2014,Dec,8388,8068,320,3.8
2015,Jan,8332,7961,371,4.5
2015,Feb,8377,8022,355,4.2
2015,Mar,8241,7884,357,4.3
2015,Apr,8162,7820,342,4.2
2015,May,8190,7813,377,4.6
2015,Jun,8073,7654,419,5.2
2015,Jul,7902,7500,402,5.1
2015,Aug,7847,7462,385,4.9
2015,Sep,7933,7555,378,4.8
2015,Oct,7909,7515,394,5.0
2015,Nov,7813,7409,404,5.2
2015,Dec,7710,7323,387,5.0
2016,Jan,7455,7040,415,5.6
2016,Feb,7518,7116,402,5.3
2016,Mar,7507,7092,415,5.5
2016,Apr,7586,7200,386,5.1
2016,May,7444,7058,386,5.2
2016,Jun,7518,7074,444,5.9
2016,Jul,7163,6728,435,6.1
2016,Aug,7143,6728,415,5.8
2016,Sep,7394,6996,398,5.4
2016,Oct,7437,7056,381,5.1
2016,Nov,7468,7096,372,5.0
2016,Dec,7368,6981,387,5.3
2017,Jan,7528,7100,428,5.7
2017,Feb,7814,7409,405,5.2
2017,Mar,7961,7598,363,4.6
2017,Apr,7852,7526,326,4.2
2017,May,7865,7544,321,4.1
2017,Jun,7841,7479,362,4.6
2017,Jul,7790,7436,354,4.5
2017,Aug,7803,7448,355,4.5
2017,Sep,8000,7691,309,3.9
2017,Oct,8062,7782,280,3.5
2017,Nov,8385,8095,290,3.5
2017,Dec,8394,8118,276,3.3
2018,Jan,8122,7817,305,3.8
2018,Feb,8354,8052,302,3.6
2018,Mar,8647,8347,300,3.5
2018,Apr,8507,8238,269,3.2
2018,May,8710,8436,274,3.1
2018,Jun,8761,8419,342,3.9
2018,Jul,8737,8428,309,3.5
2018,Aug,8751,8452,299,3.4
2018,Sep,8854,8582,272,3.1
2018,Oct,8863,8604,259,2.9
2018,Nov,8914,8657,257,2.9
2018,Dec,8855,8590,265,3.0
2019,Jan,8672,8369,303,3.5
2019,Feb,8708,8427,281,3.2
2019,Mar,8700,8424,276,3.2
2019,Apr,8424,8182,242,2.9
2019,May,8399,8140,259,3.1
2019,Jun,8285,7977,308,3.7
2019,Jul,8176,7871,305,3.7
2019,Aug,8185,7885,300,3.7
2019,Sep,8134,7871,263,3.2
2019,Oct,8202,7939,263,3.2
2019,Nov,8201,7947,254,3.1
2019,Dec,8163,7921,242,3.0
2020,Jan,8120,7796,324,4.0
2020,Feb,8168,7879,289,3.5
2020,Mar,8118,7710,408,5.0
2020,Apr,6754,6147,607,9.0
