Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481350000000003,LAUCN481350000000004,LAUCN481350000000005,LAUCN481350000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Ector County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,66523,60075,6448,9.7
2010,Feb,66865,60710,6155,9.2
2010,Mar,67147,61163,5984,8.9
2010,Apr,68172,62396,5776,8.5
2010,May,67681,62053,5628,8.3
2010,Jun,67773,61871,5902,8.7
2010,Jul,68365,62602,5763,8.4
2010,Aug,68343,62713,5630,8.2
2010,Sep,69023,63713,5310,7.7
2010,Oct,69112,63906,5206,7.5
2010,Nov,69551,64302,5249,7.5
2010,Dec,69678,64795,4883,7.0
2011,Jan,70406,65370,5036,7.2
2011,Feb,70781,66001,4780,6.8
2011,Mar,71426,66865,4561,6.4
2011,Apr,71801,67428,4373,6.1
2011,May,72275,67900,4375,6.1
2011,Jun,72758,67815,4943,6.8
2011,Jul,73257,68442,4815,6.6
2011,Aug,73288,68666,4622,6.3
2011,Sep,73855,69465,4390,5.9
2011,Oct,74545,70449,4096,5.5
2011,Nov,74599,70789,3810,5.1
2011,Dec,74717,71085,3632,4.9
2012,Jan,75089,71276,3813,5.1
2012,Feb,75538,71856,3682,4.9
2012,Mar,75929,72392,3537,4.7
2012,Apr,76264,72950,3314,4.3
2012,May,76812,73329,3483,4.5
2012,Jun,76921,72946,3975,5.2
2012,Jul,77675,73689,3986,5.1
2012,Aug,77438,73744,3694,4.8
2012,Sep,78506,75175,3331,4.2
2012,Oct,78751,75477,3274,4.2
2012,Nov,77931,74756,3175,4.1
2012,Dec,77862,74686,3176,4.1
2013,Jan,78430,74731,3699,4.7
2013,Feb,78464,75043,3421,4.4
2013,Mar,77930,74646,3284,4.2
2013,Apr,78617,75451,3166,4.0
2013,May,78900,75444,3456,4.4
2013,Jun,78742,74804,3938,5.0
2013,Jul,79073,75295,3778,4.8
2013,Aug,78553,75009,3544,4.5
2013,Sep,79213,75834,3379,4.3
2013,Oct,78571,75313,3258,4.1
2013,Nov,79133,76047,3086,3.9
2013,Dec,79371,76438,2933,3.7
2014,Jan,80242,77134,3108,3.9
2014,Feb,80925,77798,3127,3.9
2014,Mar,81118,78097,3021,3.7
2014,Apr,81099,78551,2548,3.1
2014,May,81393,78542,2851,3.5
2014,Jun,82146,79063,3083,3.8
2014,Jul,83157,79928,3229,3.9
2014,Aug,82999,80031,2968,3.6
2014,Sep,83859,81153,2706,3.2
2014,Oct,84222,81671,2551,3.0
2014,Nov,84338,81860,2478,2.9
2014,Dec,84248,81866,2382,2.8
2015,Jan,83630,80747,2883,3.4
2015,Feb,82631,79557,3074,3.7
2015,Mar,81740,78488,3252,4.0
2015,Apr,80865,77566,3299,4.1
2015,May,79990,76301,3689,4.6
2015,Jun,79706,75722,3984,5.0
2015,Jul,79305,75238,4067,5.1
2015,Aug,78602,74707,3895,5.0
2015,Sep,78388,74389,3999,5.1
2015,Oct,77805,73727,4078,5.2
2015,Nov,77472,73341,4131,5.3
2015,Dec,77291,73263,4028,5.2
2016,Jan,77341,73115,4226,5.5
2016,Feb,77434,72964,4470,5.8
2016,Mar,76855,71994,4861,6.3
2016,Apr,76312,71381,4931,6.5
2016,May,75414,70562,4852,6.4
2016,Jun,75442,70007,5435,7.2
2016,Jul,75945,70521,5424,7.1
2016,Aug,75830,70493,5337,7.0
2016,Sep,76277,71083,5194,6.8
2016,Oct,75649,70939,4710,6.2
2016,Nov,75791,71418,4373,5.8
2016,Dec,75830,71607,4223,5.6
2017,Jan,75968,71609,4359,5.7
2017,Feb,76598,72497,4101,5.4
2017,Mar,76613,72870,3743,4.9
2017,Apr,77033,73706,3327,4.3
2017,May,77132,73951,3181,4.1
2017,Jun,77583,74332,3251,4.2
2017,Jul,79166,75994,3172,4.0
2017,Aug,79074,75963,3111,3.9
2017,Sep,80504,77735,2769,3.4
2017,Oct,80432,77898,2534,3.2
2017,Nov,81383,78780,2603,3.2
2017,Dec,81280,78800,2480,3.1
2018,Jan,81928,79267,2661,3.2
2018,Feb,83251,80681,2570,3.1
2018,Mar,83746,81295,2451,2.9
2018,Apr,84899,82731,2168,2.6
2018,May,84938,82807,2131,2.5
2018,Jun,85499,82976,2523,3.0
2018,Jul,86439,84060,2379,2.8
2018,Aug,85808,83483,2325,2.7
2018,Sep,87281,85123,2158,2.5
2018,Oct,87446,85380,2066,2.4
2018,Nov,88027,85983,2044,2.3
2018,Dec,88484,86369,2115,2.4
2019,Jan,88135,85741,2394,2.7
2019,Feb,88895,86659,2236,2.5
2019,Mar,88268,86124,2144,2.4
2019,Apr,88227,86437,1790,2.0
2019,May,87802,85848,1954,2.2
2019,Jun,87649,85252,2397,2.7
2019,Jul,88454,85933,2521,2.9
2019,Aug,87710,85163,2547,2.9
2019,Sep,88187,85802,2385,2.7
2019,Oct,88389,85963,2426,2.7
2019,Nov,88379,85816,2563,2.9
2019,Dec,88129,85565,2564,2.9
2020,Jan,87996,85003,2993,3.4
2020,Feb,88372,85445,2927,3.3
2020,Mar,86622,82541,4081,4.7
2020,Apr,79055,68405,10650,13.5
