Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481370000000003,LAUCN481370000000004,LAUCN481370000000005,LAUCN481370000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Edwards County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1044,959,85,8.1
2010,Feb,1026,947,79,7.7
2010,Mar,1049,974,75,7.1
2010,Apr,1058,986,72,6.8
2010,May,1047,972,75,7.2
2010,Jun,1088,1004,84,7.7
2010,Jul,1054,973,81,7.7
2010,Aug,1044,974,70,6.7
2010,Sep,1026,954,72,7.0
2010,Oct,991,927,64,6.5
2010,Nov,1009,938,71,7.0
2010,Dec,1003,943,60,6.0
2011,Jan,989,924,65,6.6
2011,Feb,981,913,68,6.9
2011,Mar,996,928,68,6.8
2011,Apr,998,936,62,6.2
2011,May,1007,942,65,6.5
2011,Jun,1047,971,76,7.3
2011,Jul,1001,926,75,7.5
2011,Aug,1013,943,70,6.9
2011,Sep,985,920,65,6.6
2011,Oct,954,893,61,6.4
2011,Nov,961,904,57,5.9
2011,Dec,964,913,51,5.3
2012,Jan,937,880,57,6.1
2012,Feb,908,851,57,6.3
2012,Mar,924,870,54,5.8
2012,Apr,921,870,51,5.5
2012,May,913,859,54,5.9
2012,Jun,967,905,62,6.4
2012,Jul,956,886,70,7.3
2012,Aug,937,871,66,7.0
2012,Sep,929,867,62,6.7
2012,Oct,926,865,61,6.6
2012,Nov,911,855,56,6.1
2012,Dec,891,830,61,6.8
2013,Jan,886,820,66,7.4
2013,Feb,875,816,59,6.7
2013,Mar,869,814,55,6.3
2013,Apr,891,839,52,5.8
2013,May,902,850,52,5.8
2013,Jun,961,901,60,6.2
2013,Jul,964,910,54,5.6
2013,Aug,936,885,51,5.4
2013,Sep,889,842,47,5.3
2013,Oct,893,848,45,5.0
2013,Nov,885,840,45,5.1
2013,Dec,888,844,44,5.0
2014,Jan,852,808,44,5.2
2014,Feb,871,829,42,4.8
2014,Mar,864,822,42,4.9
2014,Apr,865,832,33,3.8
2014,May,885,851,34,3.8
2014,Jun,897,860,37,4.1
2014,Jul,906,868,38,4.2
2014,Aug,890,846,44,4.9
2014,Sep,864,829,35,4.1
2014,Oct,853,820,33,3.9
2014,Nov,839,805,34,4.1
2014,Dec,830,801,29,3.5
2015,Jan,843,809,34,4.0
2015,Feb,864,823,41,4.7
2015,Mar,869,832,37,4.3
2015,Apr,858,828,30,3.5
2015,May,890,843,47,5.3
2015,Jun,911,862,49,5.4
2015,Jul,910,863,47,5.2
2015,Aug,859,816,43,5.0
2015,Sep,865,822,43,5.0
2015,Oct,844,806,38,4.5
2015,Nov,832,795,37,4.4
2015,Dec,840,805,35,4.2
2016,Jan,821,784,37,4.5
2016,Feb,861,821,40,4.6
2016,Mar,869,829,40,4.6
2016,Apr,849,813,36,4.2
2016,May,865,829,36,4.2
2016,Jun,891,842,49,5.5
2016,Jul,869,822,47,5.4
2016,Aug,871,828,43,4.9
2016,Sep,862,820,42,4.9
2016,Oct,884,844,40,4.5
2016,Nov,877,843,34,3.9
2016,Dec,874,838,36,4.1
2017,Jan,875,838,37,4.2
2017,Feb,892,854,38,4.3
2017,Mar,906,872,34,3.8
2017,Apr,891,862,29,3.3
2017,May,905,876,29,3.2
2017,Jun,918,889,29,3.2
2017,Jul,941,912,29,3.1
2017,Aug,950,920,30,3.2
2017,Sep,900,877,23,2.6
2017,Oct,917,895,22,2.4
2017,Nov,895,870,25,2.8
2017,Dec,878,854,24,2.7
2018,Jan,859,835,24,2.8
2018,Feb,860,835,25,2.9
2018,Mar,901,875,26,2.9
2018,Apr,872,851,21,2.4
2018,May,881,859,22,2.5
2018,Jun,897,870,27,3.0
2018,Jul,885,858,27,3.1
2018,Aug,909,880,29,3.2
2018,Sep,886,863,23,2.6
2018,Oct,882,861,21,2.4
2018,Nov,887,864,23,2.6
2018,Dec,875,849,26,3.0
2019,Jan,917,885,32,3.5
2019,Feb,944,914,30,3.2
2019,Mar,979,951,28,2.9
2019,Apr,978,958,20,2.0
2019,May,1015,994,21,2.1
2019,Jun,1051,1026,25,2.4
2019,Jul,1075,1050,25,2.3
2019,Aug,1136,1114,22,1.9
2019,Sep,1140,1117,23,2.0
2019,Oct,1151,1130,21,1.8
2019,Nov,1132,1112,20,1.8
2019,Dec,1126,1108,18,1.6
2020,Jan,1138,1114,24,2.1
2020,Feb,1145,1121,24,2.1
2020,Mar,1140,1105,35,3.1
2020,Apr,949,916,33,3.5
