Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481410000000003,LAUCN481410000000004,LAUCN481410000000005,LAUCN481410000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"El Paso County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,335772,304358,31414,9.4
2010,Feb,336726,306013,30713,9.1
2010,Mar,338934,308494,30440,9.0
2010,Apr,342052,312612,29440,8.6
2010,May,341003,311537,29466,8.6
2010,Jun,341124,309380,31744,9.3
2010,Jul,338121,305763,32358,9.6
2010,Aug,339616,307641,31975,9.4
2010,Sep,344144,312553,31591,9.2
2010,Oct,342765,311530,31235,9.1
2010,Nov,345084,312379,32705,9.5
2010,Dec,344742,313282,31460,9.1
2011,Jan,346687,312895,33792,9.7
2011,Feb,346490,313460,33030,9.5
2011,Mar,346013,313823,32190,9.3
2011,Apr,346657,315164,31493,9.1
2011,May,346796,314568,32228,9.3
2011,Jun,347041,311626,35415,10.2
2011,Jul,345553,310673,34880,10.1
2011,Aug,345596,311571,34025,9.8
2011,Sep,349570,315915,33655,9.6
2011,Oct,346862,314421,32441,9.4
2011,Nov,346840,315982,30858,8.9
2011,Dec,346873,316743,30130,8.7
2012,Jan,346338,315186,31152,9.0
2012,Feb,347931,316849,31082,8.9
2012,Mar,347473,317468,30005,8.6
2012,Apr,347170,318798,28372,8.2
2012,May,348489,318842,29647,8.5
2012,Jun,347200,314907,32293,9.3
2012,Jul,346912,314785,32127,9.3
2012,Aug,345041,314799,30242,8.8
2012,Sep,347651,319370,28281,8.1
2012,Oct,349154,321182,27972,8.0
2012,Nov,348115,320941,27174,7.8
2012,Dec,348677,320964,27713,7.9
2013,Jan,348172,317863,30309,8.7
2013,Feb,347551,318635,28916,8.3
2013,Mar,346211,318548,27663,8.0
2013,Apr,347254,320747,26507,7.6
2013,May,349298,321429,27869,8.0
2013,Jun,347006,316639,30367,8.8
2013,Jul,345636,316668,28968,8.4
2013,Aug,345744,318186,27558,8.0
2013,Sep,348024,321398,26626,7.7
2013,Oct,346106,319948,26158,7.6
2013,Nov,348337,323445,24892,7.1
2013,Dec,347344,323870,23474,6.8
2014,Jan,348312,323824,24488,7.0
2014,Feb,348775,324291,24484,7.0
2014,Mar,348725,325096,23629,6.8
2014,Apr,346631,325862,20769,6.0
2014,May,347019,324885,22134,6.4
2014,Jun,344982,321568,23414,6.8
2014,Jul,343218,318975,24243,7.1
2014,Aug,343102,319582,23520,6.9
2014,Sep,342629,321113,21516,6.3
2014,Oct,342417,322398,20019,5.8
2014,Nov,342803,323202,19601,5.7
2014,Dec,340622,322870,17752,5.2
2015,Jan,340887,321316,19571,5.7
2015,Feb,340402,322208,18194,5.3
2015,Mar,339760,322305,17455,5.1
2015,Apr,340478,324265,16213,4.8
2015,May,342430,324927,17503,5.1
2015,Jun,340286,321696,18590,5.5
2015,Jul,339437,320632,18805,5.5
2015,Aug,339734,322065,17669,5.2
2015,Sep,341480,324106,17374,5.1
2015,Oct,343567,326369,17198,5.0
2015,Nov,346014,329063,16951,4.9
2015,Dec,345236,329174,16062,4.7
2016,Jan,346053,329088,16965,4.9
2016,Feb,347311,330874,16437,4.7
2016,Mar,348065,331348,16717,4.8
2016,Apr,348811,333136,15675,4.5
2016,May,348431,332733,15698,4.5
2016,Jun,347459,329220,18239,5.2
2016,Jul,349280,330638,18642,5.3
2016,Aug,350533,331881,18652,5.3
2016,Sep,353557,335023,18534,5.2
2016,Oct,351643,333979,17664,5.0
2016,Nov,352571,335676,16895,4.8
2016,Dec,351884,334901,16983,4.8
2017,Jan,353548,335091,18457,5.2
2017,Feb,355778,337430,18348,5.2
2017,Mar,354318,337251,17067,4.8
2017,Apr,355184,339563,15621,4.4
2017,May,353726,337909,15817,4.5
2017,Jun,350952,333817,17135,4.9
2017,Jul,351084,334203,16881,4.8
2017,Aug,351275,334344,16931,4.8
2017,Sep,356465,341015,15450,4.3
2017,Oct,353982,339483,14499,4.1
2017,Nov,357008,341925,15083,4.2
2017,Dec,356600,341657,14943,4.2
2018,Jan,357831,341518,16313,4.6
2018,Feb,360283,344125,16158,4.5
2018,Mar,357800,342322,15478,4.3
2018,Apr,357997,343667,14330,4.0
2018,May,357027,343083,13944,3.9
2018,Jun,354948,338603,16345,4.6
2018,Jul,355796,340102,15694,4.4
2018,Aug,354853,339523,15330,4.3
2018,Sep,358778,344095,14683,4.1
2018,Oct,360764,346738,14026,3.9
2018,Nov,362434,348653,13781,3.8
2018,Dec,361738,347525,14213,3.9
2019,Jan,361870,345882,15988,4.4
2019,Feb,363470,348760,14710,4.0
2019,Mar,361861,348004,13857,3.8
2019,Apr,360189,348323,11866,3.3
2019,May,359618,347269,12349,3.4
2019,Jun,358241,343708,14533,4.1
2019,Jul,360254,345434,14820,4.1
2019,Aug,360767,346238,14529,4.0
2019,Sep,365193,351539,13654,3.7
2019,Oct,366624,353079,13545,3.7
2019,Nov,367074,353523,13551,3.7
2019,Dec,365817,352780,13037,3.6
2020,Jan,366807,352086,14721,4.0
2020,Feb,369182,354995,14187,3.8
2020,Mar,363872,344345,19527,5.4
2020,Apr,333526,284198,49328,14.8
