Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481390000000003,LAUCN481390000000004,LAUCN481390000000005,LAUCN481390000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Ellis County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,74224,68016,6208,8.4
2010,Feb,74358,68263,6095,8.2
2010,Mar,74623,68603,6020,8.1
2010,Apr,75459,69652,5807,7.7
2010,May,75315,69523,5792,7.7
2010,Jun,75751,69529,6222,8.2
2010,Jul,76194,69918,6276,8.2
2010,Aug,76287,70060,6227,8.2
2010,Sep,76299,70256,6043,7.9
2010,Oct,76373,70406,5967,7.8
2010,Nov,76596,70468,6128,8.0
2010,Dec,76603,70635,5968,7.8
2011,Jan,75953,69773,6180,8.1
2011,Feb,76028,69987,6041,7.9
2011,Mar,76228,70393,5835,7.7
2011,Apr,76352,70696,5656,7.4
2011,May,76502,70708,5794,7.6
2011,Jun,77257,70582,6675,8.6
2011,Jul,77333,70814,6519,8.4
2011,Aug,77202,70926,6276,8.1
2011,Sep,77513,71430,6083,7.8
2011,Oct,77553,71775,5778,7.5
2011,Nov,77368,71933,5435,7.0
2011,Dec,77196,71930,5266,6.8
2012,Jan,75968,70467,5501,7.2
2012,Feb,76285,70831,5454,7.1
2012,Mar,76437,71101,5336,7.0
2012,Apr,76312,71398,4914,6.4
2012,May,76571,71498,5073,6.6
2012,Jun,77167,71473,5694,7.4
2012,Jul,77125,71465,5660,7.3
2012,Aug,76669,71351,5318,6.9
2012,Sep,77004,72135,4869,6.3
2012,Oct,77415,72488,4927,6.4
2012,Nov,77255,72513,4742,6.1
2012,Dec,77315,72488,4827,6.2
2013,Jan,76900,71487,5413,7.0
2013,Feb,76752,71690,5062,6.6
2013,Mar,76765,71857,4908,6.4
2013,Apr,77082,72493,4589,6.0
2013,May,77530,72698,4832,6.2
2013,Jun,78095,72763,5332,6.8
2013,Jul,78281,73114,5167,6.6
2013,Aug,78044,73197,4847,6.2
2013,Sep,78175,73562,4613,5.9
2013,Oct,77799,73280,4519,5.8
2013,Nov,78431,74173,4258,5.4
2013,Dec,78260,74237,4023,5.1
2014,Jan,78252,73992,4260,5.4
2014,Feb,78527,74215,4312,5.5
2014,Mar,78796,74565,4231,5.4
2014,Apr,78605,75039,3566,4.5
2014,May,78944,75009,3935,5.0
2014,Jun,79350,75157,4193,5.3
2014,Jul,79767,75389,4378,5.5
2014,Aug,79530,75378,4152,5.2
2014,Sep,79480,75729,3751,4.7
2014,Oct,79647,76146,3501,4.4
2014,Nov,79807,76425,3382,4.2
2014,Dec,79409,76361,3048,3.8
2015,Jan,79845,76404,3441,4.3
2015,Feb,79904,76712,3192,4.0
2015,Mar,79834,76745,3089,3.9
2015,Apr,80371,77548,2823,3.5
2015,May,80796,77652,3144,3.9
2015,Jun,81104,77679,3425,4.2
2015,Jul,81467,77938,3529,4.3
2015,Aug,81303,77994,3309,4.1
2015,Sep,81217,78024,3193,3.9
2015,Oct,81596,78502,3094,3.8
2015,Nov,82012,78957,3055,3.7
2015,Dec,82063,79176,2887,3.5
2016,Jan,83198,80147,3051,3.7
2016,Feb,83852,80849,3003,3.6
2016,Mar,84045,81014,3031,3.6
2016,Apr,84264,81400,2864,3.4
2016,May,84376,81468,2908,3.4
2016,Jun,84995,81537,3458,4.1
2016,Jul,85485,81919,3566,4.2
2016,Aug,85428,81963,3465,4.1
2016,Sep,85726,82287,3439,4.0
2016,Oct,85829,82622,3207,3.7
2016,Nov,86152,83101,3051,3.5
2016,Dec,86126,83045,3081,3.6
2017,Jan,86660,83293,3367,3.9
2017,Feb,87211,83843,3368,3.9
2017,Mar,87265,84007,3258,3.7
2017,Apr,87362,84523,2839,3.2
2017,May,87235,84250,2985,3.4
2017,Jun,87688,84426,3262,3.7
2017,Jul,88154,84885,3269,3.7
2017,Aug,87908,84742,3166,3.6
2017,Sep,88509,85648,2861,3.2
2017,Oct,88176,85534,2642,3.0
2017,Nov,88837,86042,2795,3.1
2017,Dec,88622,85880,2742,3.1
2018,Jan,89635,86620,3015,3.4
2018,Feb,90424,87348,3076,3.4
2018,Mar,90303,87180,3123,3.5
2018,Apr,90197,87432,2765,3.1
2018,May,90189,87428,2761,3.1
2018,Jun,90860,87476,3384,3.7
2018,Jul,91134,87898,3236,3.6
2018,Aug,90335,87277,3058,3.4
2018,Sep,90793,87892,2901,3.2
2018,Oct,91169,88348,2821,3.1
2018,Nov,91629,88831,2798,3.1
2018,Dec,91653,88788,2865,3.1
2019,Jan,91653,88280,3373,3.7
2019,Feb,91796,88820,2976,3.2
2019,Mar,91693,88773,2920,3.2
2019,Apr,91516,89074,2442,2.7
2019,May,91616,89066,2550,2.8
2019,Jun,92544,89425,3119,3.4
2019,Jul,93193,89969,3224,3.5
2019,Aug,92939,89920,3019,3.2
2019,Sep,93455,90667,2788,3.0
2019,Oct,93666,90924,2742,2.9
2019,Nov,94079,91364,2715,2.9
2019,Dec,94182,91598,2584,2.7
2020,Jan,93966,91001,2965,3.2
2020,Feb,94526,91667,2859,3.0
2020,Mar,92707,88547,4160,4.5
2020,Apr,84894,75681,9213,10.9
