Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481430000000003,LAUCN481430000000004,LAUCN481430000000005,LAUCN481430000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Erath County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,19821,18429,1392,7.0
2010,Feb,20050,18696,1354,6.8
2010,Mar,20184,18874,1310,6.5
2010,Apr,20879,19625,1254,6.0
2010,May,20673,19435,1238,6.0
2010,Jun,20815,19410,1405,6.7
2010,Jul,20397,18982,1415,6.9
2010,Aug,20177,18809,1368,6.8
2010,Sep,20472,19191,1281,6.3
2010,Oct,20888,19625,1263,6.0
2010,Nov,20845,19513,1332,6.4
2010,Dec,20788,19557,1231,5.9
2011,Jan,20429,19088,1341,6.6
2011,Feb,20552,19294,1258,6.1
2011,Mar,20829,19646,1183,5.7
2011,Apr,20771,19603,1168,5.6
2011,May,20887,19689,1198,5.7
2011,Jun,20987,19546,1441,6.9
2011,Jul,20536,19112,1424,6.9
2011,Aug,20647,19298,1349,6.5
2011,Sep,20726,19450,1276,6.2
2011,Oct,20557,19378,1179,5.7
2011,Nov,20641,19528,1113,5.4
2011,Dec,20697,19622,1075,5.2
2012,Jan,19871,18721,1150,5.8
2012,Feb,20012,18892,1120,5.6
2012,Mar,20071,18995,1076,5.4
2012,Apr,20360,19307,1053,5.2
2012,May,20543,19435,1108,5.4
2012,Jun,20513,19242,1271,6.2
2012,Jul,20080,18790,1290,6.4
2012,Aug,19762,18609,1153,5.8
2012,Sep,20183,19137,1046,5.2
2012,Oct,19906,18877,1029,5.2
2012,Nov,19804,18771,1033,5.2
2012,Dec,19569,18518,1051,5.4
2013,Jan,19434,18239,1195,6.1
2013,Feb,19600,18509,1091,5.6
2013,Mar,19463,18442,1021,5.2
2013,Apr,20041,19060,981,4.9
2013,May,20085,19001,1084,5.4
2013,Jun,20005,18752,1253,6.3
2013,Jul,19840,18612,1228,6.2
2013,Aug,19679,18572,1107,5.6
2013,Sep,20252,19190,1062,5.2
2013,Oct,20130,19123,1007,5.0
2013,Nov,19823,18879,944,4.8
2013,Dec,19859,18981,878,4.4
2014,Jan,19768,18851,917,4.6
2014,Feb,20272,19316,956,4.7
2014,Mar,20294,19404,890,4.4
2014,Apr,20599,19846,753,3.7
2014,May,20644,19796,848,4.1
2014,Jun,20419,19446,973,4.8
2014,Jul,19870,18840,1030,5.2
2014,Aug,19518,18619,899,4.6
2014,Sep,20070,19247,823,4.1
2014,Oct,20272,19510,762,3.8
2014,Nov,20098,19358,740,3.7
2014,Dec,19654,18995,659,3.4
2015,Jan,19877,19111,766,3.9
2015,Feb,20274,19546,728,3.6
2015,Mar,20404,19655,749,3.7
2015,Apr,20384,19685,699,3.4
2015,May,20709,19876,833,4.0
2015,Jun,20302,19348,954,4.7
2015,Jul,19814,18884,930,4.7
2015,Aug,19477,18656,821,4.2
2015,Sep,20193,19415,778,3.9
2015,Oct,20468,19709,759,3.7
2015,Nov,20110,19374,736,3.7
2015,Dec,19961,19237,724,3.6
2016,Jan,19675,18913,762,3.9
2016,Feb,20659,19881,778,3.8
2016,Mar,20715,19932,783,3.8
2016,Apr,21072,20323,749,3.6
2016,May,21205,20431,774,3.7
2016,Jun,20307,19359,948,4.7
2016,Jul,19491,18548,943,4.8
2016,Aug,19555,18630,925,4.7
2016,Sep,19915,19065,850,4.3
2016,Oct,20133,19348,785,3.9
2016,Nov,20081,19310,771,3.8
2016,Dec,19877,19114,763,3.8
2017,Jan,19879,19063,816,4.1
2017,Feb,20807,20002,805,3.9
2017,Mar,21288,20560,728,3.4
2017,Apr,21348,20714,634,3.0
2017,May,21275,20618,657,3.1
2017,Jun,21074,20271,803,3.8
2017,Jul,19557,18770,787,4.0
2017,Aug,19769,19012,757,3.8
2017,Sep,20372,19720,652,3.2
2017,Oct,21012,20421,591,2.8
2017,Nov,20960,20332,628,3.0
2017,Dec,20901,20293,608,2.9
2018,Jan,19888,19215,673,3.4
2018,Feb,20891,20227,664,3.2
2018,Mar,21432,20798,634,3.0
2018,Apr,20512,19958,554,2.7
2018,May,21121,20557,564,2.7
2018,Jun,20594,19854,740,3.6
2018,Jul,20131,19411,720,3.6
2018,Aug,20393,19718,675,3.3
2018,Sep,20679,20061,618,3.0
2018,Oct,21349,20767,582,2.7
2018,Nov,21127,20554,573,2.7
2018,Dec,20913,20290,623,3.0
2019,Jan,20395,19674,721,3.5
2019,Feb,21417,20768,649,3.0
2019,Mar,21556,20936,620,2.9
2019,Apr,20576,20065,511,2.5
2019,May,21119,20553,566,2.7
2019,Jun,20476,19764,712,3.5
2019,Jul,20027,19270,757,3.8
2019,Aug,20719,20004,715,3.5
2019,Sep,20705,20036,669,3.2
2019,Oct,21346,20674,672,3.1
2019,Nov,20957,20264,693,3.3
2019,Dec,20904,20251,653,3.1
2020,Jan,20642,19886,756,3.7
2020,Feb,21219,20511,708,3.3
2020,Mar,21024,20047,977,4.6
2020,Apr,18380,16780,1600,8.7
