Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481450000000003,LAUCN481450000000004,LAUCN481450000000005,LAUCN481450000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Falls County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,7058,6416,642,9.1
2010,Feb,7054,6439,615,8.7
2010,Mar,7150,6533,617,8.6
2010,Apr,7271,6675,596,8.2
2010,May,7269,6671,598,8.2
2010,Jun,7365,6723,642,8.7
2010,Jul,7397,6760,637,8.6
2010,Aug,7340,6712,628,8.6
2010,Sep,7319,6700,619,8.5
2010,Oct,7244,6642,602,8.3
2010,Nov,7225,6613,612,8.5
2010,Dec,7211,6630,581,8.1
2011,Jan,7084,6483,601,8.5
2011,Feb,7068,6479,589,8.3
2011,Mar,7141,6556,585,8.2
2011,Apr,7151,6596,555,7.8
2011,May,7167,6603,564,7.9
2011,Jun,7283,6634,649,8.9
2011,Jul,7255,6622,633,8.7
2011,Aug,7277,6669,608,8.4
2011,Sep,7297,6667,630,8.6
2011,Oct,7169,6572,597,8.3
2011,Nov,7166,6598,568,7.9
2011,Dec,7168,6618,550,7.7
2012,Jan,6898,6331,567,8.2
2012,Feb,6871,6329,542,7.9
2012,Mar,6892,6383,509,7.4
2012,Apr,6889,6412,477,6.9
2012,May,6916,6415,501,7.2
2012,Jun,6990,6446,544,7.8
2012,Jul,6998,6456,542,7.7
2012,Aug,6957,6432,525,7.5
2012,Sep,6964,6478,486,7.0
2012,Oct,6892,6432,460,6.7
2012,Nov,6876,6419,457,6.6
2012,Dec,6860,6387,473,6.9
2013,Jan,6693,6177,516,7.7
2013,Feb,6669,6206,463,6.9
2013,Mar,6651,6203,448,6.7
2013,Apr,6805,6341,464,6.8
2013,May,6861,6365,496,7.2
2013,Jun,6924,6377,547,7.9
2013,Jul,6931,6389,542,7.8
2013,Aug,6850,6336,514,7.5
2013,Sep,6857,6373,484,7.1
2013,Oct,6738,6278,460,6.8
2013,Nov,6683,6250,433,6.5
2013,Dec,6688,6291,397,5.9
2014,Jan,6470,6081,389,6.0
2014,Feb,6515,6135,380,5.8
2014,Mar,6534,6157,377,5.8
2014,Apr,6608,6288,320,4.8
2014,May,6650,6280,370,5.6
2014,Jun,6626,6240,386,5.8
2014,Jul,6622,6223,399,6.0
2014,Aug,6551,6158,393,6.0
2014,Sep,6576,6206,370,5.6
2014,Oct,6541,6214,327,5.0
2014,Nov,6514,6196,318,4.9
2014,Dec,6462,6179,283,4.4
2015,Jan,6411,6112,299,4.7
2015,Feb,6447,6160,287,4.5
2015,Mar,6447,6173,274,4.3
2015,Apr,6423,6169,254,4.0
2015,May,6466,6192,274,4.2
2015,Jun,6474,6184,290,4.5
2015,Jul,6489,6187,302,4.7
2015,Aug,6437,6169,268,4.2
2015,Sep,6451,6186,265,4.1
2015,Oct,6477,6218,259,4.0
2015,Nov,6462,6205,257,4.0
2015,Dec,6479,6231,248,3.8
2016,Jan,6423,6156,267,4.2
2016,Feb,6570,6304,266,4.0
2016,Mar,6621,6335,286,4.3
2016,Apr,6625,6344,281,4.2
2016,May,6635,6369,266,4.0
2016,Jun,6636,6312,324,4.9
2016,Jul,6588,6278,310,4.7
2016,Aug,6637,6341,296,4.5
2016,Sep,6659,6341,318,4.8
2016,Oct,6640,6334,306,4.6
2016,Nov,6638,6353,285,4.3
2016,Dec,6614,6334,280,4.2
2017,Jan,6592,6294,298,4.5
2017,Feb,6670,6366,304,4.6
2017,Mar,6749,6454,295,4.4
2017,Apr,6705,6441,264,3.9
2017,May,6699,6424,275,4.1
2017,Jun,6674,6371,303,4.5
2017,Jul,6628,6325,303,4.6
2017,Aug,6658,6365,293,4.4
2017,Sep,6637,6373,264,4.0
2017,Oct,6598,6344,254,3.8
2017,Nov,6588,6319,269,4.1
2017,Dec,6575,6322,253,3.8
2018,Jan,6402,6116,286,4.5
2018,Feb,6490,6211,279,4.3
2018,Mar,6539,6282,257,3.9
2018,Apr,6495,6262,233,3.6
2018,May,6534,6301,233,3.6
2018,Jun,6570,6279,291,4.4
2018,Jul,6543,6265,278,4.2
2018,Aug,6542,6280,262,4.0
2018,Sep,6531,6291,240,3.7
2018,Oct,6516,6293,223,3.4
2018,Nov,6532,6310,222,3.4
2018,Dec,6467,6244,223,3.4
2019,Jan,6471,6222,249,3.8
2019,Feb,6522,6297,225,3.4
2019,Mar,6570,6347,223,3.4
2019,Apr,6525,6343,182,2.8
2019,May,6552,6358,194,3.0
2019,Jun,6568,6339,229,3.5
2019,Jul,6611,6376,235,3.6
2019,Aug,6632,6415,217,3.3
2019,Sep,6601,6393,208,3.2
2019,Oct,6619,6413,206,3.1
2019,Nov,6588,6389,199,3.0
2019,Dec,6580,6382,198,3.0
2020,Jan,6577,6344,233,3.5
2020,Feb,6644,6414,230,3.5
2020,Mar,6560,6237,323,4.9
2020,Apr,5841,5316,525,9.0
