Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481470000000003,LAUCN481470000000004,LAUCN481470000000005,LAUCN481470000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Fannin County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,15057,13789,1268,8.4
2010,Feb,15036,13808,1228,8.2
2010,Mar,15202,13957,1245,8.2
2010,Apr,15476,14274,1202,7.8
2010,May,15436,14249,1187,7.7
2010,Jun,15502,14238,1264,8.2
2010,Jul,15498,14228,1270,8.2
2010,Aug,15402,14127,1275,8.3
2010,Sep,15365,14098,1267,8.2
2010,Oct,15382,14148,1234,8.0
2010,Nov,15402,14109,1293,8.4
2010,Dec,15334,14078,1256,8.2
2011,Jan,15150,13838,1312,8.7
2011,Feb,15092,13825,1267,8.4
2011,Mar,15208,13965,1243,8.2
2011,Apr,15206,13991,1215,8.0
2011,May,15285,14011,1274,8.3
2011,Jun,15433,14065,1368,8.9
2011,Jul,15344,14001,1343,8.8
2011,Aug,15306,14005,1301,8.5
2011,Sep,15332,14042,1290,8.4
2011,Oct,15331,14106,1225,8.0
2011,Nov,15318,14152,1166,7.6
2011,Dec,15314,14191,1123,7.3
2012,Jan,14954,13792,1162,7.8
2012,Feb,14949,13836,1113,7.4
2012,Mar,14957,13880,1077,7.2
2012,Apr,14995,13993,1002,6.7
2012,May,15088,14046,1042,6.9
2012,Jun,15194,14061,1133,7.5
2012,Jul,15182,14056,1126,7.4
2012,Aug,15036,13965,1071,7.1
2012,Sep,15093,14103,990,6.6
2012,Oct,15119,14128,991,6.6
2012,Nov,15016,14067,949,6.3
2012,Dec,15228,14119,1109,7.3
2013,Jan,15191,13956,1235,8.1
2013,Feb,15170,14017,1153,7.6
2013,Mar,15160,14047,1113,7.3
2013,Apr,15221,14167,1054,6.9
2013,May,15311,14244,1067,7.0
2013,Jun,15433,14283,1150,7.5
2013,Jul,15408,14297,1111,7.2
2013,Aug,15328,14291,1037,6.8
2013,Sep,15422,14390,1032,6.7
2013,Oct,15283,14269,1014,6.6
2013,Nov,15240,14297,943,6.2
2013,Dec,15223,14343,880,5.8
2014,Jan,15276,14373,903,5.9
2014,Feb,15362,14452,910,5.9
2014,Mar,15365,14492,873,5.7
2014,Apr,15344,14588,756,4.9
2014,May,15374,14559,815,5.3
2014,Jun,15422,14576,846,5.5
2014,Jul,15448,14556,892,5.8
2014,Aug,15296,14442,854,5.6
2014,Sep,15292,14502,790,5.2
2014,Oct,15206,14462,744,4.9
2014,Nov,15120,14405,715,4.7
2014,Dec,15043,14385,658,4.4
2015,Jan,15228,14505,723,4.7
2015,Feb,15327,14660,667,4.4
2015,Mar,15274,14646,628,4.1
2015,Apr,15327,14742,585,3.8
2015,May,15409,14780,629,4.1
2015,Jun,15442,14781,661,4.3
2015,Jul,15511,14844,667,4.3
2015,Aug,15372,14747,625,4.1
2015,Sep,15396,14781,615,4.0
2015,Oct,15400,14798,602,3.9
2015,Nov,15394,14802,592,3.8
2015,Dec,15449,14893,556,3.6
2016,Jan,15478,14904,574,3.7
2016,Feb,15748,15176,572,3.6
2016,Mar,15745,15181,564,3.6
2016,Apr,15677,15151,526,3.4
2016,May,15701,15151,550,3.5
2016,Jun,15740,15109,631,4.0
2016,Jul,15809,15152,657,4.2
2016,Aug,15817,15188,629,4.0
2016,Sep,15876,15244,632,4.0
2016,Oct,15809,15208,601,3.8
2016,Nov,15927,15332,595,3.7
2016,Dec,15801,15225,576,3.6
2017,Jan,15773,15144,629,4.0
2017,Feb,15899,15280,619,3.9
2017,Mar,16005,15429,576,3.6
2017,Apr,15989,15472,517,3.2
2017,May,15982,15456,526,3.3
2017,Jun,15925,15377,548,3.4
2017,Jul,16043,15494,549,3.4
2017,Aug,16018,15467,551,3.4
2017,Sep,16042,15557,485,3.0
2017,Oct,15931,15486,445,2.8
2017,Nov,15943,15469,474,3.0
2017,Dec,15877,15407,470,3.0
2018,Jan,16085,15549,536,3.3
2018,Feb,16228,15690,538,3.3
2018,Mar,16231,15711,520,3.2
2018,Apr,16260,15778,482,3.0
2018,May,16348,15872,476,2.9
2018,Jun,16319,15777,542,3.3
2018,Jul,16516,15998,518,3.1
2018,Aug,16505,15985,520,3.2
2018,Sep,16730,16240,490,2.9
2018,Oct,16747,16272,475,2.8
2018,Nov,16776,16297,479,2.9
2018,Dec,16763,16282,481,2.9
2019,Jan,17059,16496,563,3.3
2019,Feb,17143,16646,497,2.9
2019,Mar,17198,16703,495,2.9
2019,Apr,17170,16768,402,2.3
2019,May,17290,16866,424,2.5
2019,Jun,17318,16826,492,2.8
2019,Jul,17482,16963,519,3.0
2019,Aug,17468,16974,494,2.8
2019,Sep,17459,16991,468,2.7
2019,Oct,17510,17046,464,2.6
2019,Nov,17432,16975,457,2.6
2019,Dec,17422,16997,425,2.4
2020,Jan,17562,17075,487,2.8
2020,Feb,17645,17170,475,2.7
2020,Mar,17391,16718,673,3.9
2020,Apr,15552,14377,1175,7.6
