Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481490000000003,LAUCN481490000000004,LAUCN481490000000005,LAUCN481490000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Fayette County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,11795,11011,784,6.6
2010,Feb,11709,10965,744,6.4
2010,Mar,11860,11118,742,6.3
2010,Apr,12118,11398,720,5.9
2010,May,12049,11342,707,5.9
2010,Jun,12246,11488,758,6.2
2010,Jul,12221,11469,752,6.2
2010,Aug,12094,11369,725,6.0
2010,Sep,12058,11346,712,5.9
2010,Oct,12029,11317,712,5.9
2010,Nov,12065,11321,744,6.2
2010,Dec,12104,11391,713,5.9
2011,Jan,12379,11598,781,6.3
2011,Feb,12312,11583,729,5.9
2011,Mar,12457,11753,704,5.7
2011,Apr,12371,11686,685,5.5
2011,May,12375,11668,707,5.7
2011,Jun,12586,11764,822,6.5
2011,Jul,12713,11925,788,6.2
2011,Aug,12656,11911,745,5.9
2011,Sep,12624,11871,753,6.0
2011,Oct,12513,11833,680,5.4
2011,Nov,12525,11875,650,5.2
2011,Dec,12609,11984,625,5.0
2012,Jan,12320,11671,649,5.3
2012,Feb,12212,11593,619,5.1
2012,Mar,12311,11710,601,4.9
2012,Apr,12365,11801,564,4.6
2012,May,12431,11829,602,4.8
2012,Jun,12732,12063,669,5.3
2012,Jul,12856,12174,682,5.3
2012,Aug,12655,12040,615,4.9
2012,Sep,12646,12073,573,4.5
2012,Oct,12634,12056,578,4.6
2012,Nov,12536,11979,557,4.4
2012,Dec,12599,12039,560,4.4
2013,Jan,12528,11892,636,5.1
2013,Feb,12473,11899,574,4.6
2013,Mar,12398,11828,570,4.6
2013,Apr,12569,12038,531,4.2
2013,May,12639,12077,562,4.4
2013,Jun,12865,12225,640,5.0
2013,Jul,13005,12385,620,4.8
2013,Aug,12767,12193,574,4.5
2013,Sep,12816,12247,569,4.4
2013,Oct,12598,12066,532,4.2
2013,Nov,12574,12082,492,3.9
2013,Dec,12699,12240,459,3.6
2014,Jan,12963,12490,473,3.6
2014,Feb,13040,12569,471,3.6
2014,Mar,13011,12554,457,3.5
2014,Apr,13067,12686,381,2.9
2014,May,13176,12736,440,3.3
2014,Jun,13251,12775,476,3.6
2014,Jul,13416,12901,515,3.8
2014,Aug,13189,12699,490,3.7
2014,Sep,13102,12646,456,3.5
2014,Oct,13033,12603,430,3.3
2014,Nov,12946,12537,409,3.2
2014,Dec,12880,12500,380,3.0
2015,Jan,13003,12578,425,3.3
2015,Feb,12970,12564,406,3.1
2015,Mar,12944,12565,379,2.9
2015,Apr,12909,12533,376,2.9
2015,May,12973,12563,410,3.2
2015,Jun,12932,12477,455,3.5
2015,Jul,12776,12307,469,3.7
2015,Aug,12619,12170,449,3.6
2015,Sep,12543,12097,446,3.6
2015,Oct,12608,12180,428,3.4
2015,Nov,12509,12089,420,3.4
2015,Dec,12519,12111,408,3.3
2016,Jan,12434,12021,413,3.3
2016,Feb,12537,12115,422,3.4
2016,Mar,12619,12174,445,3.5
2016,Apr,12625,12208,417,3.3
2016,May,12617,12203,414,3.3
2016,Jun,12674,12194,480,3.8
2016,Jul,12528,12023,505,4.0
2016,Aug,12491,11998,493,3.9
2016,Sep,12353,11859,494,4.0
2016,Oct,12327,11854,473,3.8
2016,Nov,12320,11870,450,3.7
2016,Dec,12298,11843,455,3.7
2017,Jan,12439,11949,490,3.9
2017,Feb,12575,12107,468,3.7
2017,Mar,12694,12272,422,3.3
2017,Apr,12703,12339,364,2.9
2017,May,12734,12364,370,2.9
2017,Jun,12816,12427,389,3.0
2017,Jul,12776,12369,407,3.2
2017,Aug,12647,12242,405,3.2
2017,Sep,12601,12222,379,3.0
2017,Oct,12547,12189,358,2.9
2017,Nov,12167,11780,387,3.2
2017,Dec,12232,11856,376,3.1
2018,Jan,12515,12120,395,3.2
2018,Feb,12633,12243,390,3.1
2018,Mar,12718,12340,378,3.0
2018,Apr,12579,12248,331,2.6
2018,May,12660,12334,326,2.6
2018,Jun,12640,12256,384,3.0
2018,Jul,12615,12249,366,2.9
2018,Aug,12558,12209,349,2.8
2018,Sep,12588,12253,335,2.7
2018,Oct,12624,12306,318,2.5
2018,Nov,12519,12202,317,2.5
2018,Dec,12530,12214,316,2.5
2019,Jan,12477,12117,360,2.9
2019,Feb,12563,12231,332,2.6
2019,Mar,12579,12230,349,2.8
2019,Apr,12426,12144,282,2.3
2019,May,12490,12186,304,2.4
2019,Jun,12545,12185,360,2.9
2019,Jul,12219,11851,368,3.0
2019,Aug,12232,11881,351,2.9
2019,Sep,12099,11786,313,2.6
2019,Oct,12104,11799,305,2.5
2019,Nov,12000,11697,303,2.5
2019,Dec,12026,11740,286,2.4
2020,Jan,12082,11746,336,2.8
2020,Feb,12110,11788,322,2.7
2020,Mar,11989,11514,475,4.0
2020,Apr,10318,9587,731,7.1
