Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481510000000003,LAUCN481510000000004,LAUCN481510000000005,LAUCN481510000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Fisher County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1860,1721,139,7.5
2010,Feb,1869,1728,141,7.5
2010,Mar,1925,1786,139,7.2
2010,Apr,1938,1810,128,6.6
2010,May,1938,1807,131,6.8
2010,Jun,1979,1831,148,7.5
2010,Jul,1964,1828,136,6.9
2010,Aug,1928,1784,144,7.5
2010,Sep,1929,1792,137,7.1
2010,Oct,1918,1786,132,6.9
2010,Nov,1922,1793,129,6.7
2010,Dec,1937,1819,118,6.1
2011,Jan,1911,1780,131,6.9
2011,Feb,1881,1750,131,7.0
2011,Mar,1919,1788,131,6.8
2011,Apr,1933,1807,126,6.5
2011,May,1940,1808,132,6.8
2011,Jun,1967,1820,147,7.5
2011,Jul,1969,1824,145,7.4
2011,Aug,1971,1834,137,7.0
2011,Sep,1952,1818,134,6.9
2011,Oct,1940,1820,120,6.2
2011,Nov,1943,1835,108,5.6
2011,Dec,1968,1864,104,5.3
2012,Jan,1894,1782,112,5.9
2012,Feb,1883,1779,104,5.5
2012,Mar,1886,1787,99,5.2
2012,Apr,1904,1807,97,5.1
2012,May,1915,1814,101,5.3
2012,Jun,1954,1838,116,5.9
2012,Jul,1944,1828,116,6.0
2012,Aug,1910,1797,113,5.9
2012,Sep,1921,1819,102,5.3
2012,Oct,1912,1817,95,5.0
2012,Nov,1892,1801,91,4.8
2012,Dec,1884,1793,91,4.8
2013,Jan,1842,1735,107,5.8
2013,Feb,1832,1733,99,5.4
2013,Mar,1835,1736,99,5.4
2013,Apr,1876,1780,96,5.1
2013,May,1909,1803,106,5.6
2013,Jun,1934,1813,121,6.3
2013,Jul,1932,1815,117,6.1
2013,Aug,1891,1785,106,5.6
2013,Sep,1901,1798,103,5.4
2013,Oct,1913,1812,101,5.3
2013,Nov,1871,1785,86,4.6
2013,Dec,1890,1807,83,4.4
2014,Jan,1876,1786,90,4.8
2014,Feb,1886,1796,90,4.8
2014,Mar,1888,1798,90,4.8
2014,Apr,1872,1792,80,4.3
2014,May,1886,1798,88,4.7
2014,Jun,1885,1795,90,4.8
2014,Jul,1886,1791,95,5.0
2014,Aug,1867,1776,91,4.9
2014,Sep,1863,1780,83,4.5
2014,Oct,1865,1793,72,3.9
2014,Nov,1818,1748,70,3.9
2014,Dec,1791,1729,62,3.5
2015,Jan,1756,1685,71,4.0
2015,Feb,1787,1715,72,4.0
2015,Mar,1809,1738,71,3.9
2015,Apr,1823,1766,57,3.1
2015,May,1852,1787,65,3.5
2015,Jun,1854,1784,70,3.8
2015,Jul,1844,1770,74,4.0
2015,Aug,1790,1725,65,3.6
2015,Sep,1774,1706,68,3.8
2015,Oct,1782,1706,76,4.3
2015,Nov,1770,1696,74,4.2
2015,Dec,1765,1699,66,3.7
2016,Jan,1746,1676,70,4.0
2016,Feb,1782,1709,73,4.1
2016,Mar,1815,1738,77,4.2
2016,Apr,1805,1732,73,4.0
2016,May,1807,1733,74,4.1
2016,Jun,1803,1724,79,4.4
2016,Jul,1747,1666,81,4.6
2016,Aug,1754,1674,80,4.6
2016,Sep,1711,1628,83,4.9
2016,Oct,1708,1635,73,4.3
2016,Nov,1705,1632,73,4.3
2016,Dec,1718,1649,69,4.0
2017,Jan,1692,1619,73,4.3
2017,Feb,1712,1642,70,4.1
2017,Mar,1745,1681,64,3.7
2017,Apr,1719,1659,60,3.5
2017,May,1743,1679,64,3.7
2017,Jun,1723,1661,62,3.6
2017,Jul,1719,1656,63,3.7
2017,Aug,1696,1637,59,3.5
2017,Sep,1672,1614,58,3.5
2017,Oct,1694,1643,51,3.0
2017,Nov,1666,1613,53,3.2
2017,Dec,1663,1613,50,3.0
2018,Jan,1657,1597,60,3.6
2018,Feb,1652,1594,58,3.5
2018,Mar,1696,1641,55,3.2
2018,Apr,1659,1611,48,2.9
2018,May,1673,1625,48,2.9
2018,Jun,1653,1596,57,3.4
2018,Jul,1651,1594,57,3.5
2018,Aug,1663,1608,55,3.3
2018,Sep,1651,1600,51,3.1
2018,Oct,1641,1592,49,3.0
2018,Nov,1632,1584,48,2.9
2018,Dec,1580,1533,47,3.0
2019,Jan,1597,1545,52,3.3
2019,Feb,1615,1567,48,3.0
2019,Mar,1649,1601,48,2.9
2019,Apr,1624,1586,38,2.3
2019,May,1638,1597,41,2.5
2019,Jun,1660,1602,58,3.5
2019,Jul,1655,1595,60,3.6
2019,Aug,1679,1620,59,3.5
2019,Sep,1627,1575,52,3.2
2019,Oct,1650,1606,44,2.7
2019,Nov,1612,1568,44,2.7
2019,Dec,1612,1575,37,2.3
2020,Jan,1619,1570,49,3.0
2020,Feb,1619,1575,44,2.7
2020,Mar,1610,1547,63,3.9
2020,Apr,1356,1289,67,4.9
