Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481530000000003,LAUCN481530000000004,LAUCN481530000000005,LAUCN481530000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Floyd County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3290,2990,300,9.1
2010,Feb,3280,2962,318,9.7
2010,Mar,3300,3031,269,8.2
2010,Apr,3411,3150,261,7.7
2010,May,3386,3128,258,7.6
2010,Jun,3475,3187,288,8.3
2010,Jul,3475,3196,279,8.0
2010,Aug,3411,3137,274,8.0
2010,Sep,3392,3132,260,7.7
2010,Oct,3382,3156,226,6.7
2010,Nov,3340,3106,234,7.0
2010,Dec,3319,3081,238,7.2
2011,Jan,3316,3005,311,9.4
2011,Feb,3282,2980,302,9.2
2011,Mar,3307,3046,261,7.9
2011,Apr,3325,3078,247,7.4
2011,May,3313,3063,250,7.5
2011,Jun,3383,3114,269,8.0
2011,Jul,3372,3112,260,7.7
2011,Aug,3415,3146,269,7.9
2011,Sep,3363,3113,250,7.4
2011,Oct,3264,3047,217,6.6
2011,Nov,3292,3085,207,6.3
2011,Dec,3307,3077,230,7.0
2012,Jan,3205,2960,245,7.6
2012,Feb,3165,2923,242,7.6
2012,Mar,3172,2959,213,6.7
2012,Apr,3246,3050,196,6.0
2012,May,3267,3061,206,6.3
2012,Jun,3324,3098,226,6.8
2012,Jul,3259,3038,221,6.8
2012,Aug,3205,3000,205,6.4
2012,Sep,3183,2996,187,5.9
2012,Oct,3156,2984,172,5.4
2012,Nov,3114,2949,165,5.3
2012,Dec,3083,2888,195,6.3
2013,Jan,3054,2812,242,7.9
2013,Feb,3118,2828,290,9.3
2013,Mar,3079,2823,256,8.3
2013,Apr,3143,2853,290,9.2
2013,May,3210,2910,300,9.3
2013,Jun,3255,2940,315,9.7
2013,Jul,3245,2936,309,9.5
2013,Aug,3126,2845,281,9.0
2013,Sep,3117,2837,280,9.0
2013,Oct,3108,2855,253,8.1
2013,Nov,3002,2748,254,8.5
2013,Dec,3018,2781,237,7.9
2014,Jan,3060,2795,265,8.7
2014,Feb,3116,2846,270,8.7
2014,Mar,3071,2818,253,8.2
2014,Apr,3067,2874,193,6.3
2014,May,3101,2887,214,6.9
2014,Jun,3035,2820,215,7.1
2014,Jul,2992,2775,217,7.3
2014,Aug,2925,2717,208,7.1
2014,Sep,2877,2684,193,6.7
2014,Oct,2874,2693,181,6.3
2014,Nov,2782,2617,165,5.9
2014,Dec,2711,2551,160,5.9
2015,Jan,2721,2528,193,7.1
2015,Feb,2777,2587,190,6.8
2015,Mar,2807,2623,184,6.6
2015,Apr,2769,2618,151,5.5
2015,May,2829,2666,163,5.8
2015,Jun,2831,2667,164,5.8
2015,Jul,2798,2644,154,5.5
2015,Aug,2719,2582,137,5.0
2015,Sep,2700,2564,136,5.0
2015,Oct,2716,2595,121,4.5
2015,Nov,2642,2525,117,4.4
2015,Dec,2635,2525,110,4.2
2016,Jan,2613,2470,143,5.5
2016,Feb,2753,2606,147,5.3
2016,Mar,2785,2634,151,5.4
2016,Apr,2799,2671,128,4.6
2016,May,2859,2738,121,4.2
2016,Jun,2836,2689,147,5.2
2016,Jul,2746,2597,149,5.4
2016,Aug,2770,2629,141,5.1
2016,Sep,2713,2574,139,5.1
2016,Oct,2696,2564,132,4.9
2016,Nov,2644,2526,118,4.5
2016,Dec,2616,2481,135,5.2
2017,Jan,2617,2464,153,5.8
2017,Feb,2692,2526,166,6.2
2017,Mar,2799,2640,159,5.7
2017,Apr,2760,2600,160,5.8
2017,May,2788,2640,148,5.3
2017,Jun,2763,2610,153,5.5
2017,Jul,2678,2518,160,6.0
2017,Aug,2711,2559,152,5.6
2017,Sep,2602,2473,129,5.0
2017,Oct,2720,2596,124,4.6
2017,Nov,2650,2519,131,4.9
2017,Dec,2634,2502,132,5.0
2018,Jan,2642,2493,149,5.6
2018,Feb,2677,2527,150,5.6
2018,Mar,2791,2635,156,5.6
2018,Apr,2715,2572,143,5.3
2018,May,2796,2665,131,4.7
2018,Jun,2714,2565,149,5.5
2018,Jul,2688,2542,146,5.4
2018,Aug,2685,2544,141,5.3
2018,Sep,2620,2487,133,5.1
2018,Oct,2613,2486,127,4.9
2018,Nov,2591,2482,109,4.2
2018,Dec,2511,2392,119,4.7
2019,Jan,2499,2366,133,5.3
2019,Feb,2577,2438,139,5.4
2019,Mar,2628,2500,128,4.9
2019,Apr,2570,2467,103,4.0
2019,May,2614,2506,108,4.1
2019,Jun,2605,2493,112,4.3
2019,Jul,2605,2482,123,4.7
2019,Aug,2662,2544,118,4.4
2019,Sep,2562,2460,102,4.0
2019,Oct,2603,2508,95,3.6
2019,Nov,2516,2425,91,3.6
2019,Dec,2524,2427,97,3.8
2020,Jan,2545,2406,139,5.5
2020,Feb,2578,2443,135,5.2
2020,Mar,2595,2404,191,7.4
2020,Apr,2234,2051,183,8.2
