Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481550000000003,LAUCN481550000000004,LAUCN481550000000005,LAUCN481550000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Foard County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,633,591,42,6.6
2010,Feb,630,590,40,6.3
2010,Mar,661,622,39,5.9
2010,Apr,678,639,39,5.8
2010,May,661,623,38,5.7
2010,Jun,680,636,44,6.5
2010,Jul,688,641,47,6.8
2010,Aug,682,628,54,7.9
2010,Sep,655,607,48,7.3
2010,Oct,664,615,49,7.4
2010,Nov,662,613,49,7.4
2010,Dec,656,614,42,6.4
2011,Jan,659,607,52,7.9
2011,Feb,653,597,56,8.6
2011,Mar,661,608,53,8.0
2011,Apr,665,615,50,7.5
2011,May,665,617,48,7.2
2011,Jun,685,630,55,8.0
2011,Jul,687,634,53,7.7
2011,Aug,680,635,45,6.6
2011,Sep,674,625,49,7.3
2011,Oct,646,601,45,7.0
2011,Nov,650,608,42,6.5
2011,Dec,680,638,42,6.2
2012,Jan,632,591,41,6.5
2012,Feb,617,581,36,5.8
2012,Mar,624,586,38,6.1
2012,Apr,624,590,34,5.4
2012,May,625,588,37,5.9
2012,Jun,632,593,39,6.2
2012,Jul,653,613,40,6.1
2012,Aug,627,591,36,5.7
2012,Sep,621,588,33,5.3
2012,Oct,607,574,33,5.4
2012,Nov,600,567,33,5.5
2012,Dec,602,570,32,5.3
2013,Jan,578,541,37,6.4
2013,Feb,572,539,33,5.8
2013,Mar,579,549,30,5.2
2013,Apr,586,555,31,5.3
2013,May,585,553,32,5.5
2013,Jun,596,563,33,5.5
2013,Jul,602,568,34,5.6
2013,Aug,577,549,28,4.9
2013,Sep,579,552,27,4.7
2013,Oct,569,541,28,4.9
2013,Nov,553,529,24,4.3
2013,Dec,561,538,23,4.1
2014,Jan,571,544,27,4.7
2014,Feb,585,558,27,4.6
2014,Mar,584,557,27,4.6
2014,Apr,592,567,25,4.2
2014,May,592,566,26,4.4
2014,Jun,597,569,28,4.7
2014,Jul,592,563,29,4.9
2014,Aug,581,557,24,4.1
2014,Sep,584,563,21,3.6
2014,Oct,560,541,19,3.4
2014,Nov,566,543,23,4.1
2014,Dec,550,529,21,3.8
2015,Jan,545,519,26,4.8
2015,Feb,556,530,26,4.7
2015,Mar,560,536,24,4.3
2015,Apr,581,559,22,3.8
2015,May,587,562,25,4.3
2015,Jun,583,559,24,4.1
2015,Jul,555,533,22,4.0
2015,Aug,538,518,20,3.7
2015,Sep,528,508,20,3.8
2015,Oct,542,521,21,3.9
2015,Nov,525,505,20,3.8
2015,Dec,510,493,17,3.3
2016,Jan,509,491,18,3.5
2016,Feb,528,509,19,3.6
2016,Mar,531,513,18,3.4
2016,Apr,531,517,14,2.6
2016,May,545,527,18,3.3
2016,Jun,543,524,19,3.5
2016,Jul,542,521,21,3.9
2016,Aug,539,517,22,4.1
2016,Sep,548,524,24,4.4
2016,Oct,556,534,22,4.0
2016,Nov,557,534,23,4.1
2016,Dec,553,529,24,4.3
2017,Jan,559,532,27,4.8
2017,Feb,564,536,28,5.0
2017,Mar,590,568,22,3.7
2017,Apr,595,575,20,3.4
2017,May,612,589,23,3.8
2017,Jun,600,581,19,3.2
2017,Jul,609,589,20,3.3
2017,Aug,612,593,19,3.1
2017,Sep,613,595,18,2.9
2017,Oct,609,591,18,3.0
2017,Nov,581,564,17,2.9
2017,Dec,585,570,15,2.6
2018,Jan,591,575,16,2.7
2018,Feb,590,571,19,3.2
2018,Mar,588,572,16,2.7
2018,Apr,592,577,15,2.5
2018,May,600,584,16,2.7
2018,Jun,601,580,21,3.5
2018,Jul,581,564,17,2.9
2018,Aug,562,546,16,2.8
2018,Sep,563,547,16,2.8
2018,Oct,587,571,16,2.7
2018,Nov,584,569,15,2.6
2018,Dec,568,551,17,3.0
2019,Jan,565,542,23,4.1
2019,Feb,583,565,18,3.1
2019,Mar,584,568,16,2.7
2019,Apr,581,567,14,2.4
2019,May,576,558,18,3.1
2019,Jun,568,549,19,3.3
2019,Jul,601,582,19,3.2
2019,Aug,606,587,19,3.1
2019,Sep,593,573,20,3.4
2019,Oct,599,582,17,2.8
2019,Nov,584,568,16,2.7
2019,Dec,582,567,15,2.6
2020,Jan,580,564,16,2.8
2020,Feb,589,572,17,2.9
2020,Mar,583,561,22,3.8
2020,Apr,515,477,38,7.4
