Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481570000000003,LAUCN481570000000004,LAUCN481570000000005,LAUCN481570000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Fort Bend County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,293014,269532,23482,8.0
2010,Feb,294107,271112,22995,7.8
2010,Mar,295169,272271,22898,7.8
2010,Apr,298410,276236,22174,7.4
2010,May,297639,275693,21946,7.4
2010,Jun,298235,274698,23537,7.9
2010,Jul,300073,276378,23695,7.9
2010,Aug,299792,276667,23125,7.7
2010,Sep,300257,277937,22320,7.4
2010,Oct,299774,277802,21972,7.3
2010,Nov,300945,278190,22755,7.6
2010,Dec,300531,278917,21614,7.2
2011,Jan,304072,281035,23037,7.6
2011,Feb,305047,282652,22395,7.3
2011,Mar,306067,284270,21797,7.1
2011,Apr,306551,285592,20959,6.8
2011,May,307103,285645,21458,7.0
2011,Jun,308820,285117,23703,7.7
2011,Jul,309403,285851,23552,7.6
2011,Aug,308784,285944,22840,7.4
2011,Sep,310828,288458,22370,7.2
2011,Oct,311268,290109,21159,6.8
2011,Nov,311152,291116,20036,6.4
2011,Dec,311265,291963,19302,6.2
2012,Jan,313615,293309,20306,6.5
2012,Feb,315466,295635,19831,6.3
2012,Mar,316366,297355,19011,6.0
2012,Apr,315992,298047,17945,5.7
2012,May,317995,299160,18835,5.9
2012,Jun,319995,299108,20887,6.5
2012,Jul,321014,300191,20823,6.5
2012,Aug,318892,299464,19428,6.1
2012,Sep,321356,303230,18126,5.6
2012,Oct,323102,305182,17920,5.5
2012,Nov,322332,305016,17316,5.4
2012,Dec,323233,305727,17506,5.4
2013,Jan,329737,309786,19951,6.1
2013,Feb,330921,312111,18810,5.7
2013,Mar,330925,312940,17985,5.4
2013,Apr,331846,314652,17194,5.2
2013,May,333432,315183,18249,5.5
2013,Jun,334754,314396,20358,6.1
2013,Jul,335491,315676,19815,5.9
2013,Aug,333532,314785,18747,5.6
2013,Sep,334755,316457,18298,5.5
2013,Oct,333333,315607,17726,5.3
2013,Nov,335321,318593,16728,5.0
2013,Dec,335211,319517,15694,4.7
2014,Jan,343394,326517,16877,4.9
2014,Feb,345408,328379,17029,4.9
2014,Mar,346587,330033,16554,4.8
2014,Apr,345286,331108,14178,4.1
2014,May,346762,331173,15589,4.5
2014,Jun,347479,330827,16652,4.8
2014,Jul,349520,332045,17475,5.0
2014,Aug,347977,331234,16743,4.8
2014,Sep,348523,333131,15392,4.4
2014,Oct,349830,335304,14526,4.2
2014,Nov,349969,335726,14243,4.1
2014,Dec,348745,335833,12912,3.7
2015,Jan,355431,340604,14827,4.2
2015,Feb,355837,341622,14215,4.0
2015,Mar,355078,341194,13884,3.9
2015,Apr,355443,342116,13327,3.7
2015,May,355957,341361,14596,4.1
2015,Jun,355766,339907,15859,4.5
2015,Jul,356526,340075,16451,4.6
2015,Aug,355132,339251,15881,4.5
2015,Sep,355021,339257,15764,4.4
2015,Oct,356188,340520,15668,4.4
2015,Nov,357274,341394,15880,4.4
2015,Dec,357344,342055,15289,4.3
2016,Jan,363975,347692,16283,4.5
2016,Feb,365893,349545,16348,4.5
2016,Mar,366454,349452,17002,4.6
2016,Apr,365938,349253,16685,4.6
2016,May,365113,348232,16881,4.6
2016,Jun,367103,347439,19664,5.4
2016,Jul,368766,348480,20286,5.5
2016,Aug,366868,346658,20210,5.5
2016,Sep,368277,347961,20316,5.5
2016,Oct,367657,348584,19073,5.2
2016,Nov,367774,349398,18376,5.0
2016,Dec,367001,348660,18341,5.0
2017,Jan,372621,352639,19982,5.4
2017,Feb,375312,355589,19723,5.3
2017,Mar,375444,357094,18350,4.9
2017,Apr,375545,358437,17108,4.6
2017,May,374303,357508,16795,4.5
2017,Jun,375550,357634,17916,4.8
2017,Jul,376702,358873,17829,4.7
2017,Aug,375097,357080,18017,4.8
2017,Sep,376901,359927,16974,4.5
2017,Oct,375329,359941,15388,4.1
2017,Nov,377612,361825,15787,4.2
2017,Dec,377113,361663,15450,4.1
2018,Jan,382174,365271,16903,4.4
2018,Feb,387216,370518,16698,4.3
2018,Mar,386095,370282,15813,4.1
2018,Apr,385624,370965,14659,3.8
2018,May,384915,370643,14272,3.7
2018,Jun,387028,370484,16544,4.3
2018,Jul,387817,371868,15949,4.1
2018,Aug,384012,368502,15510,4.0
2018,Sep,386280,371677,14603,3.8
2018,Oct,388184,374210,13974,3.6
2018,Nov,389309,375599,13710,3.5
2018,Dec,389902,375824,14078,3.6
2019,Jan,389888,374239,15649,4.0
2019,Feb,392452,378085,14367,3.7
2019,Mar,391023,377395,13628,3.5
2019,Apr,388975,377271,11704,3.0
2019,May,389097,376950,12147,3.1
2019,Jun,391307,377071,14236,3.6
2019,Jul,392806,378023,14783,3.8
2019,Aug,390701,376254,14447,3.7
2019,Sep,393742,380281,13461,3.4
2019,Oct,394963,381779,13184,3.3
2019,Nov,396637,383473,13164,3.3
2019,Dec,395701,383009,12692,3.2
2020,Jan,395479,381076,14403,3.6
2020,Feb,399539,385635,13904,3.5
2020,Mar,392075,372374,19701,5.0
2020,Apr,361957,315105,46852,12.9
