Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481590000000003,LAUCN481590000000004,LAUCN481590000000005,LAUCN481590000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Franklin County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,4750,4291,459,9.7
2010,Feb,4773,4347,426,8.9
2010,Mar,4836,4409,427,8.8
2010,Apr,4864,4464,400,8.2
2010,May,4865,4473,392,8.1
2010,Jun,4897,4476,421,8.6
2010,Jul,4864,4443,421,8.7
2010,Aug,4829,4407,422,8.7
2010,Sep,4803,4393,410,8.5
2010,Oct,4740,4348,392,8.3
2010,Nov,4767,4355,412,8.6
2010,Dec,4734,4353,381,8.0
2011,Jan,4747,4338,409,8.6
2011,Feb,4727,4341,386,8.2
2011,Mar,4773,4397,376,7.9
2011,Apr,4794,4422,372,7.8
2011,May,4801,4419,382,8.0
2011,Jun,4843,4418,425,8.8
2011,Jul,4826,4407,419,8.7
2011,Aug,4777,4372,405,8.5
2011,Sep,4754,4358,396,8.3
2011,Oct,4672,4300,372,8.0
2011,Nov,4691,4334,357,7.6
2011,Dec,4667,4315,352,7.5
2012,Jan,4598,4245,353,7.7
2012,Feb,4668,4306,362,7.8
2012,Mar,4659,4309,350,7.5
2012,Apr,4632,4311,321,6.9
2012,May,4639,4297,342,7.4
2012,Jun,4695,4329,366,7.8
2012,Jul,4618,4252,366,7.9
2012,Aug,4576,4241,335,7.3
2012,Sep,4631,4314,317,6.8
2012,Oct,4598,4267,331,7.2
2012,Nov,4622,4296,326,7.1
2012,Dec,4618,4283,335,7.3
2013,Jan,4652,4298,354,7.6
2013,Feb,4666,4337,329,7.1
2013,Mar,4644,4338,306,6.6
2013,Apr,4687,4393,294,6.3
2013,May,4707,4403,304,6.5
2013,Jun,4712,4373,339,7.2
2013,Jul,4705,4368,337,7.2
2013,Aug,4705,4394,311,6.6
2013,Sep,4759,4466,293,6.2
2013,Oct,4688,4397,291,6.2
2013,Nov,4661,4402,259,5.6
2013,Dec,4696,4444,252,5.4
2014,Jan,4613,4356,257,5.6
2014,Feb,4708,4447,261,5.5
2014,Mar,4708,4456,252,5.4
2014,Apr,4698,4483,215,4.6
2014,May,4726,4490,236,5.0
2014,Jun,4747,4492,255,5.4
2014,Jul,4698,4431,267,5.7
2014,Aug,4674,4408,266,5.7
2014,Sep,4689,4442,247,5.3
2014,Oct,4599,4376,223,4.8
2014,Nov,4575,4364,211,4.6
2014,Dec,4527,4341,186,4.1
2015,Jan,4570,4354,216,4.7
2015,Feb,4601,4387,214,4.7
2015,Mar,4570,4370,200,4.4
2015,Apr,4590,4391,199,4.3
2015,May,4635,4409,226,4.9
2015,Jun,4666,4427,239,5.1
2015,Jul,4563,4316,247,5.4
2015,Aug,4556,4323,233,5.1
2015,Sep,4492,4263,229,5.1
2015,Oct,4498,4273,225,5.0
2015,Nov,4484,4266,218,4.9
2015,Dec,4455,4244,211,4.7
2016,Jan,4431,4217,214,4.8
2016,Feb,4558,4350,208,4.6
2016,Mar,4596,4391,205,4.5
2016,Apr,4549,4358,191,4.2
2016,May,4567,4367,200,4.4
2016,Jun,4588,4351,237,5.2
2016,Jul,4500,4265,235,5.2
2016,Aug,4508,4267,241,5.3
2016,Sep,4469,4228,241,5.4
2016,Oct,4447,4227,220,4.9
2016,Nov,4450,4226,224,5.0
2016,Dec,4427,4200,227,5.1
2017,Jan,4521,4265,256,5.7
2017,Feb,4592,4347,245,5.3
2017,Mar,4653,4429,224,4.8
2017,Apr,4632,4435,197,4.3
2017,May,4606,4410,196,4.3
2017,Jun,4582,4366,216,4.7
2017,Jul,4516,4294,222,4.9
2017,Aug,4516,4291,225,5.0
2017,Sep,4493,4299,194,4.3
2017,Oct,4484,4303,181,4.0
2017,Nov,4463,4275,188,4.2
2017,Dec,4470,4284,186,4.2
2018,Jan,4517,4310,207,4.6
2018,Feb,4613,4399,214,4.6
2018,Mar,4648,4447,201,4.3
2018,Apr,4601,4420,181,3.9
2018,May,4590,4421,169,3.7
2018,Jun,4617,4418,199,4.3
2018,Jul,4577,4385,192,4.2
2018,Aug,4549,4362,187,4.1
2018,Sep,4545,4360,185,4.1
2018,Oct,4518,4347,171,3.8
2018,Nov,4524,4356,168,3.7
2018,Dec,4487,4312,175,3.9
2019,Jan,4580,4374,206,4.5
2019,Feb,4620,4440,180,3.9
2019,Mar,4636,4460,176,3.8
2019,Apr,4644,4499,145,3.1
2019,May,4678,4528,150,3.2
2019,Jun,4735,4559,176,3.7
2019,Jul,4725,4537,188,4.0
2019,Aug,4697,4514,183,3.9
2019,Sep,4657,4496,161,3.5
2019,Oct,4642,4484,158,3.4
2019,Nov,4626,4464,162,3.5
2019,Dec,4608,4460,148,3.2
2020,Jan,4619,4451,168,3.6
2020,Feb,4674,4514,160,3.4
2020,Mar,4637,4416,221,4.8
2020,Apr,4084,3726,358,8.8
