Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481610000000003,LAUCN481610000000004,LAUCN481610000000005,LAUCN481610000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Freestone County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,8004,7285,719,9.0
2010,Feb,8050,7362,688,8.5
2010,Mar,8179,7513,666,8.1
2010,Apr,8244,7579,665,8.1
2010,May,8173,7524,649,7.9
2010,Jun,8274,7590,684,8.3
2010,Jul,8287,7593,694,8.4
2010,Aug,8192,7525,667,8.1
2010,Sep,8192,7519,673,8.2
2010,Oct,8071,7430,641,7.9
2010,Nov,8063,7397,666,8.3
2010,Dec,8059,7420,639,7.9
2011,Jan,8072,7404,668,8.3
2011,Feb,8025,7372,653,8.1
2011,Mar,8037,7399,638,7.9
2011,Apr,8033,7452,581,7.2
2011,May,8015,7412,603,7.5
2011,Jun,8189,7473,716,8.7
2011,Jul,8221,7527,694,8.4
2011,Aug,8194,7534,660,8.1
2011,Sep,8179,7521,658,8.0
2011,Oct,7977,7381,596,7.5
2011,Nov,8005,7433,572,7.1
2011,Dec,8001,7451,550,6.9
2012,Jan,7985,7408,577,7.2
2012,Feb,7929,7368,561,7.1
2012,Mar,7922,7390,532,6.7
2012,Apr,8023,7531,492,6.1
2012,May,8089,7568,521,6.4
2012,Jun,8238,7652,586,7.1
2012,Jul,8209,7613,596,7.3
2012,Aug,8149,7593,556,6.8
2012,Sep,8184,7655,529,6.5
2012,Oct,8042,7537,505,6.3
2012,Nov,7979,7469,510,6.4
2012,Dec,7988,7443,545,6.8
2013,Jan,7898,7283,615,7.8
2013,Feb,7853,7291,562,7.2
2013,Mar,7795,7264,531,6.8
2013,Apr,7882,7375,507,6.4
2013,May,7974,7439,535,6.7
2013,Jun,8098,7490,608,7.5
2013,Jul,8004,7419,585,7.3
2013,Aug,7932,7358,574,7.2
2013,Sep,7898,7349,549,7.0
2013,Oct,7675,7157,518,6.7
2013,Nov,7629,7150,479,6.3
2013,Dec,7677,7231,446,5.8
2014,Jan,7800,7314,486,6.2
2014,Feb,7908,7416,492,6.2
2014,Mar,7877,7418,459,5.8
2014,Apr,7749,7341,408,5.3
2014,May,7821,7377,444,5.7
2014,Jun,7902,7427,475,6.0
2014,Jul,8025,7535,490,6.1
2014,Aug,7967,7488,479,6.0
2014,Sep,7941,7514,427,5.4
2014,Oct,7815,7418,397,5.1
2014,Nov,7754,7368,386,5.0
2014,Dec,7678,7324,354,4.6
2015,Jan,7854,7469,385,4.9
2015,Feb,7835,7455,380,4.9
2015,Mar,7790,7418,372,4.8
2015,Apr,7657,7282,375,4.9
2015,May,7619,7211,408,5.4
2015,Jun,7605,7171,434,5.7
2015,Jul,7295,6878,417,5.7
2015,Aug,7178,6767,411,5.7
2015,Sep,7137,6732,405,5.7
2015,Oct,7039,6637,402,5.7
2015,Nov,6961,6553,408,5.9
2015,Dec,6971,6556,415,6.0
2016,Jan,6864,6433,431,6.3
2016,Feb,6985,6543,442,6.3
2016,Mar,7005,6553,452,6.5
2016,Apr,7038,6604,434,6.2
2016,May,7045,6604,441,6.3
2016,Jun,7018,6505,513,7.3
2016,Jul,6910,6403,507,7.3
2016,Aug,6885,6396,489,7.1
2016,Sep,6744,6268,476,7.1
2016,Oct,6639,6203,436,6.6
2016,Nov,6649,6215,434,6.5
2016,Dec,6604,6167,437,6.6
2017,Jan,6786,6260,526,7.8
2017,Feb,6869,6352,517,7.5
2017,Mar,6941,6452,489,7.0
2017,Apr,6888,6445,443,6.4
2017,May,6849,6434,415,6.1
2017,Jun,6834,6385,449,6.6
2017,Jul,6708,6274,434,6.5
2017,Aug,6710,6285,425,6.3
2017,Sep,6655,6272,383,5.8
2017,Oct,6638,6284,354,5.3
2017,Nov,6599,6230,369,5.6
2017,Dec,6581,6229,352,5.3
2018,Jan,6550,6156,394,6.0
2018,Feb,6680,6301,379,5.7
2018,Mar,6803,6377,426,6.3
2018,Apr,6605,6197,408,6.2
2018,May,6578,6200,378,5.7
2018,Jun,6611,6185,426,6.4
2018,Jul,6517,6111,406,6.2
2018,Aug,6542,6153,389,5.9
2018,Sep,6493,6122,371,5.7
2018,Oct,6424,6075,349,5.4
2018,Nov,6418,6088,330,5.1
2018,Dec,6404,6075,329,5.1
2019,Jan,6352,5997,355,5.6
2019,Feb,6400,6074,326,5.1
2019,Mar,6428,6121,307,4.8
2019,Apr,6314,6056,258,4.1
2019,May,6344,6077,267,4.2
2019,Jun,6415,6099,316,4.9
2019,Jul,6440,6106,334,5.2
2019,Aug,6511,6199,312,4.8
2019,Sep,6448,6144,304,4.7
2019,Oct,6424,6119,305,4.7
2019,Nov,6367,6054,313,4.9
2019,Dec,6363,6071,292,4.6
2020,Jan,6402,6048,354,5.5
2020,Feb,6436,6107,329,5.1
2020,Mar,6424,5951,473,7.4
2020,Apr,5582,4964,618,11.1
