Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481630000000003,LAUCN481630000000004,LAUCN481630000000005,LAUCN481630000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Frio County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,7380,6789,591,8.0
2010,Feb,7363,6775,588,8.0
2010,Mar,7481,6908,573,7.7
2010,Apr,7635,7100,535,7.0
2010,May,7565,7055,510,6.7
2010,Jun,7723,7128,595,7.7
2010,Jul,7673,7086,587,7.7
2010,Aug,7647,7077,570,7.5
2010,Sep,7653,7122,531,6.9
2010,Oct,7644,7124,520,6.8
2010,Nov,7613,7082,531,7.0
2010,Dec,7627,7124,503,6.6
2011,Jan,7640,7097,543,7.1
2011,Feb,7641,7101,540,7.1
2011,Mar,7868,7349,519,6.6
2011,Apr,7900,7414,486,6.2
2011,May,7908,7424,484,6.1
2011,Jun,7986,7411,575,7.2
2011,Jul,8057,7469,588,7.3
2011,Aug,8150,7582,568,7.0
2011,Sep,8144,7620,524,6.4
2011,Oct,8076,7604,472,5.8
2011,Nov,8109,7653,456,5.6
2011,Dec,8198,7739,459,5.6
2012,Jan,8478,8010,468,5.5
2012,Feb,8466,8007,459,5.4
2012,Mar,8622,8187,435,5.0
2012,Apr,8506,8096,410,4.8
2012,May,8746,8324,422,4.8
2012,Jun,8793,8305,488,5.5
2012,Jul,8903,8406,497,5.6
2012,Aug,8704,8253,451,5.2
2012,Sep,8614,8210,404,4.7
2012,Oct,8789,8386,403,4.6
2012,Nov,8769,8369,400,4.6
2012,Dec,8687,8276,411,4.7
2013,Jan,8731,8268,463,5.3
2013,Feb,8820,8386,434,4.9
2013,Mar,8854,8452,402,4.5
2013,Apr,9023,8638,385,4.3
2013,May,9227,8785,442,4.8
2013,Jun,9334,8823,511,5.5
2013,Jul,9482,8984,498,5.3
2013,Aug,9222,8758,464,5.0
2013,Sep,9542,9108,434,4.5
2013,Oct,9616,9207,409,4.3
2013,Nov,9817,9426,391,4.0
2013,Dec,9786,9409,377,3.9
2014,Jan,9929,9532,397,4.0
2014,Feb,10079,9680,399,4.0
2014,Mar,10191,9819,372,3.7
2014,Apr,10479,10151,328,3.1
2014,May,10424,10055,369,3.5
2014,Jun,10398,9989,409,3.9
2014,Jul,10534,10111,423,4.0
2014,Aug,10273,9881,392,3.8
2014,Sep,10549,10195,354,3.4
2014,Oct,10601,10257,344,3.2
2014,Nov,10467,10129,338,3.2
2014,Dec,10327,10016,311,3.0
2015,Jan,10469,10123,346,3.3
2015,Feb,10534,10189,345,3.3
2015,Mar,10352,10014,338,3.3
2015,Apr,10301,9983,318,3.1
2015,May,10126,9774,352,3.5
2015,Jun,10004,9600,404,4.0
2015,Jul,9793,9373,420,4.3
2015,Aug,9505,9104,401,4.2
2015,Sep,9419,9025,394,4.2
2015,Oct,9199,8809,390,4.2
2015,Nov,8998,8599,399,4.4
2015,Dec,8954,8561,393,4.4
2016,Jan,8859,8455,404,4.6
2016,Feb,9119,8706,413,4.5
2016,Mar,8953,8518,435,4.9
2016,Apr,8859,8451,408,4.6
2016,May,8904,8497,407,4.6
2016,Jun,8704,8244,460,5.3
2016,Jul,8589,8118,471,5.5
2016,Aug,8691,8231,460,5.3
2016,Sep,8706,8264,442,5.1
2016,Oct,8630,8220,410,4.8
2016,Nov,8663,8262,401,4.6
2016,Dec,8635,8229,406,4.7
2017,Jan,9050,8602,448,5.0
2017,Feb,9144,8711,433,4.7
2017,Mar,9520,9112,408,4.3
2017,Apr,9533,9159,374,3.9
2017,May,9585,9224,361,3.8
2017,Jun,9449,9048,401,4.2
2017,Jul,9284,8889,395,4.3
2017,Aug,9391,9012,379,4.0
2017,Sep,9378,9069,309,3.3
2017,Oct,9432,9134,298,3.2
2017,Nov,9306,8997,309,3.3
2017,Dec,9291,8990,301,3.2
2018,Jan,9622,9292,330,3.4
2018,Feb,9697,9373,324,3.3
2018,Mar,9929,9632,297,3.0
2018,Apr,10256,9997,259,2.5
2018,May,10346,10103,243,2.3
2018,Jun,10366,10053,313,3.0
2018,Jul,10457,10136,321,3.1
2018,Aug,10426,10134,292,2.8
2018,Sep,10453,10173,280,2.7
2018,Oct,10259,9996,263,2.6
2018,Nov,10260,9998,262,2.6
2018,Dec,10178,9905,273,2.7
2019,Jan,10364,10062,302,2.9
2019,Feb,10502,10211,291,2.8
2019,Mar,10558,10296,262,2.5
2019,Apr,10499,10273,226,2.2
2019,May,10545,10305,240,2.3
2019,Jun,10476,10162,314,3.0
2019,Jul,10523,10202,321,3.1
2019,Aug,10534,10259,275,2.6
2019,Sep,10431,10188,243,2.3
2019,Oct,10467,10213,254,2.4
2019,Nov,10324,10058,266,2.6
2019,Dec,10330,10075,255,2.5
2020,Jan,10452,10132,320,3.1
2020,Feb,10484,10191,293,2.8
2020,Mar,10350,9940,410,4.0
2020,Apr,9021,8435,586,6.5
