Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481650000000003,LAUCN481650000000004,LAUCN481650000000005,LAUCN481650000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Gaines County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,7446,6921,525,7.1
2010,Feb,7535,7037,498,6.6
2010,Mar,7700,7200,500,6.5
2010,Apr,7983,7506,477,6.0
2010,May,7931,7467,464,5.9
2010,Jun,8102,7602,500,6.2
2010,Jul,8181,7687,494,6.0
2010,Aug,8085,7610,475,5.9
2010,Sep,8115,7667,448,5.5
2010,Oct,8048,7623,425,5.3
2010,Nov,8068,7626,442,5.5
2010,Dec,8025,7620,405,5.0
2011,Jan,8163,7717,446,5.5
2011,Feb,8249,7818,431,5.2
2011,Mar,8436,8015,421,5.0
2011,Apr,8513,8095,418,4.9
2011,May,8433,8009,424,5.0
2011,Jun,8601,8109,492,5.7
2011,Jul,8593,8106,487,5.7
2011,Aug,8591,8135,456,5.3
2011,Sep,8602,8152,450,5.2
2011,Oct,8512,8105,407,4.8
2011,Nov,8642,8254,388,4.5
2011,Dec,8764,8395,369,4.2
2012,Jan,8547,8145,402,4.7
2012,Feb,8433,8045,388,4.6
2012,Mar,8576,8206,370,4.3
2012,Apr,8680,8331,349,4.0
2012,May,8845,8471,374,4.2
2012,Jun,9048,8619,429,4.7
2012,Jul,8900,8475,425,4.8
2012,Aug,8825,8436,389,4.4
2012,Sep,8947,8598,349,3.9
2012,Oct,8871,8532,339,3.8
2012,Nov,8873,8543,330,3.7
2012,Dec,8882,8545,337,3.8
2013,Jan,8652,8255,397,4.6
2013,Feb,8737,8359,378,4.3
2013,Mar,8593,8232,361,4.2
2013,Apr,8785,8442,343,3.9
2013,May,8897,8529,368,4.1
2013,Jun,9074,8634,440,4.8
2013,Jul,9021,8587,434,4.8
2013,Aug,8859,8463,396,4.5
2013,Sep,9089,8712,377,4.1
2013,Oct,9188,8846,342,3.7
2013,Nov,9009,8688,321,3.6
2013,Dec,9084,8779,305,3.4
2014,Jan,9091,8767,324,3.6
2014,Feb,9357,9018,339,3.6
2014,Mar,9217,8898,319,3.5
2014,Apr,9354,9085,269,2.9
2014,May,9555,9246,309,3.2
2014,Jun,9538,9196,342,3.6
2014,Jul,9593,9238,355,3.7
2014,Aug,9360,9034,326,3.5
2014,Sep,9458,9166,292,3.1
2014,Oct,9463,9188,275,2.9
2014,Nov,9314,9046,268,2.9
2014,Dec,9227,8985,242,2.6
2015,Jan,9303,9022,281,3.0
2015,Feb,9385,9098,287,3.1
2015,Mar,9395,9121,274,2.9
2015,Apr,9334,9061,273,2.9
2015,May,9491,9176,315,3.3
2015,Jun,9556,9217,339,3.5
2015,Jul,9519,9180,339,3.6
2015,Aug,9396,9085,311,3.3
2015,Sep,9436,9127,309,3.3
2015,Oct,9458,9147,311,3.3
2015,Nov,9274,8964,310,3.3
2015,Dec,9332,9033,299,3.2
2016,Jan,9191,8860,331,3.6
2016,Feb,9448,9104,344,3.6
2016,Mar,9371,9028,343,3.7
2016,Apr,9353,9022,331,3.5
2016,May,9557,9228,329,3.4
2016,Jun,9447,9073,374,4.0
2016,Jul,9002,8644,358,4.0
2016,Aug,9084,8728,356,3.9
2016,Sep,8939,8586,353,3.9
2016,Oct,8900,8563,337,3.8
2016,Nov,8867,8551,316,3.6
2016,Dec,8983,8663,320,3.6
2017,Jan,9020,8679,341,3.8
2017,Feb,9230,8899,331,3.6
2017,Mar,9372,9067,305,3.3
2017,Apr,9355,9086,269,2.9
2017,May,9339,9062,277,3.0
2017,Jun,9393,9096,297,3.2
2017,Jul,9197,8905,292,3.2
2017,Aug,9311,9025,286,3.1
2017,Sep,9190,8940,250,2.7
2017,Oct,9244,9013,231,2.5
2017,Nov,9137,8887,250,2.7
2017,Dec,9189,8953,236,2.6
2018,Jan,9328,9082,246,2.6
2018,Feb,9502,9253,249,2.6
2018,Mar,9600,9356,244,2.5
2018,Apr,9391,9170,221,2.4
2018,May,9467,9244,223,2.4
2018,Jun,9349,9067,282,3.0
2018,Jul,9413,9157,256,2.7
2018,Aug,9457,9211,246,2.6
2018,Sep,9491,9260,231,2.4
2018,Oct,9394,9166,228,2.4
2018,Nov,9393,9175,218,2.3
2018,Dec,9341,9112,229,2.5
2019,Jan,9599,9344,255,2.7
2019,Feb,9764,9526,238,2.4
2019,Mar,9826,9598,228,2.3
2019,Apr,9765,9573,192,2.0
2019,May,9910,9705,205,2.1
2019,Jun,9844,9585,259,2.6
2019,Jul,9821,9555,266,2.7
2019,Aug,10002,9743,259,2.6
2019,Sep,9818,9587,231,2.4
2019,Oct,9885,9656,229,2.3
2019,Nov,9715,9480,235,2.4
2019,Dec,9792,9572,220,2.2
2020,Jan,9879,9614,265,2.7
2020,Feb,10000,9739,261,2.6
2020,Mar,9826,9451,375,3.8
2020,Apr,8538,7930,608,7.1
