Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481670000000003,LAUCN481670000000004,LAUCN481670000000005,LAUCN481670000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Galveston County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,144791,130901,13890,9.6
2010,Feb,145188,131672,13516,9.3
2010,Mar,145789,132296,13493,9.3
2010,Apr,147160,134270,12890,8.8
2010,May,146875,133982,12893,8.8
2010,Jun,147345,133575,13770,9.3
2010,Jul,148477,134379,14098,9.5
2010,Aug,148051,134472,13579,9.2
2010,Sep,148380,135094,13286,9.0
2010,Oct,148165,135028,13137,8.9
2010,Nov,148829,135191,13638,9.2
2010,Dec,148798,135543,13255,8.9
2011,Jan,147784,133970,13814,9.3
2011,Feb,147862,134713,13149,8.9
2011,Mar,148427,135543,12884,8.7
2011,Apr,148840,136183,12657,8.5
2011,May,149245,136201,13044,8.7
2011,Jun,150314,136029,14285,9.5
2011,Jul,150460,136379,14081,9.4
2011,Aug,150138,136462,13676,9.1
2011,Sep,151115,137619,13496,8.9
2011,Oct,151170,138321,12849,8.5
2011,Nov,151331,138840,12491,8.3
2011,Dec,151602,139267,12335,8.1
2012,Jan,150853,138216,12637,8.4
2012,Feb,151388,139271,12117,8.0
2012,Mar,151909,140124,11785,7.8
2012,Apr,151570,140496,11074,7.3
2012,May,152602,141027,11575,7.6
2012,Jun,153828,141049,12779,8.3
2012,Jul,154302,141547,12755,8.3
2012,Aug,153169,141171,11998,7.8
2012,Sep,154144,142945,11199,7.3
2012,Oct,154740,143820,10920,7.1
2012,Nov,154272,143727,10545,6.8
2012,Dec,154994,144018,10976,7.1
2013,Jan,154517,142583,11934,7.7
2013,Feb,154684,143657,11027,7.1
2013,Mar,154751,144026,10725,6.9
2013,Apr,155081,144881,10200,6.6
2013,May,155934,145173,10761,6.9
2013,Jun,156672,144856,11816,7.5
2013,Jul,156946,145456,11490,7.3
2013,Aug,155981,144971,11010,7.1
2013,Sep,156337,145763,10574,6.8
2013,Oct,155638,145379,10259,6.6
2013,Nov,156303,146644,9659,6.2
2013,Dec,156201,147121,9080,5.8
2014,Jan,156093,146546,9547,6.1
2014,Feb,156844,147445,9399,6.0
2014,Mar,157549,148192,9357,5.9
2014,Apr,156786,148708,8078,5.2
2014,May,157391,148764,8627,5.5
2014,Jun,158033,148608,9425,6.0
2014,Jul,159021,149125,9896,6.2
2014,Aug,158247,148702,9545,6.0
2014,Sep,158229,149569,8660,5.5
2014,Oct,158521,150524,7997,5.0
2014,Nov,158742,150652,8090,5.1
2014,Dec,158215,150674,7541,4.8
2015,Jan,158229,149988,8241,5.2
2015,Feb,158415,150512,7903,5.0
2015,Mar,157984,150377,7607,4.8
2015,Apr,157805,150729,7076,4.5
2015,May,158002,150437,7565,4.8
2015,Jun,158020,149792,8228,5.2
2015,Jul,158284,149801,8483,5.4
2015,Aug,157450,149377,8073,5.1
2015,Sep,157266,149415,7851,5.0
2015,Oct,157608,149965,7643,4.8
2015,Nov,158203,150267,7936,5.0
2015,Dec,158260,150580,7680,4.9
2016,Jan,159037,151096,7941,5.0
2016,Feb,159745,152044,7701,4.8
2016,Mar,159972,152052,7920,5.0
2016,Apr,159508,151963,7545,4.7
2016,May,159176,151580,7596,4.8
2016,Jun,160120,151150,8970,5.6
2016,Jul,160853,151484,9369,5.8
2016,Aug,160149,150741,9408,5.9
2016,Sep,160710,151268,9442,5.9
2016,Oct,160257,151519,8738,5.5
2016,Nov,160463,151845,8618,5.4
2016,Dec,160470,151515,8955,5.6
2017,Jan,160673,151021,9652,6.0
2017,Feb,161523,152337,9186,5.7
2017,Mar,161764,153114,8650,5.3
2017,Apr,161715,153659,8056,5.0
2017,May,161268,153277,7991,5.0
2017,Jun,162049,153281,8768,5.4
2017,Jul,162433,153686,8747,5.4
2017,Aug,161920,152981,8939,5.5
2017,Sep,162824,154132,8692,5.3
2017,Oct,161903,154218,7685,4.7
2017,Nov,162861,154946,7915,4.9
2017,Dec,162789,154895,7894,4.8
2018,Jan,161651,153120,8531,5.3
2018,Feb,163547,155360,8187,5.0
2018,Mar,163059,155384,7675,4.7
2018,Apr,162758,155597,7161,4.4
2018,May,162604,155538,7066,4.3
2018,Jun,163593,155418,8175,5.0
2018,Jul,163827,155936,7891,4.8
2018,Aug,162237,154614,7623,4.7
2018,Sep,163121,155901,7220,4.4
2018,Oct,163612,156929,6683,4.1
2018,Nov,164270,157475,6795,4.1
2018,Dec,164691,157514,7177,4.4
2019,Jan,164806,156853,7953,4.8
2019,Feb,165524,158521,7003,4.2
2019,Mar,164789,158316,6473,3.9
2019,Apr,163840,158229,5611,3.4
2019,May,163966,158141,5825,3.6
2019,Jun,165031,158148,6883,4.2
2019,Jul,165810,158539,7271,4.4
2019,Aug,165085,157895,7190,4.4
2019,Sep,165994,159490,6504,3.9
2019,Oct,166498,160169,6329,3.8
2019,Nov,167238,160772,6466,3.9
2019,Dec,167164,160608,6556,3.9
2020,Jan,167082,159785,7297,4.4
2020,Feb,168474,161720,6754,4.0
2020,Mar,165687,156198,9489,5.7
2020,Apr,156686,132203,24483,15.6
