Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481690000000003,LAUCN481690000000004,LAUCN481690000000005,LAUCN481690000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Garza County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2122,1987,135,6.4
2010,Feb,2107,1974,133,6.3
2010,Mar,2107,1975,132,6.3
2010,Apr,2143,2021,122,5.7
2010,May,2124,2000,124,5.8
2010,Jun,2157,2023,134,6.2
2010,Jul,2164,2034,130,6.0
2010,Aug,2149,2024,125,5.8
2010,Sep,2143,2016,127,5.9
2010,Oct,2128,2015,113,5.3
2010,Nov,2151,2032,119,5.5
2010,Dec,2225,2105,120,5.4
2011,Jan,2201,2070,131,6.0
2011,Feb,2199,2070,129,5.9
2011,Mar,2219,2089,130,5.9
2011,Apr,2188,2062,126,5.8
2011,May,2188,2057,131,6.0
2011,Jun,2219,2069,150,6.8
2011,Jul,2272,2118,154,6.8
2011,Aug,2267,2123,144,6.4
2011,Sep,2256,2115,141,6.3
2011,Oct,2214,2086,128,5.8
2011,Nov,2241,2116,125,5.6
2011,Dec,2234,2113,121,5.4
2012,Jan,2192,2070,122,5.6
2012,Feb,2180,2061,119,5.5
2012,Mar,2176,2064,112,5.1
2012,Apr,2156,2051,105,4.9
2012,May,2171,2061,110,5.1
2012,Jun,2211,2091,120,5.4
2012,Jul,2221,2104,117,5.3
2012,Aug,2205,2095,110,5.0
2012,Sep,2186,2089,97,4.4
2012,Oct,2230,2130,100,4.5
2012,Nov,2210,2115,95,4.3
2012,Dec,2205,2108,97,4.4
2013,Jan,2199,2087,112,5.1
2013,Feb,2177,2075,102,4.7
2013,Mar,2166,2072,94,4.3
2013,Apr,2223,2129,94,4.2
2013,May,2226,2120,106,4.8
2013,Jun,2250,2132,118,5.2
2013,Jul,2313,2197,116,5.0
2013,Aug,2280,2176,104,4.6
2013,Sep,2293,2194,99,4.3
2013,Oct,2246,2154,92,4.1
2013,Nov,2242,2151,91,4.1
2013,Dec,2241,2154,87,3.9
2014,Jan,2197,2112,85,3.9
2014,Feb,2228,2132,96,4.3
2014,Mar,2253,2161,92,4.1
2014,Apr,2263,2184,79,3.5
2014,May,2269,2189,80,3.5
2014,Jun,2293,2208,85,3.7
2014,Jul,2302,2212,90,3.9
2014,Aug,2267,2178,89,3.9
2014,Sep,2255,2177,78,3.5
2014,Oct,2240,2166,74,3.3
2014,Nov,2210,2141,69,3.1
2014,Dec,2177,2115,62,2.8
2015,Jan,2154,2078,76,3.5
2015,Feb,2162,2088,74,3.4
2015,Mar,2164,2090,74,3.4
2015,Apr,2165,2087,78,3.6
2015,May,2159,2078,81,3.8
2015,Jun,2150,2065,85,4.0
2015,Jul,2118,2035,83,3.9
2015,Aug,2094,2020,74,3.5
2015,Sep,2097,2023,74,3.5
2015,Oct,2109,2031,78,3.7
2015,Nov,2097,2015,82,3.9
2015,Dec,2104,2028,76,3.6
2016,Jan,2095,2005,90,4.3
2016,Feb,2134,2044,90,4.2
2016,Mar,2152,2059,93,4.3
2016,Apr,2126,2044,82,3.9
2016,May,2160,2081,79,3.7
2016,Jun,2164,2082,82,3.8
2016,Jul,2138,2048,90,4.2
2016,Aug,2109,2031,78,3.7
2016,Sep,2127,2045,82,3.9
2016,Oct,2109,2033,76,3.6
2016,Nov,2108,2031,77,3.7
2016,Dec,2125,2051,74,3.5
2017,Jan,2122,2035,87,4.1
2017,Feb,2141,2052,89,4.2
2017,Mar,2155,2077,78,3.6
2017,Apr,2138,2072,66,3.1
2017,May,2109,2044,65,3.1
2017,Jun,2101,2028,73,3.5
2017,Jul,2128,2054,74,3.5
2017,Aug,2136,2062,74,3.5
2017,Sep,2119,2057,62,2.9
2017,Oct,2102,2047,55,2.6
2017,Nov,2089,2028,61,2.9
2017,Dec,2118,2059,59,2.8
2018,Jan,2159,2097,62,2.9
2018,Feb,2172,2104,68,3.1
2018,Mar,2182,2114,68,3.1
2018,Apr,2134,2071,63,3.0
2018,May,2137,2079,58,2.7
2018,Jun,2143,2074,69,3.2
2018,Jul,2109,2045,64,3.0
2018,Aug,2100,2037,63,3.0
2018,Sep,2105,2044,61,2.9
2018,Oct,2111,2057,54,2.6
2018,Nov,2140,2084,56,2.6
2018,Dec,2132,2078,54,2.5
2019,Jan,2161,2095,66,3.1
2019,Feb,2189,2124,65,3.0
2019,Mar,2183,2121,62,2.8
2019,Apr,2184,2131,53,2.4
2019,May,2172,2123,49,2.3
2019,Jun,2180,2116,64,2.9
2019,Jul,2191,2129,62,2.8
2019,Aug,2202,2142,60,2.7
2019,Sep,2160,2103,57,2.6
2019,Oct,2161,2108,53,2.5
2019,Nov,2157,2100,57,2.6
2019,Dec,2170,2108,62,2.9
2020,Jan,2182,2107,75,3.4
2020,Feb,2189,2121,68,3.1
2020,Mar,2162,2064,98,4.5
2020,Apr,1874,1718,156,8.3
