Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481710000000003,LAUCN481710000000004,LAUCN481710000000005,LAUCN481710000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Gillespie County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,11958,11240,718,6.0
2010,Feb,11893,11218,675,5.7
2010,Mar,11944,11272,672,5.6
2010,Apr,12134,11469,665,5.5
2010,May,12053,11413,640,5.3
2010,Jun,12269,11571,698,5.7
2010,Jul,12229,11542,687,5.6
2010,Aug,12326,11664,662,5.4
2010,Sep,12401,11743,658,5.3
2010,Oct,12322,11687,635,5.2
2010,Nov,12396,11733,663,5.3
2010,Dec,12465,11848,617,4.9
2011,Jan,12412,11720,692,5.6
2011,Feb,12272,11610,662,5.4
2011,Mar,12387,11734,653,5.3
2011,Apr,12475,11844,631,5.1
2011,May,12454,11806,648,5.2
2011,Jun,12637,11893,744,5.9
2011,Jul,12454,11713,741,5.9
2011,Aug,12472,11771,701,5.6
2011,Sep,12379,11678,701,5.7
2011,Oct,12398,11777,621,5.0
2011,Nov,12404,11810,594,4.8
2011,Dec,12625,12064,561,4.4
2012,Jan,12314,11685,629,5.1
2012,Feb,12234,11634,600,4.9
2012,Mar,12322,11753,569,4.6
2012,Apr,12228,11690,538,4.4
2012,May,12250,11666,584,4.8
2012,Jun,12504,11859,645,5.2
2012,Jul,12457,11800,657,5.3
2012,Aug,12380,11776,604,4.9
2012,Sep,12356,11800,556,4.5
2012,Oct,12261,11733,528,4.3
2012,Nov,12280,11765,515,4.2
2012,Dec,12383,11860,523,4.2
2013,Jan,12221,11605,616,5.0
2013,Feb,12156,11596,560,4.6
2013,Mar,12216,11681,535,4.4
2013,Apr,12339,11827,512,4.1
2013,May,12508,11948,560,4.5
2013,Jun,12665,12046,619,4.9
2013,Jul,12699,12089,610,4.8
2013,Aug,12445,11889,556,4.5
2013,Sep,12479,11925,554,4.4
2013,Oct,12343,11831,512,4.1
2013,Nov,12455,11972,483,3.9
2013,Dec,12582,12133,449,3.6
2014,Jan,12315,11840,475,3.9
2014,Feb,12374,11890,484,3.9
2014,Mar,12457,11990,467,3.7
2014,Apr,12470,12099,371,3.0
2014,May,12498,12056,442,3.5
2014,Jun,12596,12130,466,3.7
2014,Jul,12686,12182,504,4.0
2014,Aug,12583,12114,469,3.7
2014,Sep,12535,12088,447,3.6
2014,Oct,12612,12199,413,3.3
2014,Nov,12617,12216,401,3.2
2014,Dec,12675,12318,357,2.8
2015,Jan,12496,12081,415,3.3
2015,Feb,12466,12082,384,3.1
2015,Mar,12677,12325,352,2.8
2015,Apr,12583,12263,320,2.5
2015,May,12730,12368,362,2.8
2015,Jun,12776,12389,387,3.0
2015,Jul,12814,12417,397,3.1
2015,Aug,12628,12284,344,2.7
2015,Sep,12505,12144,361,2.9
2015,Oct,12586,12227,359,2.9
2015,Nov,12640,12290,350,2.8
2015,Dec,12846,12521,325,2.5
2016,Jan,12651,12304,347,2.7
2016,Feb,12872,12519,353,2.7
2016,Mar,13030,12673,357,2.7
2016,Apr,12951,12631,320,2.5
2016,May,13113,12776,337,2.6
2016,Jun,13176,12789,387,2.9
2016,Jul,13170,12755,415,3.2
2016,Aug,13074,12683,391,3.0
2016,Sep,12875,12477,398,3.1
2016,Oct,12919,12534,385,3.0
2016,Nov,13040,12670,370,2.8
2016,Dec,13018,12656,362,2.8
2017,Jan,12782,12385,397,3.1
2017,Feb,13018,12626,392,3.0
2017,Mar,13167,12807,360,2.7
2017,Apr,13117,12813,304,2.3
2017,May,13174,12843,331,2.5
2017,Jun,13319,12975,344,2.6
2017,Jul,13240,12871,369,2.8
2017,Aug,13169,12822,347,2.6
2017,Sep,13063,12737,326,2.5
2017,Oct,13025,12727,298,2.3
2017,Nov,13217,12900,317,2.4
2017,Dec,13335,13034,301,2.3
2018,Jan,13143,12799,344,2.6
2018,Feb,13252,12907,345,2.6
2018,Mar,13463,13110,353,2.6
2018,Apr,13404,13093,311,2.3
2018,May,13465,13160,305,2.3
2018,Jun,13550,13193,357,2.6
2018,Jul,13515,13170,345,2.6
2018,Aug,13352,13001,351,2.6
2018,Sep,13269,12934,335,2.5
2018,Oct,13273,12947,326,2.5
2018,Nov,13482,13144,338,2.5
2018,Dec,13397,13058,339,2.5
2019,Jan,13330,12940,390,2.9
2019,Feb,13454,13087,367,2.7
2019,Mar,13521,13171,350,2.6
2019,Apr,13454,13167,287,2.1
2019,May,13529,13232,297,2.2
2019,Jun,13736,13387,349,2.5
2019,Jul,13699,13343,356,2.6
2019,Aug,13580,13241,339,2.5
2019,Sep,13479,13162,317,2.4
2019,Oct,13491,13189,302,2.2
2019,Nov,13593,13283,310,2.3
2019,Dec,13634,13348,286,2.1
2020,Jan,13486,13134,352,2.6
2020,Feb,13604,13256,348,2.6
2020,Mar,13462,12974,488,3.6
2020,Apr,12001,10756,1245,10.4
