Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481730000000003,LAUCN481730000000004,LAUCN481730000000005,LAUCN481730000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Glasscock County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,652,614,38,5.8
2010,Feb,657,620,37,5.6
2010,Mar,685,651,34,5.0
2010,Apr,702,670,32,4.6
2010,May,698,667,31,4.4
2010,Jun,731,695,36,4.9
2010,Jul,733,699,34,4.6
2010,Aug,711,674,37,5.2
2010,Sep,709,674,35,4.9
2010,Oct,725,691,34,4.7
2010,Nov,722,689,33,4.6
2010,Dec,725,693,32,4.4
2011,Jan,699,666,33,4.7
2011,Feb,694,662,32,4.6
2011,Mar,718,689,29,4.0
2011,Apr,725,694,31,4.3
2011,May,723,692,31,4.3
2011,Jun,781,745,36,4.6
2011,Jul,773,739,34,4.4
2011,Aug,800,767,33,4.1
2011,Sep,780,746,34,4.4
2011,Oct,737,707,30,4.1
2011,Nov,758,730,28,3.7
2011,Dec,779,751,28,3.6
2012,Jan,725,695,30,4.1
2012,Feb,712,681,31,4.4
2012,Mar,736,705,31,4.2
2012,Apr,761,730,31,4.1
2012,May,779,746,33,4.2
2012,Jun,819,783,36,4.4
2012,Jul,818,782,36,4.4
2012,Aug,780,748,32,4.1
2012,Sep,780,752,28,3.6
2012,Oct,759,733,26,3.4
2012,Nov,755,727,28,3.7
2012,Dec,727,702,25,3.4
2013,Jan,688,659,29,4.2
2013,Feb,688,662,26,3.8
2013,Mar,684,659,25,3.7
2013,Apr,730,706,24,3.3
2013,May,752,725,27,3.6
2013,Jun,784,752,32,4.1
2013,Jul,792,760,32,4.0
2013,Aug,754,728,26,3.4
2013,Sep,768,742,26,3.4
2013,Oct,784,759,25,3.2
2013,Nov,731,707,24,3.3
2013,Dec,766,743,23,3.0
2014,Jan,768,743,25,3.3
2014,Feb,795,771,24,3.0
2014,Mar,806,783,23,2.9
2014,Apr,829,809,20,2.4
2014,May,863,841,22,2.5
2014,Jun,864,839,25,2.9
2014,Jul,864,838,26,3.0
2014,Aug,837,814,23,2.7
2014,Sep,842,821,21,2.5
2014,Oct,851,832,19,2.2
2014,Nov,825,806,19,2.3
2014,Dec,827,810,17,2.1
2015,Jan,821,800,21,2.6
2015,Feb,851,831,20,2.4
2015,Mar,870,851,19,2.2
2015,Apr,843,825,18,2.1
2015,May,864,842,22,2.5
2015,Jun,850,825,25,2.9
2015,Jul,830,803,27,3.3
2015,Aug,799,776,23,2.9
2015,Sep,811,788,23,2.8
2015,Oct,797,773,24,3.0
2015,Nov,761,736,25,3.3
2015,Dec,764,735,29,3.8
2016,Jan,732,701,31,4.2
2016,Feb,783,757,26,3.3
2016,Mar,785,759,26,3.3
2016,Apr,802,772,30,3.7
2016,May,821,793,28,3.4
2016,Jun,792,757,35,4.4
2016,Jul,739,705,34,4.6
2016,Aug,760,729,31,4.1
2016,Sep,735,705,30,4.1
2016,Oct,681,653,28,4.1
2016,Nov,673,651,22,3.3
2016,Dec,675,652,23,3.4
2017,Jan,655,633,22,3.4
2017,Feb,690,668,22,3.2
2017,Mar,736,716,20,2.7
2017,Apr,720,703,17,2.4
2017,May,733,716,17,2.3
2017,Jun,721,700,21,2.9
2017,Jul,680,661,19,2.8
2017,Aug,708,689,19,2.7
2017,Sep,683,667,16,2.3
2017,Oct,740,724,16,2.2
2017,Nov,709,692,17,2.4
2017,Dec,732,716,16,2.2
2018,Jan,787,769,18,2.3
2018,Feb,803,786,17,2.1
2018,Mar,873,855,18,2.1
2018,Apr,851,836,15,1.8
2018,May,875,859,16,1.8
2018,Jun,855,837,18,2.1
2018,Jul,846,826,20,2.4
2018,Aug,908,889,19,2.1
2018,Sep,904,887,17,1.9
2018,Oct,888,871,17,1.9
2018,Nov,829,811,18,2.2
2018,Dec,805,789,16,2.0
2019,Jan,737,719,18,2.4
2019,Feb,774,756,18,2.3
2019,Mar,811,793,18,2.2
2019,Apr,789,775,14,1.8
2019,May,804,790,14,1.7
2019,Jun,814,794,20,2.5
2019,Jul,796,777,19,2.4
2019,Aug,827,808,19,2.3
2019,Sep,798,781,17,2.1
2019,Oct,821,805,16,1.9
2019,Nov,774,759,15,1.9
2019,Dec,790,775,15,1.9
2020,Jan,773,757,16,2.1
2020,Feb,790,773,17,2.2
2020,Mar,790,766,24,3.0
2020,Apr,682,649,33,4.8
