Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481750000000003,LAUCN481750000000004,LAUCN481750000000005,LAUCN481750000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Goliad County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3296,3028,268,8.1
2010,Feb,3301,3048,253,7.7
2010,Mar,3322,3080,242,7.3
2010,Apr,3386,3144,242,7.1
2010,May,3388,3148,240,7.1
2010,Jun,3419,3153,266,7.8
2010,Jul,3394,3131,263,7.7
2010,Aug,3379,3129,250,7.4
2010,Sep,3359,3122,237,7.1
2010,Oct,3329,3087,242,7.3
2010,Nov,3345,3103,242,7.2
2010,Dec,3351,3118,233,7.0
2011,Jan,3333,3091,242,7.3
2011,Feb,3317,3091,226,6.8
2011,Mar,3319,3108,211,6.4
2011,Apr,3330,3127,203,6.1
2011,May,3345,3136,209,6.2
2011,Jun,3390,3145,245,7.2
2011,Jul,3400,3155,245,7.2
2011,Aug,3401,3175,226,6.6
2011,Sep,3402,3189,213,6.3
2011,Oct,3404,3200,204,6.0
2011,Nov,3436,3230,206,6.0
2011,Dec,3442,3247,195,5.7
2012,Jan,3415,3213,202,5.9
2012,Feb,3419,3226,193,5.6
2012,Mar,3434,3249,185,5.4
2012,Apr,3442,3264,178,5.2
2012,May,3457,3266,191,5.5
2012,Jun,3502,3292,210,6.0
2012,Jul,3505,3296,209,6.0
2012,Aug,3485,3288,197,5.7
2012,Sep,3531,3348,183,5.2
2012,Oct,3523,3347,176,5.0
2012,Nov,3518,3338,180,5.1
2012,Dec,3525,3340,185,5.2
2013,Jan,3489,3275,214,6.1
2013,Feb,3475,3288,187,5.4
2013,Mar,3465,3287,178,5.1
2013,Apr,3516,3341,175,5.0
2013,May,3564,3364,200,5.6
2013,Jun,3578,3365,213,6.0
2013,Jul,3584,3382,202,5.6
2013,Aug,3566,3386,180,5.0
2013,Sep,3582,3398,184,5.1
2013,Oct,3548,3373,175,4.9
2013,Nov,3543,3386,157,4.4
2013,Dec,3546,3401,145,4.1
2014,Jan,3526,3366,160,4.5
2014,Feb,3557,3394,163,4.6
2014,Mar,3559,3411,148,4.2
2014,Apr,3556,3428,128,3.6
2014,May,3581,3432,149,4.2
2014,Jun,3590,3430,160,4.5
2014,Jul,3587,3420,167,4.7
2014,Aug,3591,3431,160,4.5
2014,Sep,3604,3459,145,4.0
2014,Oct,3604,3472,132,3.7
2014,Nov,3589,3461,128,3.6
2014,Dec,3563,3448,115,3.2
2015,Jan,3470,3338,132,3.8
2015,Feb,3479,3344,135,3.9
2015,Mar,3470,3335,135,3.9
2015,Apr,3479,3348,131,3.8
2015,May,3493,3342,151,4.3
2015,Jun,3475,3306,169,4.9
2015,Jul,3454,3278,176,5.1
2015,Aug,3436,3266,170,4.9
2015,Sep,3426,3262,164,4.8
2015,Oct,3413,3249,164,4.8
2015,Nov,3408,3243,165,4.8
2015,Dec,3375,3231,144,4.3
2016,Jan,3330,3171,159,4.8
2016,Feb,3349,3185,164,4.9
2016,Mar,3361,3175,186,5.5
2016,Apr,3355,3161,194,5.8
2016,May,3345,3150,195,5.8
2016,Jun,3314,3105,209,6.3
2016,Jul,3312,3104,208,6.3
2016,Aug,3308,3101,207,6.3
2016,Sep,3301,3097,204,6.2
2016,Oct,3275,3081,194,5.9
2016,Nov,3281,3087,194,5.9
2016,Dec,3264,3076,188,5.8
2017,Jan,3285,3080,205,6.2
2017,Feb,3314,3115,199,6.0
2017,Mar,3330,3146,184,5.5
2017,Apr,3320,3150,170,5.1
2017,May,3298,3141,157,4.8
2017,Jun,3284,3129,155,4.7
2017,Jul,3258,3102,156,4.8
2017,Aug,3251,3096,155,4.8
2017,Sep,3239,3091,148,4.6
2017,Oct,3233,3099,134,4.1
2017,Nov,3252,3112,140,4.3
2017,Dec,3249,3123,126,3.9
2018,Jan,3258,3118,140,4.3
2018,Feb,3298,3156,142,4.3
2018,Mar,3316,3176,140,4.2
2018,Apr,3300,3179,121,3.7
2018,May,3296,3180,116,3.5
2018,Jun,3287,3155,132,4.0
2018,Jul,3281,3154,127,3.9
2018,Aug,3265,3140,125,3.8
2018,Sep,3278,3162,116,3.5
2018,Oct,3263,3151,112,3.4
2018,Nov,3278,3165,113,3.4
2018,Dec,3268,3159,109,3.3
2019,Jan,3286,3155,131,4.0
2019,Feb,3300,3182,118,3.6
2019,Mar,3294,3185,109,3.3
2019,Apr,3245,3151,94,2.9
2019,May,3251,3160,91,2.8
2019,Jun,3256,3145,111,3.4
2019,Jul,3265,3147,118,3.6
2019,Aug,3268,3155,113,3.5
2019,Sep,3260,3158,102,3.1
2019,Oct,3273,3169,104,3.2
2019,Nov,3283,3166,117,3.6
2019,Dec,3277,3166,111,3.4
2020,Jan,3265,3135,130,4.0
2020,Feb,3271,3146,125,3.8
2020,Mar,3220,3040,180,5.6
2020,Apr,2825,2518,307,10.9
