Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481770000000003,LAUCN481770000000004,LAUCN481770000000005,LAUCN481770000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Gonzales County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,9053,8386,667,7.4
2010,Feb,9058,8410,648,7.2
2010,Mar,9232,8594,638,6.9
2010,Apr,9351,8731,620,6.6
2010,May,9294,8676,618,6.6
2010,Jun,9514,8853,661,6.9
2010,Jul,9482,8819,663,7.0
2010,Aug,9322,8695,627,6.7
2010,Sep,9340,8726,614,6.6
2010,Oct,9333,8730,603,6.5
2010,Nov,9333,8703,630,6.8
2010,Dec,9338,8718,620,6.6
2011,Jan,9294,8645,649,7.0
2011,Feb,9218,8603,615,6.7
2011,Mar,9368,8774,594,6.3
2011,Apr,9410,8841,569,6.0
2011,May,9391,8814,577,6.1
2011,Jun,9667,9014,653,6.8
2011,Jul,9626,8995,631,6.6
2011,Aug,9674,9077,597,6.2
2011,Sep,9651,9063,588,6.1
2011,Oct,9363,8831,532,5.7
2011,Nov,9462,8963,499,5.3
2011,Dec,9563,9077,486,5.1
2012,Jan,9226,8720,506,5.5
2012,Feb,9217,8720,497,5.4
2012,Mar,9337,8848,489,5.2
2012,Apr,9496,9048,448,4.7
2012,May,9523,9052,471,4.9
2012,Jun,9789,9246,543,5.5
2012,Jul,9648,9101,547,5.7
2012,Aug,9503,9012,491,5.2
2012,Sep,9519,9064,455,4.8
2012,Oct,9479,9034,445,4.7
2012,Nov,9441,9012,429,4.5
2012,Dec,9307,8868,439,4.7
2013,Jan,9226,8718,508,5.5
2013,Feb,9213,8704,509,5.5
2013,Mar,9141,8656,485,5.3
2013,Apr,9373,8903,470,5.0
2013,May,9567,9074,493,5.2
2013,Jun,9772,9218,554,5.7
2013,Jul,9752,9222,530,5.4
2013,Aug,9618,9127,491,5.1
2013,Sep,9730,9251,479,4.9
2013,Oct,9691,9223,468,4.8
2013,Nov,9527,9080,447,4.7
2013,Dec,9591,9181,410,4.3
2014,Jan,9700,9275,425,4.4
2014,Feb,9799,9367,432,4.4
2014,Mar,9861,9452,409,4.1
2014,Apr,9942,9592,350,3.5
2014,May,10165,9781,384,3.8
2014,Jun,10148,9737,411,4.1
2014,Jul,10067,9635,432,4.3
2014,Aug,9932,9532,400,4.0
2014,Sep,9997,9626,371,3.7
2014,Oct,10118,9771,347,3.4
2014,Nov,9895,9556,339,3.4
2014,Dec,9768,9467,301,3.1
2015,Jan,9595,9254,341,3.6
2015,Feb,9728,9397,331,3.4
2015,Mar,9789,9470,319,3.3
2015,Apr,9789,9486,303,3.1
2015,May,9914,9568,346,3.5
2015,Jun,9865,9497,368,3.7
2015,Jul,9656,9266,390,4.0
2015,Aug,9565,9203,362,3.8
2015,Sep,9706,9315,391,4.0
2015,Oct,9674,9293,381,3.9
2015,Nov,9556,9174,382,4.0
2015,Dec,9580,9226,354,3.7
2016,Jan,9365,8980,385,4.1
2016,Feb,9677,9290,387,4.0
2016,Mar,9802,9390,412,4.2
2016,Apr,9682,9303,379,3.9
2016,May,9807,9417,390,4.0
2016,Jun,9653,9202,451,4.7
2016,Jul,9466,9019,447,4.7
2016,Aug,9600,9169,431,4.5
2016,Sep,9527,9092,435,4.6
2016,Oct,9469,9073,396,4.2
2016,Nov,9376,9008,368,3.9
2016,Dec,9370,8997,373,4.0
2017,Jan,9387,8996,391,4.2
2017,Feb,9489,9101,388,4.1
2017,Mar,9739,9384,355,3.6
2017,Apr,9511,9205,306,3.2
2017,May,9517,9206,311,3.3
2017,Jun,9446,9105,341,3.6
2017,Jul,9189,8845,344,3.7
2017,Aug,9277,8943,334,3.6
2017,Sep,9180,8876,304,3.3
2017,Oct,9334,9054,280,3.0
2017,Nov,9158,8871,287,3.1
2017,Dec,9245,8969,276,3.0
2018,Jan,9219,8906,313,3.4
2018,Feb,9387,9085,302,3.2
2018,Mar,9684,9377,307,3.2
2018,Apr,9478,9210,268,2.8
2018,May,9652,9389,263,2.7
2018,Jun,9530,9209,321,3.4
2018,Jul,9522,9217,305,3.2
2018,Aug,9680,9378,302,3.1
2018,Sep,9659,9386,273,2.8
2018,Oct,9417,9154,263,2.8
2018,Nov,9368,9111,257,2.7
2018,Dec,9235,8977,258,2.8
2019,Jan,9413,9117,296,3.1
2019,Feb,9545,9275,270,2.8
2019,Mar,9684,9424,260,2.7
2019,Apr,9515,9302,213,2.2
2019,May,9614,9390,224,2.3
2019,Jun,9562,9295,267,2.8
2019,Jul,9549,9265,284,3.0
2019,Aug,9677,9398,279,2.9
2019,Sep,9630,9381,249,2.6
2019,Oct,9715,9462,253,2.6
2019,Nov,9484,9227,257,2.7
2019,Dec,9546,9304,242,2.5
2020,Jan,9640,9341,299,3.1
2020,Feb,9710,9425,285,2.9
2020,Mar,9644,9242,402,4.2
2020,Apr,8341,7734,607,7.3
