Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481790000000003,LAUCN481790000000004,LAUCN481790000000005,LAUCN481790000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Gray County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,9015,8069,946,10.5
2010,Feb,9028,8103,925,10.2
2010,Mar,9095,8191,904,9.9
2010,Apr,9248,8432,816,8.8
2010,May,9337,8546,791,8.5
2010,Jun,9256,8448,808,8.7
2010,Jul,9394,8611,783,8.3
2010,Aug,9372,8607,765,8.2
2010,Sep,9399,8684,715,7.6
2010,Oct,9384,8681,703,7.5
2010,Nov,9395,8667,728,7.7
2010,Dec,9461,8780,681,7.2
2011,Jan,9296,8569,727,7.8
2011,Feb,9369,8666,703,7.5
2011,Mar,9487,8814,673,7.1
2011,Apr,9547,8907,640,6.7
2011,May,9570,8929,641,6.7
2011,Jun,9803,9080,723,7.4
2011,Jul,9765,9073,692,7.1
2011,Aug,9789,9122,667,6.8
2011,Sep,9808,9145,663,6.8
2011,Oct,9700,9086,614,6.3
2011,Nov,9732,9161,571,5.9
2011,Dec,9740,9193,547,5.6
2012,Jan,9661,9082,579,6.0
2012,Feb,9591,9023,568,5.9
2012,Mar,9661,9120,541,5.6
2012,Apr,9620,9107,513,5.3
2012,May,9620,9081,539,5.6
2012,Jun,9874,9268,606,6.1
2012,Jul,9881,9271,610,6.2
2012,Aug,9677,9105,572,5.9
2012,Sep,9731,9205,526,5.4
2012,Oct,9696,9178,518,5.3
2012,Nov,9663,9190,473,4.9
2012,Dec,9714,9232,482,5.0
2013,Jan,9662,9112,550,5.7
2013,Feb,9637,9106,531,5.5
2013,Mar,9609,9111,498,5.2
2013,Apr,9822,9333,489,5.0
2013,May,9818,9301,517,5.3
2013,Jun,9981,9409,572,5.7
2013,Jul,10013,9471,542,5.4
2013,Aug,9900,9391,509,5.1
2013,Sep,9893,9395,498,5.0
2013,Oct,9715,9233,482,5.0
2013,Nov,9676,9233,443,4.6
2013,Dec,9710,9292,418,4.3
2014,Jan,9771,9320,451,4.6
2014,Feb,9772,9316,456,4.7
2014,Mar,9772,9344,428,4.4
2014,Apr,9670,9299,371,3.8
2014,May,9769,9377,392,4.0
2014,Jun,9897,9486,411,4.2
2014,Jul,9860,9431,429,4.4
2014,Aug,9896,9486,410,4.1
2014,Sep,9884,9501,383,3.9
2014,Oct,9834,9484,350,3.6
2014,Nov,9766,9426,340,3.5
2014,Dec,9694,9389,305,3.1
2015,Jan,9628,9238,390,4.1
2015,Feb,9604,9180,424,4.4
2015,Mar,9604,9162,442,4.6
2015,Apr,9454,8973,481,5.1
2015,May,9448,8926,522,5.5
2015,Jun,9504,8950,554,5.8
2015,Jul,9312,8741,571,6.1
2015,Aug,9164,8615,549,6.0
2015,Sep,9048,8478,570,6.3
2015,Oct,8934,8348,586,6.6
2015,Nov,8812,8216,596,6.8
2015,Dec,8803,8247,556,6.3
2016,Jan,8595,8024,571,6.6
2016,Feb,8628,8061,567,6.6
2016,Mar,8688,8097,591,6.8
2016,Apr,8643,8069,574,6.6
2016,May,8607,8022,585,6.8
2016,Jun,8616,7963,653,7.6
2016,Jul,8515,7885,630,7.4
2016,Aug,8423,7815,608,7.2
2016,Sep,8387,7770,617,7.4
2016,Oct,8255,7702,553,6.7
2016,Nov,8217,7694,523,6.4
2016,Dec,8198,7673,525,6.4
2017,Jan,8230,7671,559,6.8
2017,Feb,8298,7762,536,6.5
2017,Mar,8366,7871,495,5.9
2017,Apr,8338,7889,449,5.4
2017,May,8304,7861,443,5.3
2017,Jun,8343,7902,441,5.3
2017,Jul,8230,7803,427,5.2
2017,Aug,8201,7792,409,5.0
2017,Sep,8153,7778,375,4.6
2017,Oct,8118,7777,341,4.2
2017,Nov,8093,7741,352,4.3
2017,Dec,8129,7777,352,4.3
2018,Jan,8114,7739,375,4.6
2018,Feb,8161,7784,377,4.6
2018,Mar,8187,7849,338,4.1
2018,Apr,8154,7863,291,3.6
2018,May,8168,7886,282,3.5
2018,Jun,8292,7966,326,3.9
2018,Jul,8226,7913,313,3.8
2018,Aug,8097,7789,308,3.8
2018,Sep,8119,7821,298,3.7
2018,Oct,7990,7700,290,3.6
2018,Nov,8003,7718,285,3.6
2018,Dec,8007,7726,281,3.5
2019,Jan,8001,7675,326,4.1
2019,Feb,8083,7776,307,3.8
2019,Mar,8028,7736,292,3.6
2019,Apr,8013,7762,251,3.1
2019,May,8039,7784,255,3.2
2019,Jun,8127,7832,295,3.6
2019,Jul,8166,7855,311,3.8
2019,Aug,8174,7874,300,3.7
2019,Sep,8124,7840,284,3.5
2019,Oct,8072,7806,266,3.3
2019,Nov,8054,7759,295,3.7
2019,Dec,8074,7792,282,3.5
2020,Jan,8065,7724,341,4.2
2020,Feb,8089,7766,323,4.0
2020,Mar,8030,7576,454,5.7
2020,Apr,7149,6415,734,10.3
