Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481810000000003,LAUCN481810000000004,LAUCN481810000000005,LAUCN481810000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Grayson County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,58462,53394,5068,8.7
2010,Feb,58812,53830,4982,8.5
2010,Mar,59153,54232,4921,8.3
2010,Apr,59322,54560,4762,8.0
2010,May,59411,54694,4717,7.9
2010,Jun,59807,54772,5035,8.4
2010,Jul,60120,55120,5000,8.3
2010,Aug,59868,54907,4961,8.3
2010,Sep,59720,54922,4798,8.0
2010,Oct,59519,54813,4706,7.9
2010,Nov,59960,55096,4864,8.1
2010,Dec,59719,55104,4615,7.7
2011,Jan,59328,54414,4914,8.3
2011,Feb,59342,54574,4768,8.0
2011,Mar,60079,55383,4696,7.8
2011,Apr,60136,55638,4498,7.5
2011,May,60480,55740,4740,7.8
2011,Jun,60462,55310,5152,8.5
2011,Jul,60615,55583,5032,8.3
2011,Aug,60457,55545,4912,8.1
2011,Sep,60545,55723,4822,8.0
2011,Oct,60189,55560,4629,7.7
2011,Nov,60235,55791,4444,7.4
2011,Dec,60246,55971,4275,7.1
2012,Jan,59409,55008,4401,7.4
2012,Feb,59451,55082,4369,7.3
2012,Mar,59654,55429,4225,7.1
2012,Apr,59618,55652,3966,6.7
2012,May,60150,56033,4117,6.8
2012,Jun,60672,56243,4429,7.3
2012,Jul,60651,56257,4394,7.2
2012,Aug,59964,55836,4128,6.9
2012,Sep,59951,56131,3820,6.4
2012,Oct,60085,56275,3810,6.3
2012,Nov,60044,56351,3693,6.2
2012,Dec,60629,56660,3969,6.5
2013,Jan,60033,55658,4375,7.3
2013,Feb,59873,55800,4073,6.8
2013,Mar,59836,55972,3864,6.5
2013,Apr,59903,56206,3697,6.2
2013,May,60340,56516,3824,6.3
2013,Jun,61047,56844,4203,6.9
2013,Jul,61357,57330,4027,6.6
2013,Aug,61103,57374,3729,6.1
2013,Sep,60954,57246,3708,6.1
2013,Oct,60403,56872,3531,5.8
2013,Nov,60897,57581,3316,5.4
2013,Dec,60552,57420,3132,5.2
2014,Jan,60411,57135,3276,5.4
2014,Feb,60781,57495,3286,5.4
2014,Mar,60938,57740,3198,5.2
2014,Apr,60348,57684,2664,4.4
2014,May,60593,57648,2945,4.9
2014,Jun,60771,57692,3079,5.1
2014,Jul,60858,57652,3206,5.3
2014,Aug,60447,57379,3068,5.1
2014,Sep,60179,57337,2842,4.7
2014,Oct,60043,57372,2671,4.4
2014,Nov,60175,57581,2594,4.3
2014,Dec,59568,57208,2360,4.0
2015,Jan,59238,56573,2665,4.5
2015,Feb,59527,57029,2498,4.2
2015,Mar,59382,57014,2368,4.0
2015,Apr,59896,57724,2172,3.6
2015,May,60335,57978,2357,3.9
2015,Jun,60431,57887,2544,4.2
2015,Jul,60704,58095,2609,4.3
2015,Aug,60298,57761,2537,4.2
2015,Sep,59759,57391,2368,4.0
2015,Oct,59958,57626,2332,3.9
2015,Nov,60272,57954,2318,3.8
2015,Dec,60257,58044,2213,3.7
2016,Jan,60078,57722,2356,3.9
2016,Feb,60774,58440,2334,3.8
2016,Mar,60688,58309,2379,3.9
2016,Apr,60990,58821,2169,3.6
2016,May,61115,58948,2167,3.5
2016,Jun,61309,58813,2496,4.1
2016,Jul,61690,59094,2596,4.2
2016,Aug,61438,58975,2463,4.0
2016,Sep,61237,58769,2468,4.0
2016,Oct,61581,59242,2339,3.8
2016,Nov,61685,59430,2255,3.7
2016,Dec,61578,59366,2212,3.6
2017,Jan,61098,58636,2462,4.0
2017,Feb,61765,59276,2489,4.0
2017,Mar,62100,59760,2340,3.8
2017,Apr,61889,59771,2118,3.4
2017,May,61821,59663,2158,3.5
2017,Jun,61845,59547,2298,3.7
2017,Jul,62369,60086,2283,3.7
2017,Aug,62093,59810,2283,3.7
2017,Sep,62119,60057,2062,3.3
2017,Oct,61925,60024,1901,3.1
2017,Nov,62301,60281,2020,3.2
2017,Dec,62020,60078,1942,3.1
2018,Jan,62280,60092,2188,3.5
2018,Feb,62948,60756,2192,3.5
2018,Mar,62781,60624,2157,3.4
2018,Apr,63135,61191,1944,3.1
2018,May,63116,61178,1938,3.1
2018,Jun,63286,60997,2289,3.6
2018,Jul,63877,61704,2173,3.4
2018,Aug,63300,61205,2095,3.3
2018,Sep,63218,61217,2001,3.2
2018,Oct,63654,61709,1945,3.1
2018,Nov,63937,62013,1924,3.0
2018,Dec,63708,61773,1935,3.0
2019,Jan,63450,61262,2188,3.4
2019,Feb,64091,62083,2008,3.1
2019,Mar,64018,62066,1952,3.0
2019,Apr,63843,62210,1633,2.6
2019,May,63849,62095,1754,2.7
2019,Jun,64188,62126,2062,3.2
2019,Jul,64573,62456,2117,3.3
2019,Aug,64139,62027,2112,3.3
2019,Sep,64164,62209,1955,3.0
2019,Oct,64281,62367,1914,3.0
2019,Nov,64467,62526,1941,3.0
2019,Dec,64218,62354,1864,2.9
2020,Jan,63889,61756,2133,3.3
2020,Feb,64461,62386,2075,3.2
2020,Mar,64022,61063,2959,4.6
2020,Apr,58740,52525,6215,10.6
