Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481830000000003,LAUCN481830000000004,LAUCN481830000000005,LAUCN481830000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Gregg County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,58798,53603,5195,8.8
2010,Feb,59265,54212,5053,8.5
2010,Mar,59758,54951,4807,8.0
2010,Apr,60583,55869,4714,7.8
2010,May,60242,55571,4671,7.8
2010,Jun,60265,55272,4993,8.3
2010,Jul,60692,55636,5056,8.3
2010,Aug,60699,55903,4796,7.9
2010,Sep,61049,56364,4685,7.7
2010,Oct,61397,56836,4561,7.4
2010,Nov,61173,56555,4618,7.5
2010,Dec,60439,56044,4395,7.3
2011,Jan,60322,55727,4595,7.6
2011,Feb,60406,55956,4450,7.4
2011,Mar,60585,56247,4338,7.2
2011,Apr,60909,56772,4137,6.8
2011,May,60671,56462,4209,6.9
2011,Jun,60677,55947,4730,7.8
2011,Jul,61157,56481,4676,7.6
2011,Aug,61448,56890,4558,7.4
2011,Sep,61662,57167,4495,7.3
2011,Oct,61866,57591,4275,6.9
2011,Nov,61725,57714,4011,6.5
2011,Dec,61547,57704,3843,6.2
2012,Jan,61464,57444,4020,6.5
2012,Feb,61690,57795,3895,6.3
2012,Mar,62070,58343,3727,6.0
2012,Apr,62090,58587,3503,5.6
2012,May,61870,58132,3738,6.0
2012,Jun,61788,57612,4176,6.8
2012,Jul,61632,57450,4182,6.8
2012,Aug,61129,57175,3954,6.5
2012,Sep,61436,57693,3743,6.1
2012,Oct,61812,58110,3702,6.0
2012,Nov,61528,57978,3550,5.8
2012,Dec,61203,57563,3640,5.9
2013,Jan,61783,57721,4062,6.6
2013,Feb,62006,58229,3777,6.1
2013,Mar,62055,58446,3609,5.8
2013,Apr,61953,58493,3460,5.6
2013,May,61754,58062,3692,6.0
2013,Jun,61924,57876,4048,6.5
2013,Jul,61720,57772,3948,6.4
2013,Aug,61282,57565,3717,6.1
2013,Sep,61324,57701,3623,5.9
2013,Oct,60774,57267,3507,5.8
2013,Nov,61141,57797,3344,5.5
2013,Dec,60963,57803,3160,5.2
2014,Jan,60740,57356,3384,5.6
2014,Feb,60915,57560,3355,5.5
2014,Mar,60931,57692,3239,5.3
2014,Apr,61098,58288,2810,4.6
2014,May,61232,58221,3011,4.9
2014,Jun,61492,58370,3122,5.1
2014,Jul,61500,58269,3231,5.3
2014,Aug,61423,58332,3091,5.0
2014,Sep,61566,58734,2832,4.6
2014,Oct,61468,58810,2658,4.3
2014,Nov,61412,58810,2602,4.2
2014,Dec,60908,58543,2365,3.9
2015,Jan,60455,57790,2665,4.4
2015,Feb,60099,57539,2560,4.3
2015,Mar,59607,56991,2616,4.4
2015,Apr,59430,56769,2661,4.5
2015,May,59276,56340,2936,5.0
2015,Jun,59035,55832,3203,5.4
2015,Jul,59038,55734,3304,5.6
2015,Aug,58930,55791,3139,5.3
2015,Sep,58730,55620,3110,5.3
2015,Oct,58843,55807,3036,5.2
2015,Nov,59265,56232,3033,5.1
2015,Dec,58780,55844,2936,5.0
2016,Jan,58368,55240,3128,5.4
2016,Feb,58612,55482,3130,5.3
2016,Mar,58789,55577,3212,5.5
2016,Apr,58314,55096,3218,5.5
2016,May,58003,54764,3239,5.6
2016,Jun,58479,54460,4019,6.9
2016,Jul,58477,54362,4115,7.0
2016,Aug,58326,54285,4041,6.9
2016,Sep,58482,54514,3968,6.8
2016,Oct,58334,54737,3597,6.2
2016,Nov,58106,54644,3462,6.0
2016,Dec,57693,54303,3390,5.9
2017,Jan,57694,53893,3801,6.6
2017,Feb,57737,54182,3555,6.2
2017,Mar,57741,54460,3281,5.7
2017,Apr,57477,54487,2990,5.2
2017,May,56973,54112,2861,5.0
2017,Jun,57411,54339,3072,5.4
2017,Jul,57492,54496,2996,5.2
2017,Aug,57279,54324,2955,5.2
2017,Sep,57524,54901,2623,4.6
2017,Oct,57096,54628,2468,4.3
2017,Nov,57199,54692,2507,4.4
2017,Dec,57212,54787,2425,4.2
2018,Jan,56903,54265,2638,4.6
2018,Feb,57413,54840,2573,4.5
2018,Mar,57684,55226,2458,4.3
2018,Apr,57684,55422,2262,3.9
2018,May,57498,55305,2193,3.8
2018,Jun,57628,55100,2528,4.4
2018,Jul,57628,55179,2449,4.2
2018,Aug,57191,54821,2370,4.1
2018,Sep,57487,55251,2236,3.9
2018,Oct,57568,55359,2209,3.8
2018,Nov,57546,55394,2152,3.7
2018,Dec,57482,55274,2208,3.8
2019,Jan,58047,55604,2443,4.2
2019,Feb,58286,56050,2236,3.8
2019,Mar,58277,56091,2186,3.8
2019,Apr,58317,56414,1903,3.3
2019,May,58114,56193,1921,3.3
2019,Jun,58138,55894,2244,3.9
2019,Jul,58408,56034,2374,4.1
2019,Aug,58311,56013,2298,3.9
2019,Sep,58637,56470,2167,3.7
2019,Oct,58750,56633,2117,3.6
2019,Nov,58633,56528,2105,3.6
2019,Dec,58262,56186,2076,3.6
2020,Jan,58144,55702,2442,4.2
2020,Feb,57990,55641,2349,4.1
2020,Mar,56963,53704,3259,5.7
2020,Apr,53012,46006,7006,13.2
