Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481850000000003,LAUCN481850000000004,LAUCN481850000000005,LAUCN481850000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Grimes County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,11009,9905,1104,10.0
2010,Feb,11062,10021,1041,9.4
2010,Mar,11181,10156,1025,9.2
2010,Apr,11330,10348,982,8.7
2010,May,11296,10313,983,8.7
2010,Jun,11385,10331,1054,9.3
2010,Jul,11410,10394,1016,8.9
2010,Aug,11326,10305,1021,9.0
2010,Sep,11423,10436,987,8.6
2010,Oct,11547,10585,962,8.3
2010,Nov,11521,10532,989,8.6
2010,Dec,11344,10415,929,8.2
2011,Jan,11256,10286,970,8.6
2011,Feb,11270,10356,914,8.1
2011,Mar,11388,10492,896,7.9
2011,Apr,11471,10605,866,7.5
2011,May,11525,10648,877,7.6
2011,Jun,11673,10674,999,8.6
2011,Jul,11719,10753,966,8.2
2011,Aug,11742,10813,929,7.9
2011,Sep,11838,10907,931,7.9
2011,Oct,11830,10975,855,7.2
2011,Nov,11891,11056,835,7.0
2011,Dec,11818,11003,815,6.9
2012,Jan,11487,10651,836,7.3
2012,Feb,11560,10765,795,6.9
2012,Mar,11640,10865,775,6.7
2012,Apr,11760,11048,712,6.1
2012,May,11864,11108,756,6.4
2012,Jun,12003,11160,843,7.0
2012,Jul,11946,11110,836,7.0
2012,Aug,11812,11032,780,6.6
2012,Sep,11898,11170,728,6.1
2012,Oct,11962,11271,691,5.8
2012,Nov,11948,11274,674,5.6
2012,Dec,11883,11193,690,5.8
2013,Jan,11695,10918,777,6.6
2013,Feb,11711,11007,704,6.0
2013,Mar,11734,11027,707,6.0
2013,Apr,11812,11147,665,5.6
2013,May,11941,11219,722,6.0
2013,Jun,12005,11187,818,6.8
2013,Jul,11887,11121,766,6.4
2013,Aug,11778,11037,741,6.3
2013,Sep,11934,11223,711,6.0
2013,Oct,11852,11185,667,5.6
2013,Nov,11726,11100,626,5.3
2013,Dec,11749,11154,595,5.1
2014,Jan,11689,11056,633,5.4
2014,Feb,11795,11181,614,5.2
2014,Mar,11836,11210,626,5.3
2014,Apr,11831,11320,511,4.3
2014,May,11964,11404,560,4.7
2014,Jun,11898,11283,615,5.2
2014,Jul,11905,11264,641,5.4
2014,Aug,11824,11231,593,5.0
2014,Sep,11857,11333,524,4.4
2014,Oct,11955,11447,508,4.2
2014,Nov,11830,11335,495,4.2
2014,Dec,11665,11219,446,3.8
2015,Jan,11666,11133,533,4.6
2015,Feb,11749,11242,507,4.3
2015,Mar,11750,11245,505,4.3
2015,Apr,11625,11043,582,5.0
2015,May,11643,11001,642,5.5
2015,Jun,11560,10867,693,6.0
2015,Jul,11435,10718,717,6.3
2015,Aug,11322,10659,663,5.9
2015,Sep,11363,10739,624,5.5
2015,Oct,11451,10836,615,5.4
2015,Nov,11414,10771,643,5.6
2015,Dec,11186,10572,614,5.5
2016,Jan,11009,10374,635,5.8
2016,Feb,11218,10592,626,5.6
2016,Mar,11248,10609,639,5.7
2016,Apr,11115,10432,683,6.1
2016,May,11173,10451,722,6.5
2016,Jun,11039,10206,833,7.5
2016,Jul,10932,10090,842,7.7
2016,Aug,10927,10098,829,7.6
2016,Sep,11033,10235,798,7.2
2016,Oct,11050,10316,734,6.6
2016,Nov,11011,10299,712,6.5
2016,Dec,10815,10123,692,6.4
2017,Jan,10701,9964,737,6.9
2017,Feb,10837,10152,685,6.3
2017,Mar,11011,10360,651,5.9
2017,Apr,10935,10360,575,5.3
2017,May,10925,10362,563,5.2
2017,Jun,10793,10183,610,5.7
2017,Jul,10760,10153,607,5.6
2017,Aug,10799,10195,604,5.6
2017,Sep,10889,10379,510,4.7
2017,Oct,11125,10650,475,4.3
2017,Nov,10998,10511,487,4.4
2017,Dec,10836,10358,478,4.4
2018,Jan,10870,10354,516,4.7
2018,Feb,11060,10569,491,4.4
2018,Mar,11197,10703,494,4.4
2018,Apr,11085,10658,427,3.9
2018,May,11143,10727,416,3.7
2018,Jun,11062,10543,519,4.7
2018,Jul,11002,10504,498,4.5
2018,Aug,11068,10582,486,4.4
2018,Sep,11145,10714,431,3.9
2018,Oct,11319,10922,397,3.5
2018,Nov,11314,10924,390,3.4
2018,Dec,11085,10694,391,3.5
2019,Jan,11110,10646,464,4.2
2019,Feb,11283,10872,411,3.6
2019,Mar,11367,10925,442,3.9
2019,Apr,11260,10888,372,3.3
2019,May,11295,10904,391,3.5
2019,Jun,11207,10716,491,4.4
2019,Jul,11121,10613,508,4.6
2019,Aug,11207,10723,484,4.3
2019,Sep,11231,10794,437,3.9
2019,Oct,11508,11062,446,3.9
2019,Nov,11378,10934,444,3.9
2019,Dec,11200,10782,418,3.7
2020,Jan,11216,10706,510,4.5
2020,Feb,11359,10888,471,4.1
2020,Mar,11345,10622,723,6.4
2020,Apr,10087,8985,1102,10.9
