Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481870000000003,LAUCN481870000000004,LAUCN481870000000005,LAUCN481870000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Guadalupe County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,63694,59141,4553,7.1
2010,Feb,64131,59734,4397,6.9
2010,Mar,64467,60092,4375,6.8
2010,Apr,65185,60964,4221,6.5
2010,May,65062,60930,4132,6.4
2010,Jun,65252,60697,4555,7.0
2010,Jul,65194,60653,4541,7.0
2010,Aug,65124,60726,4398,6.8
2010,Sep,65121,60844,4277,6.6
2010,Oct,65238,60969,4269,6.5
2010,Nov,65377,60946,4431,6.8
2010,Dec,65246,61028,4218,6.5
2011,Jan,65752,61246,4506,6.9
2011,Feb,66124,61740,4384,6.6
2011,Mar,66388,62182,4206,6.3
2011,Apr,66491,62426,4065,6.1
2011,May,66703,62572,4131,6.2
2011,Jun,67096,62323,4773,7.1
2011,Jul,67089,62410,4679,7.0
2011,Aug,66929,62406,4523,6.8
2011,Sep,67255,62735,4520,6.7
2011,Oct,67224,62971,4253,6.3
2011,Nov,67135,63101,4034,6.0
2011,Dec,67005,63151,3854,5.8
2012,Jan,67323,63175,4148,6.2
2012,Feb,67669,63701,3968,5.9
2012,Mar,67812,64008,3804,5.6
2012,Apr,67817,64240,3577,5.3
2012,May,68231,64448,3783,5.5
2012,Jun,68701,64438,4263,6.2
2012,Jul,68782,64471,4311,6.3
2012,Aug,68330,64357,3973,5.8
2012,Sep,68606,64896,3710,5.4
2012,Oct,68931,65198,3733,5.4
2012,Nov,68693,65076,3617,5.3
2012,Dec,68842,65208,3634,5.3
2013,Jan,69231,65056,4175,6.0
2013,Feb,69396,65485,3911,5.6
2013,Mar,69666,65689,3977,5.7
2013,Apr,69921,66202,3719,5.3
2013,May,70303,66389,3914,5.6
2013,Jun,70782,66461,4321,6.1
2013,Jul,70838,66634,4204,5.9
2013,Aug,70307,66409,3898,5.5
2013,Sep,70428,66662,3766,5.3
2013,Oct,69880,66255,3625,5.2
2013,Nov,70261,66838,3423,4.9
2013,Dec,70164,66952,3212,4.6
2014,Jan,70750,67363,3387,4.8
2014,Feb,71139,67718,3421,4.8
2014,Mar,71491,68183,3308,4.6
2014,Apr,71364,68585,2779,3.9
2014,May,71689,68646,3043,4.2
2014,Jun,72042,68766,3276,4.5
2014,Jul,72316,68843,3473,4.8
2014,Aug,71908,68588,3320,4.6
2014,Sep,71744,68693,3051,4.3
2014,Oct,71971,69109,2862,4.0
2014,Nov,71982,69210,2772,3.9
2014,Dec,71540,69064,2476,3.5
2015,Jan,72107,69308,2799,3.9
2015,Feb,72397,69802,2595,3.6
2015,Mar,72322,69884,2438,3.4
2015,Apr,72630,70362,2268,3.1
2015,May,73016,70454,2562,3.5
2015,Jun,73037,70237,2800,3.8
2015,Jul,73112,70339,2773,3.8
2015,Aug,72856,70305,2551,3.5
2015,Sep,73078,70513,2565,3.5
2015,Oct,73309,70756,2553,3.5
2015,Nov,73819,71272,2547,3.5
2015,Dec,73752,71358,2394,3.2
2016,Jan,74530,71948,2582,3.5
2016,Feb,75208,72653,2555,3.4
2016,Mar,75478,72898,2580,3.4
2016,Apr,75398,73002,2396,3.2
2016,May,75449,73018,2431,3.2
2016,Jun,75847,72909,2938,3.9
2016,Jul,76383,73340,3043,4.0
2016,Aug,76239,73276,2963,3.9
2016,Sep,76650,73712,2938,3.8
2016,Oct,76521,73696,2825,3.7
2016,Nov,76836,74160,2676,3.5
2016,Dec,76631,73943,2688,3.5
2017,Jan,77614,74662,2952,3.8
2017,Feb,78058,75095,2963,3.8
2017,Mar,78216,75475,2741,3.5
2017,Apr,78193,75793,2400,3.1
2017,May,77971,75489,2482,3.2
2017,Jun,78381,75657,2724,3.5
2017,Jul,78914,76145,2769,3.5
2017,Aug,78585,75845,2740,3.5
2017,Sep,79331,76824,2507,3.2
2017,Oct,78522,76226,2296,2.9
2017,Nov,78870,76431,2439,3.1
2017,Dec,78673,76314,2359,3.0
2018,Jan,79199,76573,2626,3.3
2018,Feb,80083,77440,2643,3.3
2018,Mar,80004,77470,2534,3.2
2018,Apr,80244,77944,2300,2.9
2018,May,80055,77778,2277,2.8
2018,Jun,80584,77837,2747,3.4
2018,Jul,80712,78054,2658,3.3
2018,Aug,80127,77519,2608,3.3
2018,Sep,80506,78052,2454,3.0
2018,Oct,80567,78190,2377,3.0
2018,Nov,80810,78444,2366,2.9
2018,Dec,80759,78317,2442,3.0
2019,Jan,80617,77829,2788,3.5
2019,Feb,80944,78421,2523,3.1
2019,Mar,80923,78494,2429,3.0
2019,Apr,80728,78715,2013,2.5
2019,May,80696,78578,2118,2.6
2019,Jun,81344,78787,2557,3.1
2019,Jul,81730,79061,2669,3.3
2019,Aug,81484,78890,2594,3.2
2019,Sep,81896,79552,2344,2.9
2019,Oct,82542,80253,2289,2.8
2019,Nov,82531,80234,2297,2.8
2019,Dec,82389,80227,2162,2.6
2020,Jan,82501,80029,2472,3.0
2020,Feb,82701,80336,2365,2.9
2020,Mar,80927,77547,3380,4.2
2020,Apr,73753,65715,8038,10.9
