Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481890000000003,LAUCN481890000000004,LAUCN481890000000005,LAUCN481890000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hale County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,15735,14545,1190,7.6
2010,Feb,15774,14517,1257,8.0
2010,Mar,15941,14799,1142,7.2
2010,Apr,16216,15104,1112,6.9
2010,May,16243,15152,1091,6.7
2010,Jun,16351,15046,1305,8.0
2010,Jul,16379,15041,1338,8.2
2010,Aug,16332,15054,1278,7.8
2010,Sep,16453,15268,1185,7.2
2010,Oct,16307,15170,1137,7.0
2010,Nov,16262,15071,1191,7.3
2010,Dec,16161,15016,1145,7.1
2011,Jan,16043,14773,1270,7.9
2011,Feb,15985,14739,1246,7.8
2011,Mar,15992,14869,1123,7.0
2011,Apr,16034,14938,1096,6.8
2011,May,16121,14972,1149,7.1
2011,Jun,16385,14991,1394,8.5
2011,Jul,16352,14988,1364,8.3
2011,Aug,16461,15174,1287,7.8
2011,Sep,16478,15220,1258,7.6
2011,Oct,16293,15126,1167,7.2
2011,Nov,16362,15258,1104,6.7
2011,Dec,16340,15224,1116,6.8
2012,Jan,15921,14753,1168,7.3
2012,Feb,15851,14708,1143,7.2
2012,Mar,15819,14649,1170,7.4
2012,Apr,16088,15047,1041,6.5
2012,May,16056,14966,1090,6.8
2012,Jun,16176,14871,1305,8.1
2012,Jul,16071,14796,1275,7.9
2012,Aug,15808,14680,1128,7.1
2012,Sep,15916,14942,974,6.1
2012,Oct,15725,14784,941,6.0
2012,Nov,15546,14613,933,6.0
2012,Dec,15360,14364,996,6.5
2013,Jan,15207,14069,1138,7.5
2013,Feb,16062,14026,2036,12.7
2013,Mar,15910,13803,2107,13.2
2013,Apr,14729,12523,2206,15.0
2013,May,14784,12553,2231,15.1
2013,Jun,14917,12492,2425,16.3
2013,Jul,14804,12531,2273,15.4
2013,Aug,14456,12348,2108,14.6
2013,Sep,14541,12582,1959,13.5
2013,Oct,14409,12548,1861,12.9
2013,Nov,13969,12277,1692,12.1
2013,Dec,13947,12363,1584,11.4
2014,Jan,13712,12132,1580,11.5
2014,Feb,13886,12280,1606,11.6
2014,Mar,13883,12278,1605,11.6
2014,Apr,13763,12475,1288,9.4
2014,May,13774,12483,1291,9.4
2014,Jun,13743,12365,1378,10.0
2014,Jul,13569,12194,1375,10.1
2014,Aug,13329,12070,1259,9.4
2014,Sep,13451,12376,1075,8.0
2014,Oct,13308,12334,974,7.3
2014,Nov,13169,12207,962,7.3
2014,Dec,12896,12038,858,6.7
2015,Jan,12853,11898,955,7.4
2015,Feb,12992,12066,926,7.1
2015,Mar,13065,12194,871,6.7
2015,Apr,13006,12229,777,6.0
2015,May,13101,12269,832,6.4
2015,Jun,13087,12141,946,7.2
2015,Jul,12914,11999,915,7.1
2015,Aug,12766,11968,798,6.3
2015,Sep,12886,12147,739,5.7
2015,Oct,12790,12087,703,5.5
2015,Nov,12604,11917,687,5.5
2015,Dec,12592,11943,649,5.2
2016,Jan,12251,11562,689,5.6
2016,Feb,12641,11959,682,5.4
2016,Mar,12785,12094,691,5.4
2016,Apr,12790,12136,654,5.1
2016,May,12897,12245,652,5.1
2016,Jun,12753,11916,837,6.6
2016,Jul,12498,11659,839,6.7
2016,Aug,12612,11839,773,6.1
2016,Sep,12603,11884,719,5.7
2016,Oct,12452,11781,671,5.4
2016,Nov,12421,11788,633,5.1
2016,Dec,12307,11680,627,5.1
2017,Jan,12363,11662,701,5.7
2017,Feb,12510,11807,703,5.6
2017,Mar,12818,12090,728,5.7
2017,Apr,12684,12081,603,4.8
2017,May,12624,12012,612,4.8
2017,Jun,12463,11701,762,6.1
2017,Jul,12302,11547,755,6.1
2017,Aug,12412,11737,675,5.4
2017,Sep,12372,11799,573,4.6
2017,Oct,12533,12003,530,4.2
2017,Nov,12576,12053,523,4.2
2017,Dec,12506,11993,513,4.1
2018,Jan,12372,11814,558,4.5
2018,Feb,12526,11949,577,4.6
2018,Mar,12835,12175,660,5.1
2018,Apr,12549,12015,534,4.3
2018,May,12760,12206,554,4.3
2018,Jun,12598,11852,746,5.9
2018,Jul,12454,11743,711,5.7
2018,Aug,12383,11775,608,4.9
2018,Sep,12449,11878,571,4.6
2018,Oct,12430,11890,540,4.3
2018,Nov,12382,11862,520,4.2
2018,Dec,12152,11611,541,4.5
2019,Jan,12259,11666,593,4.8
2019,Feb,12401,11842,559,4.5
2019,Mar,12403,11805,598,4.8
2019,Apr,12341,11880,461,3.7
2019,May,12380,11871,509,4.1
2019,Jun,12243,11591,652,5.3
2019,Jul,12122,11462,660,5.4
2019,Aug,12200,11648,552,4.5
2019,Sep,12070,11562,508,4.2
2019,Oct,12173,11676,497,4.1
2019,Nov,11994,11493,501,4.2
2019,Dec,11939,11462,477,4.0
2020,Jan,11932,11369,563,4.7
2020,Feb,12005,11466,539,4.5
2020,Mar,11926,11179,747,6.3
2020,Apr,10457,9502,955,9.1
