Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481910000000003,LAUCN481910000000004,LAUCN481910000000005,LAUCN481910000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hall County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1374,1242,132,9.6
2010,Feb,1361,1238,123,9.0
2010,Mar,1398,1271,127,9.1
2010,Apr,1443,1312,131,9.1
2010,May,1430,1298,132,9.2
2010,Jun,1462,1325,137,9.4
2010,Jul,1462,1319,143,9.8
2010,Aug,1443,1305,138,9.6
2010,Sep,1455,1319,136,9.3
2010,Oct,1422,1298,124,8.7
2010,Nov,1401,1285,116,8.3
2010,Dec,1395,1289,106,7.6
2011,Jan,1361,1246,115,8.4
2011,Feb,1363,1241,122,9.0
2011,Mar,1412,1296,116,8.2
2011,Apr,1412,1294,118,8.4
2011,May,1396,1277,119,8.5
2011,Jun,1431,1306,125,8.7
2011,Jul,1444,1311,133,9.2
2011,Aug,1447,1316,131,9.1
2011,Sep,1426,1296,130,9.1
2011,Oct,1356,1233,123,9.1
2011,Nov,1371,1256,115,8.4
2011,Dec,1382,1270,112,8.1
2012,Jan,1332,1217,115,8.6
2012,Feb,1326,1213,113,8.5
2012,Mar,1342,1233,109,8.1
2012,Apr,1341,1237,104,7.8
2012,May,1344,1241,103,7.7
2012,Jun,1380,1266,114,8.3
2012,Jul,1375,1263,112,8.1
2012,Aug,1352,1248,104,7.7
2012,Sep,1348,1253,95,7.0
2012,Oct,1333,1238,95,7.1
2012,Nov,1317,1225,92,7.0
2012,Dec,1324,1230,94,7.1
2013,Jan,1288,1186,102,7.9
2013,Feb,1278,1182,96,7.5
2013,Mar,1279,1187,92,7.2
2013,Apr,1294,1203,91,7.0
2013,May,1320,1228,92,7.0
2013,Jun,1353,1253,100,7.4
2013,Jul,1328,1233,95,7.2
2013,Aug,1286,1197,89,6.9
2013,Sep,1299,1212,87,6.7
2013,Oct,1275,1188,87,6.8
2013,Nov,1236,1152,84,6.8
2013,Dec,1245,1164,81,6.5
2014,Jan,1240,1152,88,7.1
2014,Feb,1271,1177,94,7.4
2014,Mar,1272,1182,90,7.1
2014,Apr,1296,1218,78,6.0
2014,May,1295,1214,81,6.3
2014,Jun,1313,1226,87,6.6
2014,Jul,1283,1195,88,6.9
2014,Aug,1260,1178,82,6.5
2014,Sep,1271,1195,76,6.0
2014,Oct,1243,1177,66,5.3
2014,Nov,1222,1159,63,5.2
2014,Dec,1212,1159,53,4.4
2015,Jan,1210,1149,61,5.0
2015,Feb,1241,1180,61,4.9
2015,Mar,1253,1191,62,4.9
2015,Apr,1235,1176,59,4.8
2015,May,1239,1173,66,5.3
2015,Jun,1232,1163,69,5.6
2015,Jul,1217,1147,70,5.8
2015,Aug,1180,1107,73,6.2
2015,Sep,1186,1117,69,5.8
2015,Oct,1167,1103,64,5.5
2015,Nov,1145,1088,57,5.0
2015,Dec,1136,1081,55,4.8
2016,Jan,1124,1064,60,5.3
2016,Feb,1168,1109,59,5.1
2016,Mar,1208,1133,75,6.2
2016,Apr,1207,1130,77,6.4
2016,May,1221,1140,81,6.6
2016,Jun,1205,1119,86,7.1
2016,Jul,1155,1069,86,7.4
2016,Aug,1162,1074,88,7.6
2016,Sep,1162,1078,84,7.2
2016,Oct,1149,1070,79,6.9
2016,Nov,1122,1044,78,7.0
2016,Dec,1096,1019,77,7.0
2017,Jan,1096,1011,85,7.8
2017,Feb,1123,1039,84,7.5
2017,Mar,1164,1084,80,6.9
2017,Apr,1169,1090,79,6.8
2017,May,1169,1100,69,5.9
2017,Jun,1154,1085,69,6.0
2017,Jul,1105,1039,66,6.0
2017,Aug,1121,1052,69,6.2
2017,Sep,1106,1044,62,5.6
2017,Oct,1130,1074,56,5.0
2017,Nov,1104,1050,54,4.9
2017,Dec,1108,1054,54,4.9
2018,Jan,1086,1033,53,4.9
2018,Feb,1095,1041,54,4.9
2018,Mar,1142,1083,59,5.2
2018,Apr,1134,1079,55,4.9
2018,May,1152,1103,49,4.3
2018,Jun,1133,1081,52,4.6
2018,Jul,1106,1057,49,4.4
2018,Aug,1114,1067,47,4.2
2018,Sep,1116,1073,43,3.9
2018,Oct,1099,1057,42,3.8
2018,Nov,1087,1045,42,3.9
2018,Dec,1056,1014,42,4.0
2019,Jan,1042,995,47,4.5
2019,Feb,1078,1029,49,4.5
2019,Mar,1099,1052,47,4.3
2019,Apr,1083,1045,38,3.5
2019,May,1091,1053,38,3.5
2019,Jun,1089,1043,46,4.2
2019,Jul,1067,1023,44,4.1
2019,Aug,1091,1047,44,4.0
2019,Sep,1067,1025,42,3.9
2019,Oct,1074,1031,43,4.0
2019,Nov,1046,996,50,4.8
2019,Dec,1050,1006,44,4.2
2020,Jan,1042,996,46,4.4
2020,Feb,1054,1005,49,4.6
2020,Mar,1063,993,70,6.6
2020,Apr,910,835,75,8.2
