Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481930000000003,LAUCN481930000000004,LAUCN481930000000005,LAUCN481930000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hamilton County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3915,3621,294,7.5
2010,Feb,3869,3590,279,7.2
2010,Mar,3938,3672,266,6.8
2010,Apr,3972,3702,270,6.8
2010,May,3952,3688,264,6.7
2010,Jun,3978,3702,276,6.9
2010,Jul,4018,3737,281,7.0
2010,Aug,3961,3695,266,6.7
2010,Sep,3940,3685,255,6.5
2010,Oct,3890,3643,247,6.3
2010,Nov,3911,3648,263,6.7
2010,Dec,3927,3673,254,6.5
2011,Jan,3905,3634,271,6.9
2011,Feb,3853,3601,252,6.5
2011,Mar,3878,3633,245,6.3
2011,Apr,3884,3652,232,6.0
2011,May,3904,3671,233,6.0
2011,Jun,3933,3662,271,6.9
2011,Jul,3819,3551,268,7.0
2011,Aug,3840,3582,258,6.7
2011,Sep,3843,3591,252,6.6
2011,Oct,3815,3580,235,6.2
2011,Nov,3928,3706,222,5.7
2011,Dec,3956,3741,215,5.4
2012,Jan,3778,3548,230,6.1
2012,Feb,3859,3632,227,5.9
2012,Mar,3807,3594,213,5.6
2012,Apr,3763,3560,203,5.4
2012,May,3829,3612,217,5.7
2012,Jun,3816,3577,239,6.3
2012,Jul,3771,3531,240,6.4
2012,Aug,3682,3468,214,5.8
2012,Sep,3703,3503,200,5.4
2012,Oct,3699,3484,215,5.8
2012,Nov,3650,3445,205,5.6
2012,Dec,3640,3428,212,5.8
2013,Jan,3617,3381,236,6.5
2013,Feb,3583,3370,213,5.9
2013,Mar,3583,3377,206,5.7
2013,Apr,3642,3437,205,5.6
2013,May,3684,3465,219,5.9
2013,Jun,3727,3476,251,6.7
2013,Jul,3706,3465,241,6.5
2013,Aug,3665,3443,222,6.1
2013,Sep,3648,3429,219,6.0
2013,Oct,3540,3332,208,5.9
2013,Nov,3543,3347,196,5.5
2013,Dec,3525,3344,181,5.1
2014,Jan,3551,3374,177,5.0
2014,Feb,3555,3372,183,5.1
2014,Mar,3584,3410,174,4.9
2014,Apr,3562,3414,148,4.2
2014,May,3612,3446,166,4.6
2014,Jun,3638,3457,181,5.0
2014,Jul,3622,3440,182,5.0
2014,Aug,3611,3436,175,4.8
2014,Sep,3573,3412,161,4.5
2014,Oct,3536,3385,151,4.3
2014,Nov,3527,3381,146,4.1
2014,Dec,3483,3352,131,3.8
2015,Jan,3456,3316,140,4.1
2015,Feb,3475,3336,139,4.0
2015,Mar,3478,3331,147,4.2
2015,Apr,3468,3314,154,4.4
2015,May,3500,3336,164,4.7
2015,Jun,3527,3354,173,4.9
2015,Jul,3511,3327,184,5.2
2015,Aug,3493,3318,175,5.0
2015,Sep,3490,3319,171,4.9
2015,Oct,3464,3295,169,4.9
2015,Nov,3453,3286,167,4.8
2015,Dec,3487,3326,161,4.6
2016,Jan,3560,3373,187,5.3
2016,Feb,3593,3419,174,4.8
2016,Mar,3648,3473,175,4.8
2016,Apr,3602,3449,153,4.2
2016,May,3636,3480,156,4.3
2016,Jun,3670,3482,188,5.1
2016,Jul,3640,3443,197,5.4
2016,Aug,3639,3450,189,5.2
2016,Sep,3602,3415,187,5.2
2016,Oct,3549,3374,175,4.9
2016,Nov,3533,3366,167,4.7
2016,Dec,3507,3342,165,4.7
2017,Jan,3639,3464,175,4.8
2017,Feb,3669,3501,168,4.6
2017,Mar,3682,3530,152,4.1
2017,Apr,3655,3527,128,3.5
2017,May,3672,3535,137,3.7
2017,Jun,3662,3510,152,4.2
2017,Jul,3637,3488,149,4.1
2017,Aug,3579,3433,146,4.1
2017,Sep,3568,3439,129,3.6
2017,Oct,3570,3451,119,3.3
2017,Nov,3541,3414,127,3.6
2017,Dec,3580,3453,127,3.5
2018,Jan,3561,3425,136,3.8
2018,Feb,3588,3454,134,3.7
2018,Mar,3618,3493,125,3.5
2018,Apr,3585,3476,109,3.0
2018,May,3624,3510,114,3.1
2018,Jun,3651,3513,138,3.8
2018,Jul,3679,3554,125,3.4
2018,Aug,3700,3584,116,3.1
2018,Sep,3667,3562,105,2.9
2018,Oct,3659,3552,107,2.9
2018,Nov,3641,3532,109,3.0
2018,Dec,3643,3537,106,2.9
2019,Jan,3657,3533,124,3.4
2019,Feb,3715,3595,120,3.2
2019,Mar,3687,3572,115,3.1
2019,Apr,3632,3543,89,2.5
2019,May,3623,3531,92,2.5
2019,Jun,3705,3590,115,3.1
2019,Jul,3705,3582,123,3.3
2019,Aug,3718,3594,124,3.3
2019,Sep,3674,3561,113,3.1
2019,Oct,3656,3545,111,3.0
2019,Nov,3634,3536,98,2.7
2019,Dec,3655,3553,102,2.8
2020,Jan,3658,3543,115,3.1
2020,Feb,3677,3556,121,3.3
2020,Mar,3641,3474,167,4.6
2020,Apr,3131,2916,215,6.9
