Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481970000000003,LAUCN481970000000004,LAUCN481970000000005,LAUCN481970000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hardeman County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1831,1657,174,9.5
2010,Feb,1842,1683,159,8.6
2010,Mar,1914,1764,150,7.8
2010,Apr,1966,1816,150,7.6
2010,May,1967,1808,159,8.1
2010,Jun,2028,1857,171,8.4
2010,Jul,2008,1835,173,8.6
2010,Aug,1948,1777,171,8.8
2010,Sep,1937,1775,162,8.4
2010,Oct,1967,1803,164,8.3
2010,Nov,1949,1792,157,8.1
2010,Dec,1931,1788,143,7.4
2011,Jan,1899,1747,152,8.0
2011,Feb,1870,1731,139,7.4
2011,Mar,1904,1767,137,7.2
2011,Apr,1888,1759,129,6.8
2011,May,1901,1770,131,6.9
2011,Jun,1946,1802,144,7.4
2011,Jul,1861,1720,141,7.6
2011,Aug,1872,1737,135,7.2
2011,Sep,1867,1739,128,6.9
2011,Oct,1814,1699,115,6.3
2011,Nov,1841,1733,108,5.9
2011,Dec,1816,1711,105,5.8
2012,Jan,1766,1656,110,6.2
2012,Feb,1763,1650,113,6.4
2012,Mar,1772,1665,107,6.0
2012,Apr,1764,1662,102,5.8
2012,May,1757,1655,102,5.8
2012,Jun,1780,1669,111,6.2
2012,Jul,1784,1670,114,6.4
2012,Aug,1777,1668,109,6.1
2012,Sep,1781,1683,98,5.5
2012,Oct,1748,1653,95,5.4
2012,Nov,1738,1646,92,5.3
2012,Dec,1723,1626,97,5.6
2013,Jan,1714,1606,108,6.3
2013,Feb,1683,1579,104,6.2
2013,Mar,1696,1593,103,6.1
2013,Apr,1711,1617,94,5.5
2013,May,1736,1637,99,5.7
2013,Jun,1761,1657,104,5.9
2013,Jul,1743,1640,103,5.9
2013,Aug,1692,1595,97,5.7
2013,Sep,1692,1598,94,5.6
2013,Oct,1662,1567,95,5.7
2013,Nov,1646,1551,95,5.8
2013,Dec,1651,1564,87,5.3
2014,Jan,1599,1514,85,5.3
2014,Feb,1643,1554,89,5.4
2014,Mar,1646,1559,87,5.3
2014,Apr,1661,1589,72,4.3
2014,May,1665,1585,80,4.8
2014,Jun,1685,1595,90,5.3
2014,Jul,1694,1600,94,5.5
2014,Aug,1675,1593,82,4.9
2014,Sep,1670,1594,76,4.6
2014,Oct,1639,1563,76,4.6
2014,Nov,1626,1553,73,4.5
2014,Dec,1599,1528,71,4.4
2015,Jan,1585,1507,78,4.9
2015,Feb,1594,1514,80,5.0
2015,Mar,1622,1535,87,5.4
2015,Apr,1635,1554,81,5.0
2015,May,1648,1563,85,5.2
2015,Jun,1668,1583,85,5.1
2015,Jul,1655,1562,93,5.6
2015,Aug,1639,1554,85,5.2
2015,Sep,1623,1548,75,4.6
2015,Oct,1601,1528,73,4.6
2015,Nov,1590,1520,70,4.4
2015,Dec,1590,1530,60,3.8
2016,Jan,1563,1501,62,4.0
2016,Feb,1603,1540,63,3.9
2016,Mar,1630,1568,62,3.8
2016,Apr,1637,1579,58,3.5
2016,May,1650,1586,64,3.9
2016,Jun,1661,1589,72,4.3
2016,Jul,1645,1576,69,4.2
2016,Aug,1644,1580,64,3.9
2016,Sep,1626,1564,62,3.8
2016,Oct,1617,1554,63,3.9
2016,Nov,1596,1536,60,3.8
2016,Dec,1611,1548,63,3.9
2017,Jan,1639,1569,70,4.3
2017,Feb,1664,1591,73,4.4
2017,Mar,1686,1618,68,4.0
2017,Apr,1677,1617,60,3.6
2017,May,1698,1638,60,3.5
2017,Jun,1676,1610,66,3.9
2017,Jul,1662,1596,66,4.0
2017,Aug,1659,1591,68,4.1
2017,Sep,1655,1588,67,4.0
2017,Oct,1650,1590,60,3.6
2017,Nov,1615,1550,65,4.0
2017,Dec,1616,1553,63,3.9
2018,Jan,1640,1574,66,4.0
2018,Feb,1667,1597,70,4.2
2018,Mar,1695,1627,68,4.0
2018,Apr,1682,1623,59,3.5
2018,May,1685,1628,57,3.4
2018,Jun,1680,1618,62,3.7
2018,Jul,1699,1637,62,3.6
2018,Aug,1694,1637,57,3.4
2018,Sep,1698,1637,61,3.6
2018,Oct,1675,1623,52,3.1
2018,Nov,1669,1619,50,3.0
2018,Dec,1645,1592,53,3.2
2019,Jan,1683,1620,63,3.7
2019,Feb,1681,1628,53,3.2
2019,Mar,1712,1654,58,3.4
2019,Apr,1715,1671,44,2.6
2019,May,1722,1676,46,2.7
2019,Jun,1734,1681,53,3.1
2019,Jul,1735,1678,57,3.3
2019,Aug,1747,1691,56,3.2
2019,Sep,1759,1708,51,2.9
2019,Oct,1745,1695,50,2.9
2019,Nov,1721,1670,51,3.0
2019,Dec,1714,1670,44,2.6
2020,Jan,1726,1673,53,3.1
2020,Feb,1735,1685,50,2.9
2020,Mar,1722,1650,72,4.2
2020,Apr,1478,1398,80,5.4
