Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481990000000003,LAUCN481990000000004,LAUCN481990000000005,LAUCN481990000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hardin County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,25564,22938,2626,10.3
2010,Feb,25640,23071,2569,10.0
2010,Mar,25793,23153,2640,10.2
2010,Apr,25841,23289,2552,9.9
2010,May,25869,23316,2553,9.9
2010,Jun,25896,23224,2672,10.3
2010,Jul,26041,23375,2666,10.2
2010,Aug,25849,23283,2566,9.9
2010,Sep,25802,23350,2452,9.5
2010,Oct,25925,23541,2384,9.2
2010,Nov,25936,23415,2521,9.7
2010,Dec,25907,23429,2478,9.6
2011,Jan,25887,23291,2596,10.0
2011,Feb,25960,23475,2485,9.6
2011,Mar,26170,23663,2507,9.6
2011,Apr,26043,23640,2403,9.2
2011,May,26204,23723,2481,9.5
2011,Jun,26406,23734,2672,10.1
2011,Jul,26459,23810,2649,10.0
2011,Aug,26345,23734,2611,9.9
2011,Sep,26525,24006,2519,9.5
2011,Oct,26431,24051,2380,9.0
2011,Nov,26347,24076,2271,8.6
2011,Dec,26258,23985,2273,8.7
2012,Jan,26212,23918,2294,8.8
2012,Feb,26236,24031,2205,8.4
2012,Mar,26132,24011,2121,8.1
2012,Apr,26125,24131,1994,7.6
2012,May,26093,23991,2102,8.1
2012,Jun,26143,23725,2418,9.2
2012,Jul,25843,23447,2396,9.3
2012,Aug,25536,23260,2276,8.9
2012,Sep,25603,23497,2106,8.2
2012,Oct,25715,23636,2079,8.1
2012,Nov,25428,23416,2012,7.9
2012,Dec,25494,23342,2152,8.4
2013,Jan,25523,23211,2312,9.1
2013,Feb,25615,23510,2105,8.2
2013,Mar,25540,23496,2044,8.0
2013,Apr,25420,23466,1954,7.7
2013,May,25485,23480,2005,7.9
2013,Jun,25526,23282,2244,8.8
2013,Jul,25187,22998,2189,8.7
2013,Aug,24989,22908,2081,8.3
2013,Sep,25081,23103,1978,7.9
2013,Oct,25033,23147,1886,7.5
2013,Nov,25156,23293,1863,7.4
2013,Dec,25078,23310,1768,7.1
2014,Jan,25145,23318,1827,7.3
2014,Feb,25292,23509,1783,7.0
2014,Mar,25362,23622,1740,6.9
2014,Apr,25354,23868,1486,5.9
2014,May,25518,23989,1529,6.0
2014,Jun,25465,23822,1643,6.5
2014,Jul,25516,23742,1774,7.0
2014,Aug,25405,23699,1706,6.7
2014,Sep,25465,23919,1546,6.1
2014,Oct,25645,24248,1397,5.4
2014,Nov,25533,24142,1391,5.4
2014,Dec,25384,24083,1301,5.1
2015,Jan,25148,23732,1416,5.6
2015,Feb,25265,23936,1329,5.3
2015,Mar,25116,23779,1337,5.3
2015,Apr,24928,23687,1241,5.0
2015,May,25136,23789,1347,5.4
2015,Jun,25085,23628,1457,5.8
2015,Jul,24929,23415,1514,6.1
2015,Aug,24802,23317,1485,6.0
2015,Sep,24860,23451,1409,5.7
2015,Oct,24842,23426,1416,5.7
2015,Nov,24858,23373,1485,6.0
2015,Dec,24949,23495,1454,5.8
2016,Jan,25221,23776,1445,5.7
2016,Feb,25326,23932,1394,5.5
2016,Mar,25287,23838,1449,5.7
2016,Apr,25097,23760,1337,5.3
2016,May,24919,23568,1351,5.4
2016,Jun,25134,23528,1606,6.4
2016,Jul,25110,23381,1729,6.9
2016,Aug,25025,23316,1709,6.8
2016,Sep,25254,23613,1641,6.5
2016,Oct,25226,23720,1506,6.0
2016,Nov,25131,23589,1542,6.1
2016,Dec,25042,23421,1621,6.5
2017,Jan,25418,23631,1787,7.0
2017,Feb,25609,23942,1667,6.5
2017,Mar,25575,24006,1569,6.1
2017,Apr,25413,23978,1435,5.6
2017,May,25261,23850,1411,5.6
2017,Jun,25319,23780,1539,6.1
2017,Jul,25331,23768,1563,6.2
2017,Aug,25052,23454,1598,6.4
2017,Sep,25206,23521,1685,6.7
2017,Oct,25144,23714,1430,5.7
2017,Nov,25207,23747,1460,5.8
2017,Dec,25098,23630,1468,5.8
2018,Jan,25465,23907,1558,6.1
2018,Feb,25698,24247,1451,5.6
2018,Mar,25471,24073,1398,5.5
2018,Apr,25388,24130,1258,5.0
2018,May,25362,24167,1195,4.7
2018,Jun,25502,24112,1390,5.5
2018,Jul,25367,23963,1404,5.5
2018,Aug,25153,23829,1324,5.3
2018,Sep,25305,24103,1202,4.8
2018,Oct,25298,24169,1129,4.5
2018,Nov,25383,24238,1145,4.5
2018,Dec,25260,24041,1219,4.8
2019,Jan,25395,24030,1365,5.4
2019,Feb,25535,24307,1228,4.8
2019,Mar,25436,24287,1149,4.5
2019,Apr,25209,24258,951,3.8
2019,May,25175,24146,1029,4.1
2019,Jun,25239,23990,1249,4.9
2019,Jul,25148,23844,1304,5.2
2019,Aug,25104,23862,1242,4.9
2019,Sep,25328,24223,1105,4.4
2019,Oct,25441,24384,1057,4.2
2019,Nov,25500,24367,1133,4.4
2019,Dec,25331,24192,1139,4.5
2020,Jan,25445,24190,1255,4.9
2020,Feb,25485,24351,1134,4.4
2020,Mar,25077,23388,1689,6.7
2020,Apr,23269,19595,3674,15.8
