Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482010000000003,LAUCN482010000000004,LAUCN482010000000005,LAUCN482010000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Harris County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2030433,1853546,176887,8.7
2010,Feb,2036332,1863809,172523,8.5
2010,Mar,2042733,1871296,171437,8.4
2010,Apr,2064089,1898418,165671,8.0
2010,May,2059050,1893474,165576,8.0
2010,Jun,2063764,1887755,176009,8.5
2010,Jul,2076804,1898824,177980,8.6
2010,Aug,2074128,1900671,173457,8.4
2010,Sep,2078899,1909626,169273,8.1
2010,Oct,2074538,1908289,166249,8.0
2010,Nov,2084309,1911493,172816,8.3
2010,Dec,2083232,1916988,166244,8.0
2011,Jan,2084610,1909732,174878,8.4
2011,Feb,2088483,1919974,168509,8.1
2011,Mar,2094938,1930136,164802,7.9
2011,Apr,2098025,1938782,159243,7.6
2011,May,2101075,1937950,163125,7.8
2011,Jun,2114151,1934784,179367,8.5
2011,Jul,2116971,1940134,176837,8.4
2011,Aug,2112179,1940995,171184,8.1
2011,Sep,2126800,1958216,168584,7.9
2011,Oct,2128655,1969236,159419,7.5
2011,Nov,2128815,1976761,152054,7.1
2011,Dec,2131372,1982635,148737,7.0
2012,Jan,2123630,1968963,154667,7.3
2012,Feb,2134358,1983497,150861,7.1
2012,Mar,2139497,1994873,144624,6.8
2012,Apr,2135778,1999435,136343,6.4
2012,May,2148279,2005628,142651,6.6
2012,Jun,2163039,2006539,156500,7.2
2012,Jul,2169335,2013682,155653,7.2
2012,Aug,2155375,2009342,146033,6.8
2012,Sep,2171472,2035621,135851,6.3
2012,Oct,2181111,2048117,132994,6.1
2012,Nov,2177031,2048113,128918,5.9
2012,Dec,2184398,2052128,132270,6.1
2013,Jan,2180570,2032736,147834,6.8
2013,Feb,2185363,2047687,137676,6.3
2013,Mar,2183754,2052208,131546,6.0
2013,Apr,2190631,2064671,125960,5.7
2013,May,2200604,2067117,133487,6.1
2013,Jun,2208362,2061920,146442,6.6
2013,Jul,2213276,2070559,142717,6.4
2013,Aug,2200208,2064580,135628,6.2
2013,Sep,2207756,2075860,131896,6.0
2013,Oct,2198285,2070280,128005,5.8
2013,Nov,2212380,2090897,121483,5.5
2013,Dec,2211051,2096465,114586,5.2
2014,Jan,2208842,2087453,121389,5.5
2014,Feb,2221551,2100018,121533,5.5
2014,Mar,2228717,2110205,118512,5.3
2014,Apr,2219031,2117069,101962,4.6
2014,May,2227667,2117043,110624,5.0
2014,Jun,2232772,2115150,117622,5.3
2014,Jul,2245784,2122613,123171,5.5
2014,Aug,2235497,2117250,118247,5.3
2014,Sep,2239250,2130760,108490,4.8
2014,Oct,2245728,2145105,100623,4.5
2014,Nov,2247828,2148279,99549,4.4
