Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482030000000003,LAUCN482030000000004,LAUCN482030000000005,LAUCN482030000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Harrison County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,30242,27061,3181,10.5
2010,Feb,30413,27265,3148,10.4
2010,Mar,30442,27495,2947,9.7
2010,Apr,30888,28068,2820,9.1
2010,May,30680,27895,2785,9.1
2010,Jun,30949,28011,2938,9.5
2010,Jul,31151,28123,3028,9.7
2010,Aug,31045,28136,2909,9.4
2010,Sep,31158,28339,2819,9.0
2010,Oct,31044,28363,2681,8.6
2010,Nov,30922,28187,2735,8.8
2010,Dec,30928,28263,2665,8.6
2011,Jan,31071,28258,2813,9.1
2011,Feb,31087,28378,2709,8.7
2011,Mar,31249,28612,2637,8.4
2011,Apr,31487,28938,2549,8.1
2011,May,31623,28986,2637,8.3
2011,Jun,31831,28920,2911,9.1
2011,Jul,31579,28722,2857,9.0
2011,Aug,31669,28847,2822,8.9
2011,Sep,31706,28981,2725,8.6
2011,Oct,31810,29229,2581,8.1
2011,Nov,31661,29223,2438,7.7
2011,Dec,31489,29087,2402,7.6
2012,Jan,31474,29009,2465,7.8
2012,Feb,31639,29212,2427,7.7
2012,Mar,31803,29472,2331,7.3
2012,Apr,31913,29726,2187,6.9
2012,May,32068,29727,2341,7.3
2012,Jun,32141,29583,2558,8.0
2012,Jul,32246,29680,2566,8.0
2012,Aug,32058,29618,2440,7.6
2012,Sep,31908,29600,2308,7.2
2012,Oct,32349,30045,2304,7.1
2012,Nov,32060,29868,2192,6.8
2012,Dec,32011,29759,2252,7.0
2013,Jan,32350,29893,2457,7.6
2013,Feb,32377,30064,2313,7.1
2013,Mar,32268,30105,2163,6.7
2013,Apr,32493,30382,2111,6.5
2013,May,32348,30157,2191,6.8
2013,Jun,32539,30130,2409,7.4
2013,Jul,32469,30073,2396,7.4
2013,Aug,32243,29970,2273,7.0
2013,Sep,32380,30158,2222,6.9
2013,Oct,32241,30091,2150,6.7
2013,Nov,32214,30204,2010,6.2
2013,Dec,31942,30067,1875,5.9
2014,Jan,31894,29932,1962,6.2
2014,Feb,32108,30147,1961,6.1
2014,Mar,32464,30550,1914,5.9
2014,Apr,32034,30391,1643,5.1
2014,May,32269,30480,1789,5.5
2014,Jun,32358,30477,1881,5.8
2014,Jul,32349,30371,1978,6.1
2014,Aug,32261,30375,1886,5.8
2014,Sep,32250,30544,1706,5.3
2014,Oct,32288,30703,1585,4.9
2014,Nov,32314,30762,1552,4.8
2014,Dec,32179,30773,1406,4.4
2015,Jan,32184,30629,1555,4.8
2015,Feb,31890,30397,1493,4.7
2015,Mar,31627,30127,1500,4.7
2015,Apr,31340,29898,1442,4.6
2015,May,31289,29710,1579,5.0
2015,Jun,31232,29494,1738,5.6
2015,Jul,31105,29291,1814,5.8
2015,Aug,30821,29097,1724,5.6
2015,Sep,30865,29207,1658,5.4
2015,Oct,30952,29311,1641,5.3
2015,Nov,30767,29065,1702,5.5
2015,Dec,30407,28743,1664,5.5
2016,Jan,30018,28313,1705,5.7
2016,Feb,30255,28564,1691,5.6
2016,Mar,30042,28343,1699,5.7
2016,Apr,30081,28399,1682,5.6
2016,May,29911,28239,1672,5.6
2016,Jun,30080,28090,1990,6.6
2016,Jul,29911,27906,2005,6.7
2016,Aug,29742,27751,1991,6.7
2016,Sep,29984,28034,1950,6.5
2016,Oct,29955,28181,1774,5.9
2016,Nov,29805,28124,1681,5.6
2016,Dec,29436,27738,1698,5.8
2017,Jan,29496,27593,1903,6.5
2017,Feb,29706,27869,1837,6.2
2017,Mar,29565,27877,1688,5.7
2017,Apr,29614,28106,1508,5.1
2017,May,29448,27958,1490,5.1
2017,Jun,29552,27957,1595,5.4
2017,Jul,29349,27798,1551,5.3
2017,Aug,29285,27736,1549,5.3
2017,Sep,29472,28082,1390,4.7
2017,Oct,29319,28047,1272,4.3
2017,Nov,29400,28046,1354,4.6
2017,Dec,29358,28043,1315,4.5
2018,Jan,29639,28217,1422,4.8
2018,Feb,30038,28657,1381,4.6
2018,Mar,30118,28765,1353,4.5
2018,Apr,30213,28985,1228,4.1
2018,May,30128,28925,1203,4.0
2018,Jun,30202,28784,1418,4.7
2018,Jul,30072,28717,1355,4.5
2018,Aug,29767,28422,1345,4.5
2018,Sep,29997,28762,1235,4.1
2018,Oct,29773,28577,1196,4.0
2018,Nov,29651,28480,1171,3.9
2018,Dec,29529,28323,1206,4.1
2019,Jan,29406,28055,1351,4.6
2019,Feb,29532,28340,1192,4.0
2019,Mar,29544,28355,1189,4.0
2019,Apr,29392,28406,986,3.4
2019,May,29206,28149,1057,3.6
2019,Jun,29302,28100,1202,4.1
2019,Jul,29332,28079,1253,4.3
2019,Aug,29320,28081,1239,4.2
2019,Sep,29753,28570,1183,4.0
2019,Oct,29830,28654,1176,3.9
2019,Nov,29692,28521,1171,3.9
2019,Dec,29512,28360,1152,3.9
2020,Jan,29425,28125,1300,4.4
2020,Feb,29523,28272,1251,4.2
2020,Mar,29220,27449,1771,6.1
2020,Apr,26058,23029,3029,11.6
