Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482050000000003,LAUCN482050000000004,LAUCN482050000000005,LAUCN482050000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hartley County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2543,2427,116,4.6
2010,Feb,2545,2427,118,4.6
2010,Mar,2608,2496,112,4.3
2010,Apr,2672,2563,109,4.1
2010,May,2636,2529,107,4.1
2010,Jun,2767,2648,119,4.3
2010,Jul,2778,2661,117,4.2
2010,Aug,2721,2610,111,4.1
2010,Sep,2752,2645,107,3.9
2010,Oct,2796,2687,109,3.9
2010,Nov,2764,2652,112,4.1
2010,Dec,2755,2654,101,3.7
2011,Jan,2723,2608,115,4.2
2011,Feb,2695,2579,116,4.3
2011,Mar,2770,2657,113,4.1
2011,Apr,2779,2671,108,3.9
2011,May,2782,2670,112,4.0
2011,Jun,2887,2755,132,4.6
2011,Jul,2848,2724,124,4.4
2011,Aug,2887,2768,119,4.1
2011,Sep,2869,2760,109,3.8
2011,Oct,2801,2702,99,3.5
2011,Nov,2842,2748,94,3.3
2011,Dec,2878,2784,94,3.3
2012,Jan,2798,2698,100,3.6
2012,Feb,2796,2700,96,3.4
2012,Mar,2835,2742,93,3.3
2012,Apr,2879,2788,91,3.2
2012,May,2917,2817,100,3.4
2012,Jun,2981,2865,116,3.9
2012,Jul,2953,2838,115,3.9
2012,Aug,2903,2805,98,3.4
2012,Sep,2943,2850,93,3.2
2012,Oct,2940,2849,91,3.1
2012,Nov,2958,2873,85,2.9
2012,Dec,2931,2842,89,3.0
2013,Jan,2889,2788,101,3.5
2013,Feb,2870,2779,91,3.2
2013,Mar,2880,2790,90,3.1
2013,Apr,2966,2884,82,2.8
2013,May,3010,2918,92,3.1
2013,Jun,3042,2935,107,3.5
2013,Jul,3014,2910,104,3.5
2013,Aug,2938,2840,98,3.3
2013,Sep,2936,2841,95,3.2
2013,Oct,2933,2843,90,3.1
2013,Nov,2841,2761,80,2.8
2013,Dec,2870,2794,76,2.6
2014,Jan,2825,2749,76,2.7
2014,Feb,2907,2825,82,2.8
2014,Mar,2936,2862,74,2.5
2014,Apr,2927,2866,61,2.1
2014,May,2947,2876,71,2.4
2014,Jun,2997,2917,80,2.7
2014,Jul,2949,2863,86,2.9
2014,Aug,2882,2805,77,2.7
2014,Sep,2912,2839,73,2.5
2014,Oct,2896,2826,70,2.4
2014,Nov,2847,2778,69,2.4
2014,Dec,2830,2771,59,2.1
2015,Jan,2953,2881,72,2.4
2015,Feb,2972,2907,65,2.2
2015,Mar,3031,2966,65,2.1
2015,Apr,3009,2950,59,2.0
2015,May,3030,2962,68,2.2
2015,Jun,3057,2983,74,2.4
2015,Jul,3022,2953,69,2.3
2015,Aug,2984,2924,60,2.0
2015,Sep,3005,2945,60,2.0
2015,Oct,3027,2969,58,1.9
2015,Nov,2972,2915,57,1.9
2015,Dec,2989,2930,59,2.0
2016,Jan,2874,2814,60,2.1
2016,Feb,2983,2925,58,1.9
2016,Mar,3020,2961,59,2.0
2016,Apr,3024,2974,50,1.7
2016,May,3084,3029,55,1.8
2016,Jun,3037,2971,66,2.2
2016,Jul,2923,2855,68,2.3
2016,Aug,2934,2872,62,2.1
2016,Sep,2921,2859,62,2.1
2016,Oct,2918,2857,61,2.1
2016,Nov,2905,2849,56,1.9
2016,Dec,2878,2821,57,2.0
2017,Jan,2868,2804,64,2.2
2017,Feb,2916,2854,62,2.1
2017,Mar,3005,2945,60,2.0
2017,Apr,3000,2948,52,1.7
2017,May,2997,2942,55,1.8
2017,Jun,3008,2949,59,2.0
2017,Jul,2920,2858,62,2.1
2017,Aug,2930,2869,61,2.1
2017,Sep,2905,2851,54,1.9
2017,Oct,2947,2896,51,1.7
2017,Nov,2894,2837,57,2.0
2017,Dec,2899,2847,52,1.8
2018,Jan,2836,2781,55,1.9
2018,Feb,2868,2816,52,1.8
2018,Mar,2942,2889,53,1.8
2018,Apr,2897,2854,43,1.5
2018,May,2945,2901,44,1.5
2018,Jun,2916,2861,55,1.9
2018,Jul,2864,2812,52,1.8
2018,Aug,2891,2835,56,1.9
2018,Sep,2848,2792,56,2.0
2018,Oct,2832,2781,51,1.8
2018,Nov,2782,2734,48,1.7
2018,Dec,2734,2685,49,1.8
2019,Jan,2748,2693,55,2.0
2019,Feb,2798,2750,48,1.7
2019,Mar,2835,2790,45,1.6
2019,Apr,2786,2750,36,1.3
2019,May,2813,2775,38,1.4
2019,Jun,2808,2759,49,1.7
2019,Jul,2824,2774,50,1.8
2019,Aug,2866,2816,50,1.7
2019,Sep,2788,2740,48,1.7
2019,Oct,2830,2785,45,1.6
2019,Nov,2763,2715,48,1.7
2019,Dec,2771,2727,44,1.6
2020,Jan,2765,2713,52,1.9
2020,Feb,2794,2745,49,1.8
2020,Mar,2765,2698,67,2.4
2020,Apr,2316,2255,61,2.6
