Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482070000000003,LAUCN482070000000004,LAUCN482070000000005,LAUCN482070000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Haskell County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2902,2715,187,6.4
2010,Feb,2909,2726,183,6.3
2010,Mar,2937,2768,169,5.8
2010,Apr,3011,2849,162,5.4
2010,May,2987,2832,155,5.2
2010,Jun,3069,2899,170,5.5
2010,Jul,3054,2887,167,5.5
2010,Aug,3001,2842,159,5.3
2010,Sep,3021,2866,155,5.1
2010,Oct,3010,2858,152,5.0
2010,Nov,3013,2855,158,5.2
2010,Dec,3013,2873,140,4.6
2011,Jan,3036,2872,164,5.4
2011,Feb,2990,2836,154,5.2
2011,Mar,3054,2898,156,5.1
2011,Apr,3090,2935,155,5.0
2011,May,3068,2915,153,5.0
2011,Jun,3164,2976,188,5.9
2011,Jul,3102,2920,182,5.9
2011,Aug,3065,2891,174,5.7
2011,Sep,3048,2880,168,5.5
2011,Oct,2969,2810,159,5.4
2011,Nov,2966,2815,151,5.1
2011,Dec,2919,2768,151,5.2
2012,Jan,2780,2616,164,5.9
2012,Feb,2757,2589,168,6.1
2012,Mar,2782,2624,158,5.7
2012,Apr,2767,2629,138,5.0
2012,May,2771,2623,148,5.3
2012,Jun,2831,2667,164,5.8
2012,Jul,2819,2656,163,5.8
2012,Aug,2769,2617,152,5.5
2012,Sep,2764,2629,135,4.9
2012,Oct,2765,2638,127,4.6
2012,Nov,2763,2636,127,4.6
2012,Dec,2724,2597,127,4.7
2013,Jan,2700,2546,154,5.7
2013,Feb,2698,2552,146,5.4
2013,Mar,2673,2537,136,5.1
2013,Apr,2693,2564,129,4.8
2013,May,2730,2593,137,5.0
2013,Jun,2772,2622,150,5.4
2013,Jul,2760,2617,143,5.2
2013,Aug,2695,2560,135,5.0
2013,Sep,2726,2590,136,5.0
2013,Oct,2752,2628,124,4.5
2013,Nov,2663,2551,112,4.2
2013,Dec,2682,2579,103,3.8
2014,Jan,2622,2520,102,3.9
2014,Feb,2672,2568,104,3.9
2014,Mar,2701,2583,118,4.4
2014,Apr,2712,2610,102,3.8
2014,May,2742,2629,113,4.1
2014,Jun,2738,2620,118,4.3
2014,Jul,2721,2603,118,4.3
2014,Aug,2669,2560,109,4.1
2014,Sep,2712,2606,106,3.9
2014,Oct,2769,2666,103,3.7
2014,Nov,2688,2590,98,3.6
2014,Dec,2625,2540,85,3.2
2015,Jan,2568,2471,97,3.8
2015,Feb,2615,2525,90,3.4
2015,Mar,2666,2576,90,3.4
2015,Apr,2581,2497,84,3.3
2015,May,2632,2530,102,3.9
2015,Jun,2659,2551,108,4.1
2015,Jul,2566,2474,92,3.6
2015,Aug,2520,2433,87,3.5
2015,Sep,2565,2474,91,3.5
2015,Oct,2593,2507,86,3.3
2015,Nov,2516,2435,81,3.2
2015,Dec,2513,2439,74,2.9
2016,Jan,2446,2359,87,3.6
2016,Feb,2543,2453,90,3.5
2016,Mar,2606,2511,95,3.6
2016,Apr,2587,2493,94,3.6
2016,May,2589,2497,92,3.6
2016,Jun,2553,2450,103,4.0
2016,Jul,2461,2354,107,4.3
2016,Aug,2473,2353,120,4.9
2016,Sep,2494,2366,128,5.1
2016,Oct,2454,2332,122,5.0
2016,Nov,2443,2325,118,4.8
2016,Dec,2437,2325,112,4.6
2017,Jan,2422,2295,127,5.2
2017,Feb,2470,2347,123,5.0
2017,Mar,2556,2443,113,4.4
2017,Apr,2513,2392,121,4.8
2017,May,2508,2386,122,4.9
2017,Jun,2456,2330,126,5.1
2017,Jul,2386,2262,124,5.2
2017,Aug,2421,2295,126,5.2
2017,Sep,2386,2273,113,4.7
2017,Oct,2401,2301,100,4.2
2017,Nov,2353,2246,107,4.5
2017,Dec,2375,2277,98,4.1
2018,Jan,2355,2252,103,4.4
2018,Feb,2382,2283,99,4.2
2018,Mar,2460,2361,99,4.0
2018,Apr,2353,2261,92,3.9
2018,May,2407,2324,83,3.4
2018,Jun,2391,2290,101,4.2
2018,Jul,2310,2214,96,4.2
2018,Aug,2372,2280,92,3.9
2018,Sep,2339,2257,82,3.5
2018,Oct,2334,2253,81,3.5
2018,Nov,2298,2219,79,3.4
2018,Dec,2260,2183,77,3.4
2019,Jan,2210,2126,84,3.8
2019,Feb,2269,2187,82,3.6
2019,Mar,2296,2217,79,3.4
2019,Apr,2268,2195,73,3.2
2019,May,2298,2228,70,3.0
2019,Jun,2288,2210,78,3.4
2019,Jul,2270,2191,79,3.5
2019,Aug,2328,2249,79,3.4
2019,Sep,2308,2233,75,3.2
2019,Oct,2344,2276,68,2.9
2019,Nov,2270,2198,72,3.2
2019,Dec,2279,2214,65,2.9
2020,Jan,2265,2184,81,3.6
2020,Feb,2286,2211,75,3.3
2020,Mar,2273,2167,106,4.7
2020,Apr,1950,1816,134,6.9
