Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482090000000003,LAUCN482090000000004,LAUCN482090000000005,LAUCN482090000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hays County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,78630,72801,5829,7.4
2010,Feb,78947,73305,5642,7.1
2010,Mar,79529,73904,5625,7.1
2010,Apr,80451,74979,5472,6.8
2010,May,80041,74645,5396,6.7
2010,Jun,80551,74588,5963,7.4
2010,Jul,80555,74642,5913,7.3
2010,Aug,80725,74928,5797,7.2
2010,Sep,80796,75239,5557,6.9
2010,Oct,81316,75793,5523,6.8
2010,Nov,81790,76086,5704,7.0
2010,Dec,81321,75937,5384,6.6
2011,Jan,81892,76110,5782,7.1
2011,Feb,82325,76755,5570,6.8
2011,Mar,82557,77187,5370,6.5
2011,Apr,82977,77777,5200,6.3
2011,May,82996,77658,5338,6.4
2011,Jun,83442,77312,6130,7.3
2011,Jul,83350,77253,6097,7.3
2011,Aug,83511,77566,5945,7.1
2011,Sep,84043,78178,5865,7.0
2011,Oct,84300,78780,5520,6.5
2011,Nov,84479,79257,5222,6.2
2011,Dec,84126,79121,5005,5.9
2012,Jan,84537,79147,5390,6.4
2012,Feb,84763,79588,5175,6.1
2012,Mar,84948,79962,4986,5.9
2012,Apr,85018,80314,4704,5.5
2012,May,85329,80390,4939,5.8
2012,Jun,86022,80404,5618,6.5
2012,Jul,86003,80443,5560,6.5
2012,Aug,85569,80379,5190,6.1
2012,Sep,86301,81537,4764,5.5
2012,Oct,87111,82370,4741,5.4
2012,Nov,87256,82747,4509,5.2
2012,Dec,86956,82433,4523,5.2
2013,Jan,88569,83293,5276,6.0
2013,Feb,88630,83723,4907,5.5
2013,Mar,88766,84007,4759,5.4
2013,Apr,89447,84969,4478,5.0
2013,May,89993,85119,4874,5.4
2013,Jun,90459,85051,5408,6.0
2013,Jul,90407,85160,5247,5.8
2013,Aug,89935,85063,4872,5.4
2013,Sep,90431,85711,4720,5.2
2013,Oct,90438,85636,4802,5.3
2013,Nov,91108,86824,4284,4.7
2013,Dec,90674,86697,3977,4.4
2014,Jan,92895,88578,4317,4.6
2014,Feb,93608,89240,4368,4.7
2014,Mar,94008,89811,4197,4.5
2014,Apr,93721,90177,3544,3.8
2014,May,94012,90006,4006,4.3
2014,Jun,94475,90106,4369,4.6
2014,Jul,94635,90064,4571,4.8
2014,Aug,94087,89809,4278,4.5
2014,Sep,94277,90327,3950,4.2
2014,Oct,94799,91073,3726,3.9
2014,Nov,95017,91395,3622,3.8
2014,Dec,94259,90999,3260,3.5
2015,Jan,96890,93111,3779,3.9
2015,Feb,97193,93750,3443,3.5
2015,Mar,97406,94180,3226,3.3
2015,Apr,97911,94944,2967,3.0
2015,May,98483,95147,3336,3.4
2015,Jun,98844,95156,3688,3.7
2015,Jul,98533,94862,3671,3.7
2015,Aug,98185,94821,3364,3.4
2015,Sep,98818,95463,3355,3.4
2015,Oct,99445,96111,3334,3.4
2015,Nov,100070,96835,3235,3.2
2015,Dec,99967,96934,3033,3.0
2016,Jan,102604,99275,3329,3.2
2016,Feb,103644,100331,3313,3.2
2016,Mar,104067,100749,3318,3.2
2016,Apr,104108,101078,3030,2.9
2016,May,104103,101021,3082,3.0
2016,Jun,105000,101208,3792,3.6
2016,Jul,105388,101497,3891,3.7
2016,Aug,104929,101149,3780,3.6
2016,Sep,105707,101899,3808,3.6
2016,Oct,106091,102443,3648,3.4
2016,Nov,106369,102910,3459,3.3
2016,Dec,106041,102598,3443,3.2
2017,Jan,108710,104884,3826,3.5
2017,Feb,109662,105845,3817,3.5
2017,Mar,109916,106342,3574,3.3
2017,Apr,110246,107069,3177,2.9
2017,May,110198,106871,3327,3.0
2017,Jun,110705,106995,3710,3.4
2017,Jul,111128,107409,3719,3.3
2017,Aug,110568,106872,3696,3.3
2017,Sep,111743,108404,3339,3.0
2017,Oct,111639,108515,3124,2.8
2017,Nov,112156,108839,3317,3.0
2017,Dec,111969,108769,3200,2.9
2018,Jan,114031,110501,3530,3.1
2018,Feb,115437,111892,3545,3.1
2018,Mar,115395,111941,3454,3.0
2018,Apr,115624,112577,3047,2.6
2018,May,115690,112597,3093,2.7
2018,Jun,116557,112720,3837,3.3
2018,Jul,116517,112857,3660,3.1
2018,Aug,115535,111915,3620,3.1
2018,Sep,116450,113094,3356,2.9
2018,Oct,117402,114160,3242,2.8
2018,Nov,117831,114606,3225,2.7
2018,Dec,117777,114460,3317,2.8
2019,Jan,118372,114345,4027,3.4
2019,Feb,118992,115604,3388,2.8
2019,Mar,118951,115708,3243,2.7
2019,Apr,118789,116086,2703,2.3
2019,May,118708,115883,2825,2.4
2019,Jun,119688,116183,3505,2.9
2019,Jul,120192,116580,3612,3.0
2019,Aug,119765,116237,3528,2.9
2019,Sep,120597,117278,3319,2.8
2019,Oct,121348,118096,3252,2.7
2019,Nov,121499,118328,3171,2.6
2019,Dec,121589,118563,3026,2.5
2020,Jan,121491,118010,3481,2.9
2020,Feb,122502,119193,3309,2.7
2020,Mar,119743,115065,4678,3.9
2020,Apr,110437,96335,14102,12.8
