Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482110000000003,LAUCN482110000000004,LAUCN482110000000005,LAUCN482110000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hemphill County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2044,1948,96,4.7
2010,Feb,2047,1959,88,4.3
2010,Mar,2071,1987,84,4.1
2010,Apr,2094,2009,85,4.1
2010,May,2096,2012,84,4.0
2010,Jun,2129,2044,85,4.0
2010,Jul,2167,2086,81,3.7
2010,Aug,2161,2084,77,3.6
2010,Sep,2146,2064,82,3.8
2010,Oct,2196,2119,77,3.5
2010,Nov,2199,2112,87,4.0
2010,Dec,2206,2130,76,3.4
2011,Jan,2297,2210,87,3.8
2011,Feb,2277,2198,79,3.5
2011,Mar,2342,2264,78,3.3
2011,Apr,2346,2266,80,3.4
2011,May,2326,2243,83,3.6
2011,Jun,2423,2328,95,3.9
2011,Jul,2429,2335,94,3.9
2011,Aug,2488,2401,87,3.5
2011,Sep,2434,2348,86,3.5
2011,Oct,2420,2340,80,3.3
2011,Nov,2443,2364,79,3.2
2011,Dec,2457,2386,71,2.9
2012,Jan,2521,2442,79,3.1
2012,Feb,2508,2436,72,2.9
2012,Mar,2535,2468,67,2.6
2012,Apr,2586,2519,67,2.6
2012,May,2573,2500,73,2.8
2012,Jun,2640,2553,87,3.3
2012,Jul,2599,2514,85,3.3
2012,Aug,2562,2480,82,3.2
2012,Sep,2560,2488,72,2.8
2012,Oct,2535,2466,69,2.7
2012,Nov,2473,2406,67,2.7
2012,Dec,2477,2405,72,2.9
2013,Jan,2486,2401,85,3.4
2013,Feb,2419,2343,76,3.1
2013,Mar,2411,2335,76,3.2
2013,Apr,2499,2430,69,2.8
2013,May,2515,2439,76,3.0
2013,Jun,2531,2446,85,3.4
2013,Jul,2526,2444,82,3.2
2013,Aug,2476,2401,75,3.0
2013,Sep,2456,2380,76,3.1
2013,Oct,2445,2375,70,2.9
2013,Nov,2461,2394,67,2.7
2013,Dec,2483,2421,62,2.5
2014,Jan,2508,2443,65,2.6
2014,Feb,2513,2445,68,2.7
2014,Mar,2520,2459,61,2.4
2014,Apr,2554,2501,53,2.1
2014,May,2584,2521,63,2.4
2014,Jun,2601,2534,67,2.6
2014,Jul,2635,2564,71,2.7
2014,Aug,2572,2507,65,2.5
2014,Sep,2589,2530,59,2.3
2014,Oct,2569,2513,56,2.2
2014,Nov,2498,2444,54,2.2
2014,Dec,2438,2388,50,2.1
2015,Jan,2415,2353,62,2.6
2015,Feb,2420,2355,65,2.7
2015,Mar,2398,2328,70,2.9
2015,Apr,2365,2295,70,3.0
2015,May,2388,2308,80,3.4
2015,Jun,2390,2306,84,3.5
2015,Jul,2292,2214,78,3.4
2015,Aug,2244,2165,79,3.5
2015,Sep,2209,2136,73,3.3
2015,Oct,2202,2133,69,3.1
2015,Nov,2155,2084,71,3.3
2015,Dec,2144,2077,67,3.1
2016,Jan,2078,2004,74,3.6
2016,Feb,2109,2027,82,3.9
2016,Mar,2104,2011,93,4.4
2016,Apr,2069,1987,82,4.0
2016,May,2117,2028,89,4.2
2016,Jun,2147,2061,86,4.0
2016,Jul,2132,2046,86,4.0
2016,Aug,2123,2047,76,3.6
2016,Sep,2134,2055,79,3.7
2016,Oct,2118,2049,69,3.3
2016,Nov,2109,2043,66,3.1
2016,Dec,2129,2063,66,3.1
2017,Jan,2229,2160,69,3.1
2017,Feb,2279,2209,70,3.1
2017,Mar,2325,2264,61,2.6
2017,Apr,2340,2286,54,2.3
2017,May,2317,2258,59,2.5
2017,Jun,2298,2234,64,2.8
2017,Jul,2370,2308,62,2.6
2017,Aug,2254,2195,59,2.6
2017,Sep,2398,2343,55,2.3
2017,Oct,2255,2211,44,2.0
2017,Nov,2404,2355,49,2.0
2017,Dec,2308,2264,44,1.9
2018,Jan,2420,2370,50,2.1
2018,Feb,2379,2327,52,2.2
2018,Mar,2410,2357,53,2.2
2018,Apr,2206,2160,46,2.1
2018,May,2147,2105,42,2.0
2018,Jun,2167,2115,52,2.4
2018,Jul,2219,2170,49,2.2
2018,Aug,2146,2100,46,2.1
2018,Sep,2302,2260,42,1.8
2018,Oct,2167,2125,42,1.9
2018,Nov,2226,2185,41,1.8
2018,Dec,2197,2155,42,1.9
2019,Jan,1930,1878,52,2.7
2019,Feb,1912,1864,48,2.5
2019,Mar,1925,1878,47,2.4
2019,Apr,1951,1902,49,2.5
2019,May,1958,1899,59,3.0
2019,Jun,2023,1965,58,2.9
2019,Jul,1962,1904,58,3.0
2019,Aug,1941,1884,57,2.9
2019,Sep,1922,1874,48,2.5
2019,Oct,1916,1862,54,2.8
2019,Nov,1895,1842,53,2.8
2019,Dec,1902,1852,50,2.6
2020,Jan,1891,1823,68,3.6
2020,Feb,1881,1819,62,3.3
2020,Mar,1858,1778,80,4.3
2020,Apr,1554,1460,94,6.0
