Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482130000000003,LAUCN482130000000004,LAUCN482130000000005,LAUCN482130000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Henderson County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,34291,30984,3307,9.6
2010,Feb,34300,31114,3186,9.3
2010,Mar,34619,31504,3115,9.0
2010,Apr,34966,31986,2980,8.5
2010,May,34925,31976,2949,8.4
2010,Jun,35178,32038,3140,8.9
2010,Jul,35102,31940,3162,9.0
2010,Aug,34851,31790,3061,8.8
2010,Sep,34898,31929,2969,8.5
2010,Oct,34657,31746,2911,8.4
2010,Nov,34660,31621,3039,8.8
2010,Dec,34585,31669,2916,8.4
2011,Jan,34899,31818,3081,8.8
2011,Feb,34849,31840,3009,8.6
2011,Mar,35039,32104,2935,8.4
2011,Apr,34955,32157,2798,8.0
2011,May,34985,32112,2873,8.2
2011,Jun,35397,32149,3248,9.2
2011,Jul,35243,32062,3181,9.0
2011,Aug,35125,32017,3108,8.8
2011,Sep,35196,32117,3079,8.7
2011,Oct,35036,32096,2940,8.4
2011,Nov,35050,32206,2844,8.1
2011,Dec,34863,32138,2725,7.8
2012,Jan,34567,31733,2834,8.2
2012,Feb,34488,31725,2763,8.0
2012,Mar,34476,31831,2645,7.7
2012,Apr,34507,32042,2465,7.1
2012,May,34547,31961,2586,7.5
2012,Jun,34968,32127,2841,8.1
2012,Jul,34762,31945,2817,8.1
2012,Aug,34455,31794,2661,7.7
2012,Sep,34505,32044,2461,7.1
2012,Oct,34479,32010,2469,7.2
2012,Nov,34368,31986,2382,6.9
2012,Dec,34442,31982,2460,7.1
2013,Jan,34395,31636,2759,8.0
2013,Feb,34283,31732,2551,7.4
2013,Mar,34246,31768,2478,7.2
2013,Apr,34581,32243,2338,6.8
2013,May,34667,32221,2446,7.1
2013,Jun,34937,32243,2694,7.7
2013,Jul,34938,32311,2627,7.5
2013,Aug,34595,32085,2510,7.3
2013,Sep,34748,32279,2469,7.1
2013,Oct,34391,32044,2347,6.8
2013,Nov,34529,32326,2203,6.4
2013,Dec,34432,32361,2071,6.0
2014,Jan,34661,32502,2159,6.2
2014,Feb,34688,32524,2164,6.2
2014,Mar,34907,32776,2131,6.1
2014,Apr,34760,32988,1772,5.1
2014,May,35042,33120,1922,5.5
2014,Jun,35211,33162,2049,5.8
2014,Jul,34846,32711,2135,6.1
2014,Aug,34707,32675,2032,5.9
2014,Sep,34910,33053,1857,5.3
2014,Oct,34711,32942,1769,5.1
2014,Nov,34673,32946,1727,5.0
2014,Dec,34230,32658,1572,4.6
2015,Jan,34126,32370,1756,5.1
2015,Feb,34110,32431,1679,4.9
2015,Mar,34160,32469,1691,5.0
2015,Apr,34448,32923,1525,4.4
2015,May,34650,33006,1644,4.7
2015,Jun,34675,32889,1786,5.2
2015,Jul,34615,32797,1818,5.3
2015,Aug,34177,32516,1661,4.9
2015,Sep,34116,32463,1653,4.8
2015,Oct,34378,32741,1637,4.8
2015,Nov,34565,32962,1603,4.6
2015,Dec,34447,32899,1548,4.5
2016,Jan,34448,32835,1613,4.7
2016,Feb,34817,33284,1533,4.4
2016,Mar,35259,33648,1611,4.6
2016,Apr,35388,33908,1480,4.2
2016,May,35443,33936,1507,4.3
2016,Jun,35683,33897,1786,5.0
2016,Jul,35680,33851,1829,5.1
2016,Aug,35466,33657,1809,5.1
2016,Sep,35466,33680,1786,5.0
2016,Oct,35516,33847,1669,4.7
2016,Nov,35749,34140,1609,4.5
2016,Dec,35512,33932,1580,4.4
2017,Jan,35406,33685,1721,4.9
2017,Feb,35622,33921,1701,4.8
2017,Mar,35641,34045,1596,4.5
2017,Apr,35587,34186,1401,3.9
2017,May,35621,34217,1404,3.9
2017,Jun,35805,34240,1565,4.4
2017,Jul,35614,34056,1558,4.4
2017,Aug,35422,33895,1527,4.3
2017,Sep,35721,34321,1400,3.9
2017,Oct,35664,34349,1315,3.7
2017,Nov,35814,34467,1347,3.8
2017,Dec,35756,34449,1307,3.7
2018,Jan,35886,34464,1422,4.0
2018,Feb,36219,34817,1402,3.9
2018,Mar,36495,35069,1426,3.9
2018,Apr,36298,35051,1247,3.4
2018,May,36308,35072,1236,3.4
2018,Jun,36428,34903,1525,4.2
2018,Jul,36218,34742,1476,4.1
2018,Aug,35816,34436,1380,3.9
2018,Sep,36078,34778,1300,3.6
2018,Oct,35923,34667,1256,3.5
2018,Nov,36073,34802,1271,3.5
2018,Dec,35993,34685,1308,3.6
2019,Jan,36065,34606,1459,4.0
2019,Feb,36318,34997,1321,3.6
2019,Mar,36409,35104,1305,3.6
2019,Apr,36428,35334,1094,3.0
2019,May,36335,35223,1112,3.1
2019,Jun,36691,35317,1374,3.7
2019,Jul,36612,35183,1429,3.9
2019,Aug,36485,35136,1349,3.7
2019,Sep,36769,35509,1260,3.4
2019,Oct,36681,35455,1226,3.3
2019,Nov,36778,35539,1239,3.4
2019,Dec,36649,35469,1180,3.2
2020,Jan,36711,35307,1404,3.8
2020,Feb,36922,35595,1327,3.6
2020,Mar,36557,34647,1910,5.2
2020,Apr,32783,29476,3307,10.1
