Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482150000000003,LAUCN482150000000004,LAUCN482150000000005,LAUCN482150000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hidalgo County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,317443,278872,38571,12.2
2010,Feb,316681,279074,37607,11.9
2010,Mar,317645,280507,37138,11.7
2010,Apr,318101,283425,34676,10.9
2010,May,317045,281817,35228,11.1
2010,Jun,319111,280620,38491,12.1
2010,Jul,312186,273383,38803,12.4
2010,Aug,314743,276391,38352,12.2
2010,Sep,317696,281093,36603,11.5
2010,Oct,319112,283174,35938,11.3
2010,Nov,323876,285190,38686,11.9
2010,Dec,325977,287060,38917,11.9
2011,Jan,328373,287622,40751,12.4
2011,Feb,326780,287856,38924,11.9
2011,Mar,326223,288752,37471,11.5
2011,Apr,325040,289420,35620,11.0
2011,May,325410,288476,36934,11.3
2011,Jun,327899,286669,41230,12.6
2011,Jul,322611,282352,40259,12.5
2011,Aug,325322,285947,39375,12.1
2011,Sep,326128,288603,37525,11.5
2011,Oct,324617,288971,35646,11.0
2011,Nov,328732,293487,35245,10.7
2011,Dec,330178,294539,35639,10.8
2012,Jan,329761,292840,36921,11.2
2012,Feb,328329,292550,35779,10.9
2012,Mar,328138,294091,34047,10.4
2012,Apr,326507,294418,32089,9.8
2012,May,326318,292623,33695,10.3
2012,Jun,329853,291835,38018,11.5
2012,Jul,324530,286576,37954,11.7
2012,Aug,324266,288064,36202,11.2
2012,Sep,326786,293291,33495,10.2
2012,Oct,328500,296009,32491,9.9
2012,Nov,330707,298489,32218,9.7
2012,Dec,333454,298814,34640,10.4
2013,Jan,332629,294563,38066,11.4
2013,Feb,331134,295455,35679,10.8
2013,Mar,329297,295598,33699,10.2
2013,Apr,331281,298697,32584,9.8
2013,May,331829,298256,33573,10.1
2013,Jun,333531,296562,36969,11.1
2013,Jul,327489,291531,35958,11.0
2013,Aug,328498,293724,34774,10.6
2013,Sep,329674,296556,33118,10.0
2013,Oct,329308,297205,32103,9.7
2013,Nov,334152,301662,32490,9.7
2013,Dec,336131,303928,32203,9.6
2014,Jan,335186,301377,33809,10.1
2014,Feb,335598,303011,32587,9.7
2014,Mar,335192,303550,31642,9.4
2014,Apr,332685,305133,27552,8.3
2014,May,333256,305330,27926,8.4
2014,Jun,334065,303378,30687,9.2
2014,Jul,329117,297459,31658,9.6
2014,Aug,329276,298853,30423,9.2
2014,Sep,329049,302302,26747,8.1
2014,Oct,330134,305610,24524,7.4
2014,Nov,333010,306852,26158,7.9
2014,Dec,332240,306691,25549,7.7
2015,Jan,331454,303305,28149,8.5
2015,Feb,330613,304438,26175,7.9
2015,Mar,331506,306103,25403,7.7
2015,Apr,331465,307113,24352,7.3
2015,May,334596,308893,25703,7.7
2015,Jun,333012,305306,27706,8.3
2015,Jul,327485,299609,27876,8.5
2015,Aug,327265,300387,26878,8.2
2015,Sep,327147,301989,25158,7.7
2015,Oct,328596,304357,24239,7.4
2015,Nov,333528,307462,26066,7.8
2015,Dec,334279,308028,26251,7.9
2016,Jan,333313,306304,27009,8.1
2016,Feb,335481,309816,25665,7.7
2016,Mar,337924,312082,25842,7.6
2016,Apr,337671,313314,24357,7.2
2016,May,337056,313275,23781,7.1
2016,Jun,338817,310523,28294,8.4
2016,Jul,332692,304351,28341,8.5
2016,Aug,335172,307254,27918,8.3
2016,Sep,335829,309052,26777,8.0
2016,Oct,335648,311769,23879,7.1
2016,Nov,339591,314192,25399,7.5
2016,Dec,343914,315834,28080,8.2
2017,Jan,345578,314315,31263,9.0
2017,Feb,344708,315902,28806,8.4
2017,Mar,344648,318034,26614,7.7
2017,Apr,345055,319851,25204,7.3
2017,May,343219,319148,24071,7.0
2017,Jun,344274,316908,27366,7.9
2017,Jul,336635,310160,26475,7.9
2017,Aug,338935,312238,26697,7.9
2017,Sep,340498,316920,23578,6.9
2017,Oct,339363,318951,20412,6.0
2017,Nov,344212,321812,22400,6.5
2017,Dec,348493,324533,23960,6.9
2018,Jan,349842,322836,27006,7.7
2018,Feb,350463,325633,24830,7.1
2018,Mar,351464,327977,23487,6.7
2018,Apr,350153,327886,22267,6.4
2018,May,348079,327460,20619,5.9
2018,Jun,348181,323229,24952,7.2
2018,Jul,342677,318668,24009,7.0
2018,Aug,341926,319308,22618,6.6
2018,Sep,343198,322362,20836,6.1
2018,Oct,344258,325389,18869,5.5
2018,Nov,348367,328248,20119,5.8
2018,Dec,352516,329114,23402,6.6
2019,Jan,354185,328045,26140,7.4
2019,Feb,353073,330611,22462,6.4
2019,Mar,352114,331869,20245,5.7
2019,Apr,349258,331640,17618,5.0
2019,May,349154,330272,18882,5.4
2019,Jun,351385,328474,22911,6.5
2019,Jul,348112,324042,24070,6.9
2019,Aug,351616,328460,23156,6.6
2019,Sep,352630,331530,21100,6.0
2019,Oct,354494,334439,20055,5.7
2019,Nov,356747,334685,22062,6.2
2019,Dec,361012,335734,25278,7.0
2020,Jan,363350,335764,27586,7.6
2020,Feb,362658,338312,24346,6.7
2020,Mar,359346,325686,33660,9.4
2020,Apr,338467,276811,61656,18.2
