Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482170000000003,LAUCN482170000000004,LAUCN482170000000005,LAUCN482170000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hill County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,15658,14222,1436,9.2
2010,Feb,15701,14321,1380,8.8
2010,Mar,15828,14490,1338,8.5
2010,Apr,16025,14733,1292,8.1
2010,May,16054,14730,1324,8.2
2010,Jun,16052,14673,1379,8.6
2010,Jul,16108,14706,1402,8.7
2010,Aug,16018,14696,1322,8.3
2010,Sep,16049,14734,1315,8.2
2010,Oct,15929,14659,1270,8.0
2010,Nov,15986,14676,1310,8.2
2010,Dec,15874,14612,1262,8.0
2011,Jan,15611,14255,1356,8.7
2011,Feb,15661,14336,1325,8.5
2011,Mar,15770,14456,1314,8.3
2011,Apr,15766,14516,1250,7.9
2011,May,15860,14576,1284,8.1
2011,Jun,15969,14522,1447,9.1
2011,Jul,15946,14526,1420,8.9
2011,Aug,16054,14696,1358,8.5
2011,Sep,16078,14730,1348,8.4
2011,Oct,16003,14754,1249,7.8
2011,Nov,16023,14815,1208,7.5
2011,Dec,15947,14804,1143,7.2
2012,Jan,15712,14488,1224,7.8
2012,Feb,15621,14450,1171,7.5
2012,Mar,15690,14567,1123,7.2
2012,Apr,15670,14618,1052,6.7
2012,May,15801,14687,1114,7.1
2012,Jun,15852,14626,1226,7.7
2012,Jul,15870,14658,1212,7.6
2012,Aug,15788,14700,1088,6.9
2012,Sep,15903,14906,997,6.3
2012,Oct,15890,14918,972,6.1
2012,Nov,15939,14976,963,6.0
2012,Dec,15921,14934,987,6.2
2013,Jan,15942,14828,1114,7.0
2013,Feb,15925,14891,1034,6.5
2013,Mar,15855,14854,1001,6.3
2013,Apr,16074,15132,942,5.9
2013,May,16311,15243,1068,6.5
2013,Jun,16269,15097,1172,7.2
2013,Jul,16025,14887,1138,7.1
2013,Aug,15849,14812,1037,6.5
2013,Sep,16023,15033,990,6.2
2013,Oct,15788,14796,992,6.3
2013,Nov,15840,14905,935,5.9
2013,Dec,15758,14873,885,5.6
2014,Jan,15829,14904,925,5.8
2014,Feb,15979,15036,943,5.9
2014,Mar,15992,15082,910,5.7
2014,Apr,15957,15179,778,4.9
2014,May,16026,15171,855,5.3
2014,Jun,15982,15057,925,5.8
2014,Jul,15986,15023,963,6.0
2014,Aug,15847,14956,891,5.6
2014,Sep,15928,15148,780,4.9
2014,Oct,15795,15069,726,4.6
2014,Nov,15824,15114,710,4.5
2014,Dec,15665,15018,647,4.1
2015,Jan,15494,14774,720,4.6
2015,Feb,15560,14846,714,4.6
2015,Mar,15557,14868,689,4.4
2015,Apr,15644,14996,648,4.1
2015,May,15722,15008,714,4.5
2015,Jun,15620,14830,790,5.1
2015,Jul,15591,14812,779,5.0
2015,Aug,15505,14783,722,4.7
2015,Sep,15615,14919,696,4.5
2015,Oct,15663,14974,689,4.4
2015,Nov,15731,15048,683,4.3
2015,Dec,15712,15051,661,4.2
2016,Jan,15517,14824,693,4.5
2016,Feb,15849,15161,688,4.3
2016,Mar,15982,15303,679,4.2
2016,Apr,15897,15269,628,4.0
2016,May,15921,15269,652,4.1
2016,Jun,15791,15035,756,4.8
2016,Jul,15760,14991,769,4.9
2016,Aug,15675,14946,729,4.7
2016,Sep,15799,15073,726,4.6
2016,Oct,15767,15081,686,4.4
2016,Nov,15811,15152,659,4.2
2016,Dec,15812,15143,669,4.2
2017,Jan,15828,15097,731,4.6
2017,Feb,16023,15291,732,4.6
2017,Mar,16186,15494,692,4.3
2017,Apr,16156,15579,577,3.6
2017,May,16099,15499,600,3.7
2017,Jun,16079,15399,680,4.2
2017,Jul,16224,15525,699,4.3
2017,Aug,16227,15572,655,4.0
2017,Sep,16413,15825,588,3.6
2017,Oct,16307,15774,533,3.3
2017,Nov,16311,15738,573,3.5
2017,Dec,16181,15611,570,3.5
2018,Jan,15954,15331,623,3.9
2018,Feb,16330,15714,616,3.8
2018,Mar,16429,15831,598,3.6
2018,Apr,16368,15819,549,3.4
2018,May,16314,15771,543,3.3
2018,Jun,16307,15647,660,4.0
2018,Jul,16325,15688,637,3.9
2018,Aug,16252,15664,588,3.6
2018,Sep,16396,15820,576,3.5
2018,Oct,16277,15709,568,3.5
2018,Nov,16276,15734,542,3.3
2018,Dec,16231,15673,558,3.4
2019,Jan,16109,15478,631,3.9
2019,Feb,16284,15714,570,3.5
2019,Mar,16359,15807,552,3.4
2019,Apr,16234,15788,446,2.7
2019,May,16315,15845,470,2.9
2019,Jun,16330,15753,577,3.5
2019,Jul,16460,15851,609,3.7
2019,Aug,16564,15983,581,3.5
2019,Sep,16604,16070,534,3.2
2019,Oct,16584,16064,520,3.1
2019,Nov,16563,16049,514,3.1
2019,Dec,16493,15998,495,3.0
2020,Jan,16332,15742,590,3.6
2020,Feb,16560,15994,566,3.4
2020,Mar,16382,15581,801,4.9
2020,Apr,14595,13113,1482,10.2
