Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482190000000003,LAUCN482190000000004,LAUCN482190000000005,LAUCN482190000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hockley County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,10609,9783,826,7.8
2010,Feb,10797,9962,835,7.7
2010,Mar,10911,10112,799,7.3
2010,Apr,10961,10206,755,6.9
2010,May,10919,10165,754,6.9
2010,Jun,11000,10146,854,7.8
2010,Jul,11068,10224,844,7.6
2010,Aug,11001,10209,792,7.2
2010,Sep,11250,10507,743,6.6
2010,Oct,11268,10559,709,6.3
2010,Nov,11285,10547,738,6.5
2010,Dec,11287,10601,686,6.1
2011,Jan,11139,10377,762,6.8
2011,Feb,11124,10378,746,6.7
2011,Mar,11244,10546,698,6.2
2011,Apr,11200,10524,676,6.0
2011,May,11281,10591,690,6.1
2011,Jun,11455,10651,804,7.0
2011,Jul,11362,10562,800,7.0
2011,Aug,11383,10625,758,6.7
2011,Sep,11451,10708,743,6.5
2011,Oct,11503,10813,690,6.0
2011,Nov,11565,10922,643,5.6
2011,Dec,11613,10992,621,5.3
2012,Jan,11483,10826,657,5.7
2012,Feb,11524,10870,654,5.7
2012,Mar,11630,10965,665,5.7
2012,Apr,11777,11198,579,4.9
2012,May,11881,11265,616,5.2
2012,Jun,12057,11361,696,5.8
2012,Jul,11839,11133,706,6.0
2012,Aug,11736,11098,638,5.4
2012,Sep,11879,11293,586,4.9
2012,Oct,11950,11385,565,4.7
2012,Nov,11903,11353,550,4.6
2012,Dec,11828,11260,568,4.8
2013,Jan,11823,11155,668,5.7
2013,Feb,11860,11249,611,5.2
2013,Mar,11825,11225,600,5.1
2013,Apr,11946,11386,560,4.7
2013,May,12065,11465,600,5.0
2013,Jun,12198,11514,684,5.6
2013,Jul,12017,11349,668,5.6
2013,Aug,11881,11269,612,5.2
2013,Sep,11991,11400,591,4.9
2013,Oct,11919,11347,572,4.8
2013,Nov,11787,11256,531,4.5
2013,Dec,11781,11288,493,4.2
2014,Jan,11906,11379,527,4.4
2014,Feb,12011,11496,515,4.3
2014,Mar,12062,11559,503,4.2
2014,Apr,12132,11715,417,3.4
2014,May,12206,11746,460,3.8
2014,Jun,12190,11673,517,4.2
2014,Jul,12171,11614,557,4.6
2014,Aug,12007,11519,488,4.1
2014,Sep,12049,11600,449,3.7
2014,Oct,12269,11856,413,3.4
2014,Nov,12158,11765,393,3.2
2014,Dec,12082,11727,355,2.9
2015,Jan,12152,11712,440,3.6
2015,Feb,12146,11707,439,3.6
2015,Mar,12054,11598,456,3.8
2015,Apr,11925,11492,433,3.6
2015,May,11919,11425,494,4.1
2015,Jun,11865,11323,542,4.6
2015,Jul,11548,10991,557,4.8
2015,Aug,11415,10895,520,4.6
2015,Sep,11411,10907,504,4.4
2015,Oct,11478,10994,484,4.2
2015,Nov,11353,10857,496,4.4
2015,Dec,11382,10916,466,4.1
2016,Jan,11289,10776,513,4.5
2016,Feb,11399,10847,552,4.8
2016,Mar,11402,10858,544,4.8
2016,Apr,11310,10813,497,4.4
2016,May,11281,10790,491,4.4
2016,Jun,11222,10644,578,5.2
2016,Jul,10991,10414,577,5.2
2016,Aug,11028,10470,558,5.1
2016,Sep,11024,10503,521,4.7
2016,Oct,11002,10515,487,4.4
2016,Nov,11035,10587,448,4.1
2016,Dec,11014,10570,444,4.0
2017,Jan,10992,10543,449,4.1
2017,Feb,11140,10678,462,4.1
2017,Mar,11317,10874,443,3.9
2017,Apr,11362,10977,385,3.4
2017,May,11358,10955,403,3.5
2017,Jun,11322,10863,459,4.1
2017,Jul,11210,10754,456,4.1
2017,Aug,11219,10762,457,4.1
2017,Sep,11282,10884,398,3.5
2017,Oct,11341,10966,375,3.3
2017,Nov,11283,10908,375,3.3
2017,Dec,11317,10968,349,3.1
2018,Jan,11234,10870,364,3.2
2018,Feb,11417,11042,375,3.3
2018,Mar,11602,11208,394,3.4
2018,Apr,11609,11280,329,2.8
2018,May,11603,11281,322,2.8
2018,Jun,11480,11079,401,3.5
2018,Jul,11417,11035,382,3.3
2018,Aug,11385,11023,362,3.2
2018,Sep,11447,11115,332,2.9
2018,Oct,11468,11151,317,2.8
2018,Nov,11336,11019,317,2.8
2018,Dec,11206,10880,326,2.9
2019,Jan,11284,10918,366,3.2
2019,Feb,11409,11053,356,3.1
2019,Mar,11395,11040,355,3.1
2019,Apr,11358,11077,281,2.5
2019,May,11314,11006,308,2.7
2019,Jun,11247,10876,371,3.3
2019,Jul,11240,10865,375,3.3
2019,Aug,11294,10940,354,3.1
2019,Sep,11219,10903,316,2.8
2019,Oct,11322,11001,321,2.8
2019,Nov,11210,10900,310,2.8
2019,Dec,11184,10893,291,2.6
2020,Jan,11216,10839,377,3.4
2020,Feb,11292,10944,348,3.1
2020,Mar,11177,10684,493,4.4
2020,Apr,10092,8920,1172,11.6
