Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482210000000003,LAUCN482210000000004,LAUCN482210000000005,LAUCN482210000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hood County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,23132,20918,2214,9.6
2010,Feb,23092,20989,2103,9.1
2010,Mar,23203,21154,2049,8.8
2010,Apr,23410,21452,1958,8.4
2010,May,23256,21342,1914,8.2
2010,Jun,23381,21403,1978,8.5
2010,Jul,23397,21412,1985,8.5
2010,Aug,23334,21415,1919,8.2
2010,Sep,23466,21516,1950,8.3
2010,Oct,23451,21554,1897,8.1
2010,Nov,23527,21553,1974,8.4
2010,Dec,23577,21653,1924,8.2
2011,Jan,23312,21295,2017,8.7
2011,Feb,23328,21351,1977,8.5
2011,Mar,23431,21510,1921,8.2
2011,Apr,23444,21647,1797,7.7
2011,May,23492,21654,1838,7.8
2011,Jun,23769,21710,2059,8.7
2011,Jul,23775,21769,2006,8.4
2011,Aug,23783,21860,1923,8.1
2011,Sep,23860,21955,1905,8.0
2011,Oct,23727,21975,1752,7.4
2011,Nov,23796,22120,1676,7.0
2011,Dec,23810,22176,1634,6.9
2012,Jan,23555,21845,1710,7.3
2012,Feb,23545,21914,1631,6.9
2012,Mar,23587,22032,1555,6.6
2012,Apr,23589,22128,1461,6.2
2012,May,23709,22155,1554,6.6
2012,Jun,23931,22257,1674,7.0
2012,Jul,23917,22212,1705,7.1
2012,Aug,23775,22195,1580,6.6
2012,Sep,23916,22450,1466,6.1
2012,Oct,23924,22499,1425,6.0
2012,Nov,23957,22555,1402,5.9
2012,Dec,23992,22552,1440,6.0
2013,Jan,23800,22161,1639,6.9
2013,Feb,23781,22269,1512,6.4
2013,Mar,23698,22280,1418,6.0
2013,Apr,23901,22548,1353,5.7
2013,May,24114,22636,1478,6.1
2013,Jun,24248,22623,1625,6.7
2013,Jul,24233,22655,1578,6.5
2013,Aug,24074,22602,1472,6.1
2013,Sep,24204,22751,1453,6.0
2013,Oct,23963,22584,1379,5.8
2013,Nov,24091,22777,1314,5.5
2013,Dec,24082,22844,1238,5.1
2014,Jan,23946,22661,1285,5.4
2014,Feb,24179,22861,1318,5.5
2014,Mar,24261,22982,1279,5.3
2014,Apr,24189,23107,1082,4.5
2014,May,24350,23138,1212,5.0
2014,Jun,24431,23163,1268,5.2
2014,Jul,24428,23092,1336,5.5
2014,Aug,24275,23021,1254,5.2
2014,Sep,24339,23183,1156,4.7
2014,Oct,24378,23297,1081,4.4
2014,Nov,24390,23317,1073,4.4
2014,Dec,24261,23268,993,4.1
2015,Jan,24316,23187,1129,4.6
2015,Feb,24320,23243,1077,4.4
2015,Mar,24339,23298,1041,4.3
2015,Apr,24486,23488,998,4.1
2015,May,24670,23596,1074,4.4
2015,Jun,24632,23476,1156,4.7
2015,Jul,24624,23420,1204,4.9
2015,Aug,24479,23369,1110,4.5
2015,Sep,24538,23414,1124,4.6
2015,Oct,24632,23508,1124,4.6
2015,Nov,24701,23569,1132,4.6
2015,Dec,24729,23645,1084,4.4
2016,Jan,24759,23605,1154,4.7
2016,Feb,25008,23871,1137,4.5
2016,Mar,25172,23997,1175,4.7
2016,Apr,25192,24119,1073,4.3
2016,May,25254,24171,1083,4.3
2016,Jun,25379,24104,1275,5.0
2016,Jul,25375,24080,1295,5.1
2016,Aug,25328,24077,1251,4.9
2016,Sep,25370,24113,1257,5.0
2016,Oct,25310,24133,1177,4.7
2016,Nov,25450,24276,1174,4.6
2016,Dec,25462,24293,1169,4.6
2017,Jan,25616,24330,1286,5.0
2017,Feb,25765,24516,1249,4.8
2017,Mar,25824,24685,1139,4.4
2017,Apr,25814,24771,1043,4.0
2017,May,25801,24732,1069,4.1
2017,Jun,25915,24790,1125,4.3
2017,Jul,25983,24818,1165,4.5
2017,Aug,25948,24834,1114,4.3
2017,Sep,26090,25065,1025,3.9
2017,Oct,25980,25066,914,3.5
2017,Nov,26177,25190,987,3.8
2017,Dec,26177,25217,960,3.7
2018,Jan,26729,25652,1077,4.0
2018,Feb,27003,25914,1089,4.0
2018,Mar,27052,26009,1043,3.9
2018,Apr,26993,26057,936,3.5
2018,May,27024,26100,924,3.4
2018,Jun,27110,26024,1086,4.0
2018,Jul,27153,26074,1079,4.0
2018,Aug,26952,25937,1015,3.8
2018,Sep,27059,26127,932,3.4
2018,Oct,27095,26212,883,3.3
2018,Nov,27200,26301,899,3.3
2018,Dec,27259,26342,917,3.4
2019,Jan,27268,26226,1042,3.8
2019,Feb,27398,26436,962,3.5
2019,Mar,27436,26495,941,3.4
2019,Apr,27231,26446,785,2.9
2019,May,27284,26477,807,3.0
2019,Jun,27462,26475,987,3.6
2019,Jul,27609,26580,1029,3.7
2019,Aug,27635,26627,1008,3.6
2019,Sep,27753,26820,933,3.4
2019,Oct,27756,26856,900,3.2
2019,Nov,27974,27046,928,3.3
2019,Dec,27914,27021,893,3.2
2020,Jan,27908,26885,1023,3.7
2020,Feb,28104,27107,997,3.5
2020,Mar,27445,26056,1389,5.1
2020,Apr,24627,21915,2712,11.0
