Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482230000000003,LAUCN482230000000004,LAUCN482230000000005,LAUCN482230000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hopkins County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,16319,14989,1330,8.2
2010,Feb,16338,15041,1297,7.9
2010,Mar,16689,15415,1274,7.6
2010,Apr,16865,15679,1186,7.0
2010,May,16544,15381,1163,7.0
2010,Jun,16641,15381,1260,7.6
2010,Jul,16641,15388,1253,7.5
2010,Aug,16667,15434,1233,7.4
2010,Sep,16749,15548,1201,7.2
2010,Oct,16629,15458,1171,7.0
2010,Nov,16770,15495,1275,7.6
2010,Dec,16634,15422,1212,7.3
2011,Jan,16356,15057,1299,7.9
2011,Feb,16390,15120,1270,7.7
2011,Mar,16767,15519,1248,7.4
2011,Apr,16814,15618,1196,7.1
2011,May,16764,15530,1234,7.4
2011,Jun,16943,15577,1366,8.1
2011,Jul,16904,15591,1313,7.8
2011,Aug,16937,15680,1257,7.4
2011,Sep,17291,16049,1242,7.2
2011,Oct,17226,16035,1191,6.9
2011,Nov,16994,15855,1139,6.7
2011,Dec,16971,15863,1108,6.5
2012,Jan,16698,15542,1156,6.9
2012,Feb,16661,15533,1128,6.8
2012,Mar,16827,15735,1092,6.5
2012,Apr,16821,15784,1037,6.2
2012,May,17031,15920,1111,6.5
2012,Jun,17298,16051,1247,7.2
2012,Jul,17164,15920,1244,7.2
2012,Aug,17121,15975,1146,6.7
2012,Sep,17426,16358,1068,6.1
2012,Oct,17466,16418,1048,6.0
2012,Nov,17385,16390,995,5.7
2012,Dec,17143,16141,1002,5.8
2013,Jan,17111,16012,1099,6.4
2013,Feb,17082,16047,1035,6.1
2013,Mar,17445,16480,965,5.5
2013,Apr,17502,16582,920,5.3
2013,May,17382,16388,994,5.7
2013,Jun,17418,16294,1124,6.5
2013,Jul,17393,16305,1088,6.3
2013,Aug,17241,16211,1030,6.0
2013,Sep,17336,16312,1024,5.9
2013,Oct,17180,16227,953,5.5
2013,Nov,17084,16203,881,5.2
2013,Dec,17111,16279,832,4.9
2014,Jan,17214,16315,899,5.2
2014,Feb,17382,16465,917,5.3
2014,Mar,17665,16786,879,5.0
2014,Apr,17687,16935,752,4.3
2014,May,17567,16754,813,4.6
2014,Jun,17441,16575,866,5.0
2014,Jul,17409,16503,906,5.2
2014,Aug,17274,16407,867,5.0
2014,Sep,17823,17011,812,4.6
2014,Oct,17852,17107,745,4.2
2014,Nov,17604,16870,734,4.2
2014,Dec,17214,16561,653,3.8
2015,Jan,17122,16377,745,4.4
2015,Feb,17126,16384,742,4.3
2015,Mar,17092,16353,739,4.3
2015,Apr,17174,16492,682,4.0
2015,May,17162,16434,728,4.2
2015,Jun,17078,16298,780,4.6
2015,Jul,16840,16064,776,4.6
2015,Aug,16704,15999,705,4.2
2015,Sep,16971,16279,692,4.1
2015,Oct,17042,16366,676,4.0
2015,Nov,16981,16313,668,3.9
2015,Dec,16887,16253,634,3.8
2016,Jan,16991,16320,671,3.9
2016,Feb,17253,16601,652,3.8
2016,Mar,17388,16720,668,3.8
2016,Apr,17360,16731,629,3.6
2016,May,17409,16774,635,3.6
2016,Jun,17390,16645,745,4.3
2016,Jul,17313,16550,763,4.4
2016,Aug,17267,16528,739,4.3
2016,Sep,17376,16651,725,4.2
2016,Oct,17377,16675,702,4.0
2016,Nov,17449,16778,671,3.8
2016,Dec,17225,16558,667,3.9
2017,Jan,17205,16476,729,4.2
2017,Feb,17305,16604,701,4.1
2017,Mar,17524,16852,672,3.8
2017,Apr,17291,16688,603,3.5
2017,May,17165,16562,603,3.5
2017,Jun,17110,16467,643,3.8
2017,Jul,17033,16386,647,3.8
2017,Aug,17000,16379,621,3.7
2017,Sep,17121,16559,562,3.3
2017,Oct,17069,16555,514,3.0
2017,Nov,17099,16533,566,3.3
2017,Dec,17114,16568,546,3.2
2018,Jan,17085,16488,597,3.5
2018,Feb,17298,16657,641,3.7
2018,Mar,17518,16898,620,3.5
2018,Apr,17426,16851,575,3.3
2018,May,17435,16892,543,3.1
2018,Jun,17431,16794,637,3.7
2018,Jul,17245,16640,605,3.5
2018,Aug,17204,16612,592,3.4
2018,Sep,17338,16776,562,3.2
2018,Oct,17236,16703,533,3.1
2018,Nov,17373,16842,531,3.1
2018,Dec,17285,16745,540,3.1
2019,Jan,17351,16727,624,3.6
2019,Feb,17458,16884,574,3.3
2019,Mar,17571,17005,566,3.2
2019,Apr,17404,16940,464,2.7
2019,May,17556,17081,475,2.7
2019,Jun,17535,16986,549,3.1
2019,Jul,17551,16976,575,3.3
2019,Aug,17607,17044,563,3.2
2019,Sep,17661,17153,508,2.9
2019,Oct,17695,17185,510,2.9
2019,Nov,17607,17085,522,3.0
2019,Dec,17530,17032,498,2.8
2020,Jan,17543,16975,568,3.2
2020,Feb,17646,17081,565,3.2
2020,Mar,17508,16724,784,4.5
2020,Apr,15413,14112,1301,8.4
