Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482250000000003,LAUCN482250000000004,LAUCN482250000000005,LAUCN482250000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Houston County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,10077,9219,858,8.5
2010,Feb,10152,9312,840,8.3
2010,Mar,10378,9562,816,7.9
2010,Apr,10446,9645,801,7.7
2010,May,10333,9568,765,7.4
2010,Jun,10643,9812,831,7.8
2010,Jul,10752,9931,821,7.6
2010,Aug,10856,10060,796,7.3
2010,Sep,10701,9916,785,7.3
2010,Oct,10573,9795,778,7.4
2010,Nov,10774,9966,808,7.5
2010,Dec,10770,9974,796,7.4
2011,Jan,10637,9811,826,7.8
2011,Feb,10532,9745,787,7.5
2011,Mar,10640,9870,770,7.2
2011,Apr,10674,9946,728,6.8
2011,May,10701,9957,744,7.0
2011,Jun,10951,10077,874,8.0
2011,Jul,10935,10090,845,7.7
2011,Aug,10733,9774,959,8.9
2011,Sep,10507,9603,904,8.6
2011,Oct,10555,9659,896,8.5
2011,Nov,10524,9695,829,7.9
2011,Dec,10530,9730,800,7.6
2012,Jan,10290,9470,820,8.0
2012,Feb,10125,9341,784,7.7
2012,Mar,10127,9366,761,7.5
2012,Apr,10114,9424,690,6.8
2012,May,10143,9438,705,7.0
2012,Jun,10257,9480,777,7.6
2012,Jul,10188,9417,771,7.6
2012,Aug,10056,9344,712,7.1
2012,Sep,10012,9350,662,6.6
2012,Oct,9952,9301,651,6.5
2012,Nov,9921,9303,618,6.2
2012,Dec,9784,9157,627,6.4
2013,Jan,9843,9152,691,7.0
2013,Feb,9841,9192,649,6.6
2013,Mar,9834,9198,636,6.5
2013,Apr,9854,9261,593,6.0
2013,May,9914,9304,610,6.2
2013,Jun,10067,9374,693,6.9
2013,Jul,10032,9347,685,6.8
2013,Aug,9882,9260,622,6.3
2013,Sep,9756,9155,601,6.2
2013,Oct,9750,9185,565,5.8
2013,Nov,9743,9210,533,5.5
2013,Dec,9711,9216,495,5.1
2014,Jan,9627,9108,519,5.4
2014,Feb,9621,9100,521,5.4
2014,Mar,9658,9131,527,5.5
2014,Apr,9659,9227,432,4.5
2014,May,9793,9305,488,5.0
2014,Jun,9952,9429,523,5.3
2014,Jul,10033,9482,551,5.5
2014,Aug,9944,9428,516,5.2
2014,Sep,9828,9357,471,4.8
2014,Oct,9930,9487,443,4.5
2014,Nov,9946,9506,440,4.4
2014,Dec,9784,9380,404,4.1
2015,Jan,9524,9061,463,4.9
2015,Feb,9611,9180,431,4.5
2015,Mar,9630,9197,433,4.5
2015,Apr,9937,9539,398,4.0
2015,May,9952,9527,425,4.3
2015,Jun,10200,9720,480,4.7
2015,Jul,10146,9680,466,4.6
2015,Aug,10128,9675,453,4.5
2015,Sep,10011,9583,428,4.3
2015,Oct,10011,9585,426,4.3
2015,Nov,10074,9610,464,4.6
2015,Dec,10041,9599,442,4.4
2016,Jan,9855,9407,448,4.5
2016,Feb,9965,9518,447,4.5
2016,Mar,10006,9531,475,4.7
2016,Apr,10080,9664,416,4.1
2016,May,10075,9658,417,4.1
2016,Jun,10122,9651,471,4.7
2016,Jul,10134,9622,512,5.1
2016,Aug,10314,9825,489,4.7
2016,Sep,10111,9617,494,4.9
2016,Oct,10092,9631,461,4.6
2016,Nov,9973,9512,461,4.6
2016,Dec,9978,9508,470,4.7
2017,Jan,10132,9647,485,4.8
2017,Feb,10248,9775,473,4.6
2017,Mar,10428,10000,428,4.1
2017,Apr,10393,9994,399,3.8
2017,May,10381,9980,401,3.9
2017,Jun,10658,10217,441,4.1
2017,Jul,10395,9863,532,5.1
2017,Aug,10517,10005,512,4.9
2017,Sep,10567,10122,445,4.2
2017,Oct,10407,9981,426,4.1
2017,Nov,10358,9919,439,4.2
2017,Dec,10162,9739,423,4.2
2018,Jan,9884,9425,459,4.6
2018,Feb,10129,9688,441,4.4
2018,Mar,10269,9841,428,4.2
2018,Apr,10179,9808,371,3.6
2018,May,10240,9890,350,3.4
2018,Jun,10300,9883,417,4.0
2018,Jul,10326,9935,391,3.8
2018,Aug,10235,9863,372,3.6
2018,Sep,10164,9825,339,3.3
2018,Oct,10198,9887,311,3.0
2018,Nov,10252,9931,321,3.1
2018,Dec,10234,9903,331,3.2
2019,Jan,10127,9753,374,3.7
2019,Feb,10167,9849,318,3.1
2019,Mar,10197,9880,317,3.1
2019,Apr,10063,9807,256,2.5
2019,May,10233,9963,270,2.6
2019,Jun,10439,10079,360,3.4
2019,Jul,10627,10256,371,3.5
2019,Aug,10590,10226,364,3.4
2019,Sep,10453,10140,313,3.0
2019,Oct,10514,10194,320,3.0
2019,Nov,10488,10165,323,3.1
2019,Dec,10466,10153,313,3.0
2020,Jan,10279,9915,364,3.5
2020,Feb,10356,10016,340,3.3
2020,Mar,10320,9799,521,5.0
2020,Apr,8760,8171,589,6.7
