Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482270000000003,LAUCN482270000000004,LAUCN482270000000005,LAUCN482270000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Howard County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,13312,12283,1029,7.7
2010,Feb,13103,12133,970,7.4
2010,Mar,13154,12198,956,7.3
2010,Apr,13339,12404,935,7.0
2010,May,13213,12306,907,6.9
2010,Jun,13395,12361,1034,7.7
2010,Jul,13285,12274,1011,7.6
2010,Aug,13258,12277,981,7.4
2010,Sep,13214,12316,898,6.8
2010,Oct,13157,12269,888,6.7
2010,Nov,13150,12239,911,6.9
2010,Dec,13097,12242,855,6.5
2011,Jan,13128,12215,913,7.0
2011,Feb,13128,12255,873,6.6
2011,Mar,13141,12312,829,6.3
2011,Apr,13058,12253,805,6.2
2011,May,13170,12345,825,6.3
2011,Jun,13329,12343,986,7.4
2011,Jul,13308,12335,973,7.3
2011,Aug,13289,12365,924,7.0
2011,Sep,13284,12387,897,6.8
2011,Oct,13429,12597,832,6.2
2011,Nov,13443,12658,785,5.8
2011,Dec,13363,12614,749,5.6
2012,Jan,13245,12441,804,6.1
2012,Feb,13190,12433,757,5.7
2012,Mar,13238,12488,750,5.7
2012,Apr,13303,12598,705,5.3
2012,May,13300,12553,747,5.6
2012,Jun,13413,12544,869,6.5
2012,Jul,13656,12787,869,6.4
2012,Aug,13400,12619,781,5.8
2012,Sep,13458,12755,703,5.2
2012,Oct,13623,12920,703,5.2
2012,Nov,13502,12836,666,4.9
2012,Dec,13507,12834,673,5.0
2013,Jan,13526,12742,784,5.8
2013,Feb,13479,12743,736,5.5
2013,Mar,13479,12773,706,5.2
2013,Apr,13637,12975,662,4.9
2013,May,13714,12976,738,5.4
2013,Jun,13736,12901,835,6.1
2013,Jul,13676,12860,816,6.0
2013,Aug,13565,12810,755,5.6
2013,Sep,13629,12896,733,5.4
2013,Oct,13467,12753,714,5.3
2013,Nov,13483,12820,663,4.9
2013,Dec,13475,12832,643,4.8
2014,Jan,13668,13004,664,4.9
2014,Feb,13645,12968,677,5.0
2014,Mar,13655,12998,657,4.8
2014,Apr,13515,12985,530,3.9
2014,May,13571,12976,595,4.4
2014,Jun,13664,13030,634,4.6
2014,Jul,13718,13048,670,4.9
2014,Aug,13608,12985,623,4.6
2014,Sep,13655,13080,575,4.2
2014,Oct,13516,12986,530,3.9
2014,Nov,13581,13054,527,3.9
2014,Dec,13500,13037,463,3.4
2015,Jan,13607,13031,576,4.2
2015,Feb,13560,12987,573,4.2
2015,Mar,13586,13003,583,4.3
2015,Apr,13506,12942,564,4.2
2015,May,13484,12862,622,4.6
2015,Jun,13319,12654,665,5.0
2015,Jul,13285,12620,665,5.0
2015,Aug,13161,12539,622,4.7
2015,Sep,13213,12592,621,4.7
2015,Oct,13175,12552,623,4.7
2015,Nov,13189,12559,630,4.8
2015,Dec,13209,12588,621,4.7
2016,Jan,13237,12594,643,4.9
2016,Feb,13423,12759,664,4.9
2016,Mar,13450,12721,729,5.4
2016,Apr,13335,12630,705,5.3
2016,May,13274,12567,707,5.3
2016,Jun,13238,12457,781,5.9
2016,Jul,13251,12471,780,5.9
2016,Aug,13146,12375,771,5.9
2016,Sep,13023,12253,770,5.9
2016,Oct,13043,12275,768,5.9
2016,Nov,13091,12355,736,5.6
2016,Dec,12966,12265,701,5.4
2017,Jan,13178,12462,716,5.4
2017,Feb,13175,12482,693,5.3
2017,Mar,13276,12651,625,4.7
2017,Apr,13202,12631,571,4.3
2017,May,13191,12633,558,4.2
2017,Jun,13166,12582,584,4.4
2017,Jul,13319,12741,578,4.3
2017,Aug,13249,12684,565,4.3
2017,Sep,13207,12704,503,3.8
2017,Oct,13148,12692,456,3.5
2017,Nov,13192,12722,470,3.6
2017,Dec,13345,12905,440,3.3
2018,Jan,13448,12963,485,3.6
2018,Feb,13486,13002,484,3.6
2018,Mar,13724,13212,512,3.7
2018,Apr,13535,13119,416,3.1
2018,May,13503,13103,400,3.0
2018,Jun,13614,13108,506,3.7
2018,Jul,13651,13157,494,3.6
2018,Aug,13559,13116,443,3.3
2018,Sep,13667,13254,413,3.0
2018,Oct,13572,13179,393,2.9
2018,Nov,13701,13311,390,2.8
2018,Dec,13695,13300,395,2.9
2019,Jan,14016,13562,454,3.2
2019,Feb,14015,13594,421,3.0
2019,Mar,13984,13537,447,3.2
2019,Apr,13873,13515,358,2.6
2019,May,13916,13544,372,2.7
2019,Jun,14059,13595,464,3.3
2019,Jul,14079,13589,490,3.5
2019,Aug,14115,13648,467,3.3
2019,Sep,14099,13657,442,3.1
2019,Oct,14117,13667,450,3.2
2019,Nov,14107,13666,441,3.1
2019,Dec,14107,13679,428,3.0
2020,Jan,14202,13721,481,3.4
2020,Feb,14190,13736,454,3.2
2020,Mar,14086,13420,666,4.7
2020,Apr,12594,11285,1309,10.4
