Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482290000000003,LAUCN482290000000004,LAUCN482290000000005,LAUCN482290000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hudspeth County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1362,1245,117,8.6
2010,Feb,1361,1253,108,7.9
2010,Mar,1386,1284,102,7.4
2010,Apr,1431,1320,111,7.8
2010,May,1413,1306,107,7.6
2010,Jun,1446,1327,119,8.2
2010,Jul,1431,1312,119,8.3
2010,Aug,1420,1301,119,8.4
2010,Sep,1438,1320,118,8.2
2010,Oct,1422,1316,106,7.5
2010,Nov,1422,1310,112,7.9
2010,Dec,1416,1314,102,7.2
2011,Jan,1357,1247,110,8.1
2011,Feb,1348,1239,109,8.1
2011,Mar,1363,1263,100,7.3
2011,Apr,1375,1271,104,7.6
2011,May,1376,1267,109,7.9
2011,Jun,1412,1287,125,8.9
2011,Jul,1406,1285,121,8.6
2011,Aug,1422,1301,121,8.5
2011,Sep,1422,1302,120,8.4
2011,Oct,1376,1268,108,7.8
2011,Nov,1391,1288,103,7.4
2011,Dec,1404,1300,104,7.4
2012,Jan,1309,1206,103,7.9
2012,Feb,1298,1197,101,7.8
2012,Mar,1314,1215,99,7.5
2012,Apr,1328,1236,92,6.9
2012,May,1341,1238,103,7.7
2012,Jun,1355,1243,112,8.3
2012,Jul,1350,1238,112,8.3
2012,Aug,1329,1228,101,7.6
2012,Sep,1338,1244,94,7.0
2012,Oct,1326,1236,90,6.8
2012,Nov,1317,1230,87,6.6
2012,Dec,1304,1215,89,6.8
2013,Jan,1271,1170,101,7.9
2013,Feb,1267,1175,92,7.3
2013,Mar,1266,1171,95,7.5
2013,Apr,1294,1202,92,7.1
2013,May,1311,1220,91,6.9
2013,Jun,1321,1221,100,7.6
2013,Jul,1320,1227,93,7.0
2013,Aug,1292,1203,89,6.9
2013,Sep,1309,1223,86,6.6
2013,Oct,1309,1221,88,6.7
2013,Nov,1275,1196,79,6.2
2013,Dec,1292,1215,77,6.0
2014,Jan,1236,1156,80,6.5
2014,Feb,1264,1180,84,6.6
2014,Mar,1273,1184,89,7.0
2014,Apr,1281,1198,83,6.5
2014,May,1290,1204,86,6.7
2014,Jun,1277,1193,84,6.6
2014,Jul,1259,1177,82,6.5
2014,Aug,1241,1160,81,6.5
2014,Sep,1246,1170,76,6.1
2014,Oct,1239,1169,70,5.6
2014,Nov,1223,1153,70,5.7
2014,Dec,1206,1142,64,5.3
2015,Jan,1265,1188,77,6.1
2015,Feb,1289,1215,74,5.7
2015,Mar,1305,1234,71,5.4
2015,Apr,1287,1223,64,5.0
2015,May,1304,1238,66,5.1
2015,Jun,1295,1226,69,5.3
2015,Jul,1282,1201,81,6.3
2015,Aug,1260,1185,75,6.0
2015,Sep,1275,1203,72,5.6
2015,Oct,1278,1208,70,5.5
2015,Nov,1261,1190,71,5.6
2015,Dec,1268,1197,71,5.6
2016,Jan,1486,1398,88,5.9
2016,Feb,1547,1461,86,5.6
2016,Mar,1571,1482,89,5.7
2016,Apr,1574,1488,86,5.5
2016,May,1599,1510,89,5.6
2016,Jun,1565,1463,102,6.5
2016,Jul,1526,1423,103,6.7
2016,Aug,1541,1445,96,6.2
2016,Sep,1534,1441,93,6.1
2016,Oct,1521,1430,91,6.0
2016,Nov,1513,1426,87,5.8
2016,Dec,1511,1420,91,6.0
2017,Jan,1635,1527,108,6.6
2017,Feb,1671,1561,110,6.6
2017,Mar,1717,1615,102,5.9
2017,Apr,1710,1611,99,5.8
2017,May,1704,1612,92,5.4
2017,Jun,1675,1574,101,6.0
2017,Jul,1634,1523,111,6.8
2017,Aug,1647,1550,97,5.9
2017,Sep,1637,1550,87,5.3
2017,Oct,1655,1577,78,4.7
2017,Nov,1641,1556,85,5.2
2017,Dec,1642,1563,79,4.8
2018,Jan,1762,1676,86,4.9
2018,Feb,1800,1708,92,5.1
2018,Mar,1844,1756,88,4.8
2018,Apr,1808,1728,80,4.4
2018,May,1838,1759,79,4.3
2018,Jun,1803,1715,88,4.9
2018,Jul,1781,1694,87,4.9
2018,Aug,1815,1730,85,4.7
2018,Sep,1809,1732,77,4.3
2018,Oct,1803,1728,75,4.2
2018,Nov,1797,1723,74,4.1
2018,Dec,1768,1694,74,4.2
2019,Jan,1779,1688,91,5.1
2019,Feb,1800,1727,73,4.1
2019,Mar,1837,1761,76,4.1
2019,Apr,1811,1746,65,3.6
2019,May,1834,1762,72,3.9
2019,Jun,1807,1726,81,4.5
2019,Jul,1819,1730,89,4.9
2019,Aug,1865,1777,88,4.7
2019,Sep,1850,1761,89,4.8
2019,Oct,1870,1790,80,4.3
2019,Nov,1824,1745,79,4.3
2019,Dec,1831,1756,75,4.1
2020,Jan,1828,1747,81,4.4
2020,Feb,1851,1773,78,4.2
2020,Mar,1837,1735,102,5.6
2020,Apr,1645,1448,197,12.0
