Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482310000000003,LAUCN482310000000004,LAUCN482310000000005,LAUCN482310000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hunt County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,37419,33922,3497,9.3
2010,Feb,37451,34040,3411,9.1
2010,Mar,37588,34226,3362,8.9
2010,Apr,38030,34763,3267,8.6
2010,May,37937,34678,3259,8.6
2010,Jun,38241,34715,3526,9.2
2010,Jul,38440,34901,3539,9.2
2010,Aug,38407,34954,3453,9.0
2010,Sep,38398,35057,3341,8.7
2010,Oct,38427,35126,3301,8.6
2010,Nov,38629,35155,3474,9.0
2010,Dec,38537,35244,3293,8.5
2011,Jan,37951,34475,3476,9.2
2011,Feb,37925,34564,3361,8.9
2011,Mar,38088,34775,3313,8.7
2011,Apr,38125,34924,3201,8.4
2011,May,38215,34917,3298,8.6
2011,Jun,38602,34885,3717,9.6
2011,Jul,38674,35002,3672,9.5
2011,Aug,38675,35072,3603,9.3
2011,Sep,38846,35310,3536,9.1
2011,Oct,38784,35452,3332,8.6
2011,Nov,38706,35549,3157,8.2
2011,Dec,38668,35558,3110,8.0
2012,Jan,37919,34683,3236,8.5
2012,Feb,37978,34839,3139,8.3
2012,Mar,38075,34985,3090,8.1
2012,Apr,38188,35144,3044,8.0
2012,May,38440,35183,3257,8.5
2012,Jun,38774,35198,3576,9.2
2012,Jul,38751,35191,3560,9.2
2012,Aug,38466,35128,3338,8.7
2012,Sep,38639,35526,3113,8.1
2012,Oct,38722,35680,3042,7.9
2012,Nov,38579,35698,2881,7.5
2012,Dec,38559,35665,2894,7.5
2013,Jan,37839,34649,3190,8.4
2013,Feb,37724,34748,2976,7.9
2013,Mar,37695,34816,2879,7.6
2013,Apr,37874,35157,2717,7.2
2013,May,38169,35259,2910,7.6
2013,Jun,38485,35305,3180,8.3
2013,Jul,38540,35479,3061,7.9
2013,Aug,38352,35495,2857,7.4
2013,Sep,38421,35680,2741,7.1
2013,Oct,38246,35547,2699,7.1
2013,Nov,38482,35954,2528,6.6
2013,Dec,38340,35996,2344,6.1
2014,Jan,38119,35691,2428,6.4
2014,Feb,38326,35825,2501,6.5
2014,Mar,38445,35992,2453,6.4
2014,Apr,38293,36231,2062,5.4
2014,May,38477,36220,2257,5.9
2014,Jun,38679,36292,2387,6.2
2014,Jul,38863,36393,2470,6.4
2014,Aug,38735,36366,2369,6.1
2014,Sep,38852,36554,2298,5.9
2014,Oct,38907,36755,2152,5.5
2014,Nov,38970,36874,2096,5.4
2014,Dec,38727,36818,1909,4.9
2015,Jan,38520,36407,2113,5.5
2015,Feb,38469,36567,1902,4.9
2015,Mar,38403,36610,1793,4.7
2015,Apr,38657,36987,1670,4.3
2015,May,38853,37053,1800,4.6
2015,Jun,39050,37058,1992,5.1
2015,Jul,39134,37158,1976,5.0
2015,Aug,39015,37159,1856,4.8
2015,Sep,38994,37188,1806,4.6
2015,Oct,39166,37417,1749,4.5
2015,Nov,39330,37608,1722,4.4
2015,Dec,39366,37709,1657,4.2
2016,Jan,39707,37959,1748,4.4
2016,Feb,40025,38332,1693,4.2
2016,Mar,40148,38436,1712,4.3
2016,Apr,40192,38624,1568,3.9
2016,May,40231,38673,1558,3.9
2016,Jun,40580,38687,1893,4.7
2016,Jul,40750,38823,1927,4.7
2016,Aug,40704,38853,1851,4.5
2016,Sep,40782,38979,1803,4.4
2016,Oct,40853,39141,1712,4.2
2016,Nov,41013,39354,1659,4.0
2016,Dec,40996,39337,1659,4.0
2017,Jan,40860,39030,1830,4.5
2017,Feb,41148,39309,1839,4.5
2017,Mar,41208,39420,1788,4.3
2017,Apr,41175,39649,1526,3.7
2017,May,41080,39528,1552,3.8
2017,Jun,41354,39603,1751,4.2
2017,Jul,41524,39767,1757,4.2
2017,Aug,41433,39718,1715,4.1
2017,Sep,41682,40116,1566,3.8
2017,Oct,41562,40093,1469,3.5
2017,Nov,41829,40312,1517,3.6
2017,Dec,41739,40255,1484,3.6
2018,Jan,42024,40376,1648,3.9
2018,Feb,42373,40721,1652,3.9
2018,Mar,42339,40693,1646,3.9
2018,Apr,42268,40784,1484,3.5
2018,May,42282,40799,1483,3.5
2018,Jun,42586,40797,1789,4.2
2018,Jul,42688,40975,1713,4.0
2018,Aug,42362,40705,1657,3.9
2018,Sep,42553,40975,1578,3.7
2018,Oct,42710,41175,1535,3.6
2018,Nov,42927,41391,1536,3.6
2018,Dec,42926,41369,1557,3.6
2019,Jan,42886,41135,1751,4.1
2019,Feb,42998,41401,1597,3.7
2019,Mar,42938,41404,1534,3.6
2019,Apr,42828,41524,1304,3.0
2019,May,42931,41533,1398,3.3
2019,Jun,43331,41685,1646,3.8
2019,Jul,43634,41935,1699,3.9
2019,Aug,43580,41944,1636,3.8
2019,Sep,43756,42260,1496,3.4
2019,Oct,43879,42384,1495,3.4
2019,Nov,44059,42565,1494,3.4
2019,Dec,44133,42686,1447,3.3
2020,Jan,44014,42405,1609,3.7
2020,Feb,44296,42726,1570,3.5
2020,Mar,43535,41279,2256,5.2
2020,Apr,39660,35268,4392,11.1
