Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482330000000003,LAUCN482330000000004,LAUCN482330000000005,LAUCN482330000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hutchinson County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,9768,8935,833,8.5
2010,Feb,9647,8852,795,8.2
2010,Mar,9711,8913,798,8.2
2010,Apr,9711,8941,770,7.9
2010,May,9640,8863,777,8.1
2010,Jun,9733,8880,853,8.8
2010,Jul,9750,8937,813,8.3
2010,Aug,9746,8926,820,8.4
2010,Sep,9714,8871,843,8.7
2010,Oct,9657,8848,809,8.4
2010,Nov,9680,8808,872,9.0
2010,Dec,9727,8865,862,8.9
2011,Jan,9757,8869,888,9.1
2011,Feb,9935,9076,859,8.6
2011,Mar,9939,9144,795,8.0
2011,Apr,9837,9096,741,7.5
2011,May,9893,9138,755,7.6
2011,Jun,9982,9131,851,8.5
2011,Jul,9896,9062,834,8.4
2011,Aug,9829,9029,800,8.1
2011,Sep,9998,9227,771,7.7
2011,Oct,10092,9360,732,7.3
2011,Nov,9872,9191,681,6.9
2011,Dec,9945,9264,681,6.8
2012,Jan,9735,9062,673,6.9
2012,Feb,9817,9167,650,6.6
2012,Mar,9854,9213,641,6.5
2012,Apr,9794,9181,613,6.3
2012,May,9851,9201,650,6.6
2012,Jun,9939,9227,712,7.2
2012,Jul,9959,9244,715,7.2
2012,Aug,9750,9078,672,6.9
2012,Sep,9759,9155,604,6.2
2012,Oct,9894,9319,575,5.8
2012,Nov,9793,9243,550,5.6
2012,Dec,9782,9184,598,6.1
2013,Jan,9758,9075,683,7.0
2013,Feb,9649,8997,652,6.8
2013,Mar,9615,9003,612,6.4
2013,Apr,9618,9034,584,6.1
2013,May,9765,9133,632,6.5
2013,Jun,9847,9181,666,6.8
2013,Jul,9928,9284,644,6.5
2013,Aug,9805,9198,607,6.2
2013,Sep,9734,9146,588,6.0
2013,Oct,9709,9161,548,5.6
2013,Nov,9881,9359,522,5.3
2013,Dec,10005,9496,509,5.1
2014,Jan,10237,9732,505,4.9
2014,Feb,10241,9722,519,5.1
2014,Mar,10237,9741,496,4.8
2014,Apr,10314,9892,422,4.1
2014,May,10501,10025,476,4.5
2014,Jun,10669,10178,491,4.6
2014,Jul,10829,10309,520,4.8
2014,Aug,10522,10044,478,4.5
2014,Sep,10531,10103,428,4.1
2014,Oct,10725,10325,400,3.7
2014,Nov,10761,10357,404,3.8
2014,Dec,10794,10422,372,3.4
2015,Jan,10645,10217,428,4.0
2015,Feb,10788,10382,406,3.8
2015,Mar,10928,10527,401,3.7
2015,Apr,9407,9038,369,3.9
2015,May,9490,9074,416,4.4
2015,Jun,9499,9054,445,4.7
2015,Jul,9566,9122,444,4.6
2015,Aug,9471,9026,445,4.7
2015,Sep,9410,8944,466,5.0
2015,Oct,9408,8969,439,4.7
2015,Nov,9448,8979,469,5.0
2015,Dec,9526,9078,448,4.7
2016,Jan,9580,9121,459,4.8
2016,Feb,9634,9177,457,4.7
2016,Mar,9630,9154,476,4.9
2016,Apr,9818,9365,453,4.6
2016,May,9690,9233,457,4.7
2016,Jun,9727,9130,597,6.1
2016,Jul,9562,8949,613,6.4
2016,Aug,9487,8856,631,6.7
2016,Sep,9704,9071,633,6.5
2016,Oct,9584,9008,576,6.0
2016,Nov,9517,8969,548,5.8
2016,Dec,9631,9035,596,6.2
2017,Jan,9806,9147,659,6.7
2017,Feb,9616,9003,613,6.4
2017,Mar,9718,9138,580,6.0
2017,Apr,9675,9075,600,6.2
2017,May,9629,9033,596,6.2
2017,Jun,9560,8924,636,6.7
2017,Jul,9272,8670,602,6.5
2017,Aug,9173,8602,571,6.2
2017,Sep,9098,8586,512,5.6
2017,Oct,9070,8602,468,5.2
2017,Nov,9142,8659,483,5.3
2017,Dec,9029,8539,490,5.4
2018,Jan,9105,8580,525,5.8
2018,Feb,9338,8841,497,5.3
2018,Mar,9221,8764,457,5.0
2018,Apr,8954,8525,429,4.8
2018,May,8935,8507,428,4.8
2018,Jun,9098,8599,499,5.5
2018,Jul,8957,8485,472,5.3
2018,Aug,8846,8408,438,5.0
2018,Sep,8874,8459,415,4.7
2018,Oct,8933,8546,387,4.3
2018,Nov,8847,8462,385,4.4
2018,Dec,8827,8428,399,4.5
2019,Jan,8637,8181,456,5.3
2019,Feb,8553,8166,387,4.5
2019,Mar,8560,8195,365,4.3
2019,Apr,8622,8309,313,3.6
2019,May,8673,8355,318,3.7
2019,Jun,8837,8433,404,4.6
2019,Jul,8866,8426,440,5.0
2019,Aug,8710,8265,445,5.1
2019,Sep,8727,8342,385,4.4
2019,Oct,8734,8378,356,4.1
2019,Nov,8731,8360,371,4.2
2019,Dec,8758,8365,393,4.5
2020,Jan,8719,8287,432,5.0
2020,Feb,8757,8343,414,4.7
2020,Mar,8705,8152,553,6.4
2020,Apr,7590,6776,814,10.7
