Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482350000000003,LAUCN482350000000004,LAUCN482350000000005,LAUCN482350000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Irion County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,854,804,50,5.9
2010,Feb,849,804,45,5.3
2010,Mar,862,816,46,5.3
2010,Apr,883,837,46,5.2
2010,May,868,823,45,5.2
2010,Jun,888,841,47,5.3
2010,Jul,886,837,49,5.5
2010,Aug,876,831,45,5.1
2010,Sep,879,835,44,5.0
2010,Oct,873,830,43,4.9
2010,Nov,877,832,45,5.1
2010,Dec,879,837,42,4.8
2011,Jan,866,815,51,5.9
2011,Feb,854,810,44,5.2
2011,Mar,866,822,44,5.1
2011,Apr,865,825,40,4.6
2011,May,856,814,42,4.9
2011,Jun,880,828,52,5.9
2011,Jul,886,834,52,5.9
2011,Aug,895,846,49,5.5
2011,Sep,891,840,51,5.7
2011,Oct,878,829,49,5.6
2011,Nov,890,844,46,5.2
2011,Dec,896,850,46,5.1
2012,Jan,843,797,46,5.5
2012,Feb,833,791,42,5.0
2012,Mar,839,800,39,4.6
2012,Apr,850,811,39,4.6
2012,May,846,807,39,4.6
2012,Jun,867,822,45,5.2
2012,Jul,862,819,43,5.0
2012,Aug,852,816,36,4.2
2012,Sep,868,832,36,4.1
2012,Oct,852,821,31,3.6
2012,Nov,857,824,33,3.9
2012,Dec,847,814,33,3.9
2013,Jan,832,795,37,4.4
2013,Feb,837,801,36,4.3
2013,Mar,829,797,32,3.9
2013,Apr,851,820,31,3.6
2013,May,860,825,35,4.1
2013,Jun,865,825,40,4.6
2013,Jul,870,827,43,4.9
2013,Aug,856,817,39,4.6
2013,Sep,863,824,39,4.5
2013,Oct,855,819,36,4.2
2013,Nov,845,811,34,4.0
2013,Dec,851,818,33,3.9
2014,Jan,822,783,39,4.7
2014,Feb,837,800,37,4.4
2014,Mar,837,804,33,3.9
2014,Apr,836,808,28,3.3
2014,May,840,810,30,3.6
2014,Jun,843,811,32,3.8
2014,Jul,839,805,34,4.1
2014,Aug,826,797,29,3.5
2014,Sep,836,810,26,3.1
2014,Oct,838,810,28,3.3
2014,Nov,829,803,26,3.1
2014,Dec,820,791,29,3.5
2015,Jan,789,760,29,3.7
2015,Feb,800,770,30,3.8
2015,Mar,810,782,28,3.5
2015,Apr,815,786,29,3.6
2015,May,827,794,33,4.0
2015,Jun,817,785,32,3.9
2015,Jul,800,769,31,3.9
2015,Aug,782,756,26,3.3
2015,Sep,793,763,30,3.8
2015,Oct,793,766,27,3.4
2015,Nov,781,756,25,3.2
2015,Dec,781,757,24,3.1
2016,Jan,758,736,22,2.9
2016,Feb,784,762,22,2.8
2016,Mar,798,775,23,2.9
2016,Apr,799,777,22,2.8
2016,May,807,785,22,2.7
2016,Jun,798,773,25,3.1
2016,Jul,773,746,27,3.5
2016,Aug,776,750,26,3.4
2016,Sep,766,738,28,3.7
2016,Oct,767,740,27,3.5
2016,Nov,760,735,25,3.3
2016,Dec,765,737,28,3.7
2017,Jan,742,714,28,3.8
2017,Feb,755,729,26,3.4
2017,Mar,772,747,25,3.2
2017,Apr,764,741,23,3.0
2017,May,767,743,24,3.1
2017,Jun,764,741,23,3.0
2017,Jul,743,721,22,3.0
2017,Aug,749,729,20,2.7
2017,Sep,744,725,19,2.6
2017,Oct,759,738,21,2.8
2017,Nov,754,729,25,3.3
2017,Dec,761,738,23,3.0
2018,Jan,755,731,24,3.2
2018,Feb,767,741,26,3.4
2018,Mar,788,762,26,3.3
2018,Apr,777,753,24,3.1
2018,May,779,757,22,2.8
2018,Jun,772,744,28,3.6
2018,Jul,765,738,27,3.5
2018,Aug,767,745,22,2.9
2018,Sep,766,744,22,2.9
2018,Oct,757,737,20,2.6
2018,Nov,755,737,18,2.4
2018,Dec,751,730,21,2.8
2019,Jan,752,731,21,2.8
2019,Feb,763,745,18,2.4
2019,Mar,773,754,19,2.5
2019,Apr,760,745,15,2.0
2019,May,762,745,17,2.2
2019,Jun,757,738,19,2.5
2019,Jul,754,732,22,2.9
2019,Aug,771,752,19,2.5
2019,Sep,761,743,18,2.4
2019,Oct,764,746,18,2.4
2019,Nov,754,738,16,2.1
2019,Dec,757,741,16,2.1
2020,Jan,756,737,19,2.5
2020,Feb,768,749,19,2.5
2020,Mar,755,725,30,4.0
2020,Apr,647,601,46,7.1
