Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482370000000003,LAUCN482370000000004,LAUCN482370000000005,LAUCN482370000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Jack County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3739,3414,325,8.7
2010,Feb,3699,3392,307,8.3
2010,Mar,3688,3392,296,8.0
2010,Apr,3684,3396,288,7.8
2010,May,3614,3334,280,7.7
2010,Jun,3611,3324,287,7.9
2010,Jul,3636,3343,293,8.1
2010,Aug,3634,3357,277,7.6
2010,Sep,3674,3406,268,7.3
2010,Oct,3657,3385,272,7.4
2010,Nov,3682,3396,286,7.8
2010,Dec,3650,3383,267,7.3
2011,Jan,3651,3374,277,7.6
2011,Feb,3671,3398,273,7.4
2011,Mar,3707,3448,259,7.0
2011,Apr,3729,3479,250,6.7
2011,May,3740,3486,254,6.8
2011,Jun,3752,3469,283,7.5
2011,Jul,3704,3432,272,7.3
2011,Aug,3714,3453,261,7.0
2011,Sep,3736,3475,261,7.0
2011,Oct,3739,3497,242,6.5
2011,Nov,3727,3495,232,6.2
2011,Dec,3706,3477,229,6.2
2012,Jan,3765,3534,231,6.1
2012,Feb,3806,3585,221,5.8
2012,Mar,3785,3568,217,5.7
2012,Apr,3785,3575,210,5.5
2012,May,3794,3578,216,5.7
2012,Jun,3797,3560,237,6.2
2012,Jul,3819,3572,247,6.5
2012,Aug,3790,3563,227,6.0
2012,Sep,3824,3614,210,5.5
2012,Oct,3807,3606,201,5.3
2012,Nov,3818,3624,194,5.1
2012,Dec,3857,3644,213,5.5
2013,Jan,4005,3761,244,6.1
2013,Feb,3986,3758,228,5.7
2013,Mar,3982,3763,219,5.5
2013,Apr,3971,3759,212,5.3
2013,May,3992,3775,217,5.4
2013,Jun,4039,3802,237,5.9
2013,Jul,4037,3819,218,5.4
2013,Aug,3985,3778,207,5.2
2013,Sep,4029,3824,205,5.1
2013,Oct,3995,3797,198,5.0
2013,Nov,4037,3850,187,4.6
2013,Dec,4036,3858,178,4.4
2014,Jan,4207,4026,181,4.3
2014,Feb,4264,4084,180,4.2
2014,Mar,4259,4083,176,4.1
2014,Apr,4324,4175,149,3.4
2014,May,4350,4186,164,3.8
2014,Jun,4422,4244,178,4.0
2014,Jul,4358,4179,179,4.1
2014,Aug,4291,4124,167,3.9
2014,Sep,4359,4204,155,3.6
2014,Oct,4339,4193,146,3.4
2014,Nov,4313,4174,139,3.2
2014,Dec,4262,4139,123,2.9
2015,Jan,4229,4081,148,3.5
2015,Feb,4182,4033,149,3.6
2015,Mar,4136,3965,171,4.1
2015,Apr,4152,3981,171,4.1
2015,May,4114,3935,179,4.4
2015,Jun,4094,3900,194,4.7
2015,Jul,4086,3897,189,4.6
2015,Aug,4076,3899,177,4.3
2015,Sep,4003,3830,173,4.3
2015,Oct,4003,3827,176,4.4
2015,Nov,3948,3776,172,4.4
2015,Dec,3924,3764,160,4.1
2016,Jan,3931,3755,176,4.5
2016,Feb,3983,3786,197,4.9
2016,Mar,3884,3678,206,5.3
2016,Apr,3882,3691,191,4.9
2016,May,3850,3656,194,5.0
2016,Jun,3858,3648,210,5.4
2016,Jul,3869,3658,211,5.5
2016,Aug,3859,3656,203,5.3
2016,Sep,3826,3626,200,5.2
2016,Oct,3769,3597,172,4.6
2016,Nov,3756,3597,159,4.2
2016,Dec,3767,3610,157,4.2
2017,Jan,3803,3626,177,4.7
2017,Feb,3885,3709,176,4.5
2017,Mar,3898,3725,173,4.4
2017,Apr,4003,3846,157,3.9
2017,May,4000,3854,146,3.7
2017,Jun,3976,3823,153,3.8
2017,Jul,3946,3797,149,3.8
2017,Aug,3990,3843,147,3.7
2017,Sep,3961,3828,133,3.4
2017,Oct,3926,3806,120,3.1
2017,Nov,3975,3852,123,3.1
2017,Dec,4072,3960,112,2.8
2018,Jan,4104,3986,118,2.9
2018,Feb,4263,4153,110,2.6
2018,Mar,4316,4202,114,2.6
2018,Apr,4492,4381,111,2.5
2018,May,4569,4469,100,2.2
2018,Jun,4579,4460,119,2.6
2018,Jul,4558,4442,116,2.5
2018,Aug,4529,4413,116,2.6
2018,Sep,4423,4322,101,2.3
2018,Oct,4241,4141,100,2.4
2018,Nov,4233,4132,101,2.4
2018,Dec,4227,4130,97,2.3
2019,Jan,3441,3321,120,3.5
2019,Feb,3438,3325,113,3.3
2019,Mar,3462,3354,108,3.1
2019,Apr,3463,3373,90,2.6
2019,May,3493,3403,90,2.6
2019,Jun,3505,3396,109,3.1
2019,Jul,3534,3420,114,3.2
2019,Aug,3530,3416,114,3.2
2019,Sep,3488,3378,110,3.2
2019,Oct,3425,3307,118,3.4
2019,Nov,3435,3318,117,3.4
2019,Dec,3442,3336,106,3.1
2020,Jan,3407,3264,143,4.2
2020,Feb,3417,3271,146,4.3
2020,Mar,3360,3165,195,5.8
2020,Apr,2932,2636,296,10.1
