Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482390000000003,LAUCN482390000000004,LAUCN482390000000005,LAUCN482390000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Jackson County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,6826,6316,510,7.5
2010,Feb,6886,6385,501,7.3
2010,Mar,6998,6488,510,7.3
2010,Apr,7074,6589,485,6.9
2010,May,7065,6562,503,7.1
2010,Jun,7303,6750,553,7.6
2010,Jul,7341,6797,544,7.4
2010,Aug,7254,6741,513,7.1
2010,Sep,7231,6744,487,6.7
2010,Oct,7180,6704,476,6.6
2010,Nov,7176,6693,483,6.7
2010,Dec,7233,6774,459,6.3
2011,Jan,7085,6596,489,6.9
2011,Feb,7060,6615,445,6.3
2011,Mar,7185,6745,440,6.1
2011,Apr,7219,6774,445,6.2
2011,May,7263,6807,456,6.3
2011,Jun,7546,7007,539,7.1
2011,Jul,7497,6978,519,6.9
2011,Aug,7506,7022,484,6.4
2011,Sep,7535,7081,454,6.0
2011,Oct,7468,7048,420,5.6
2011,Nov,7422,7006,416,5.6
2011,Dec,7472,7083,389,5.2
2012,Jan,7400,6993,407,5.5
2012,Feb,7372,6965,407,5.5
2012,Mar,7448,7063,385,5.2
2012,Apr,7487,7129,358,4.8
2012,May,7527,7152,375,5.0
2012,Jun,7620,7189,431,5.7
2012,Jul,7626,7189,437,5.7
2012,Aug,7428,7032,396,5.3
2012,Sep,7377,7023,354,4.8
2012,Oct,7399,7056,343,4.6
2012,Nov,7326,6994,332,4.5
2012,Dec,7247,6904,343,4.7
2013,Jan,7193,6798,395,5.5
2013,Feb,7234,6874,360,5.0
2013,Mar,7325,6952,373,5.1
2013,Apr,7405,7067,338,4.6
2013,May,7492,7115,377,5.0
2013,Jun,7574,7139,435,5.7
2013,Jul,7672,7242,430,5.6
2013,Aug,7510,7103,407,5.4
2013,Sep,7522,7157,365,4.9
2013,Oct,7458,7114,344,4.6
2013,Nov,7452,7126,326,4.4
2013,Dec,7470,7154,316,4.2
2014,Jan,7408,7073,335,4.5
2014,Feb,7500,7176,324,4.3
2014,Mar,7597,7265,332,4.4
2014,Apr,7633,7366,267,3.5
2014,May,7709,7424,285,3.7
2014,Jun,7789,7463,326,4.2
2014,Jul,7775,7420,355,4.6
2014,Aug,7714,7387,327,4.2
2014,Sep,7815,7531,284,3.6
2014,Oct,7662,7402,260,3.4
2014,Nov,7612,7353,259,3.4
2014,Dec,7475,7236,239,3.2
2015,Jan,7411,7146,265,3.6
2015,Feb,7469,7216,253,3.4
2015,Mar,7474,7219,255,3.4
2015,Apr,7387,7141,246,3.3
2015,May,7428,7155,273,3.7
2015,Jun,7396,7095,301,4.1
2015,Jul,7365,7053,312,4.2
2015,Aug,7344,7052,292,4.0
2015,Sep,7346,7064,282,3.8
2015,Oct,7286,7008,278,3.8
2015,Nov,7241,6958,283,3.9
2015,Dec,7281,7009,272,3.7
2016,Jan,7079,6796,283,4.0
2016,Feb,7198,6894,304,4.2
2016,Mar,7245,6932,313,4.3
2016,Apr,7247,6928,319,4.4
2016,May,7359,7033,326,4.4
2016,Jun,7351,6968,383,5.2
2016,Jul,7316,6924,392,5.4
2016,Aug,7366,6985,381,5.2
2016,Sep,7291,6921,370,5.1
2016,Oct,7228,6882,346,4.8
2016,Nov,7293,6962,331,4.5
2016,Dec,7278,6954,324,4.5
2017,Jan,7256,6922,334,4.6
2017,Feb,7331,7003,328,4.5
2017,Mar,7442,7128,314,4.2
2017,Apr,7346,7082,264,3.6
2017,May,7344,7065,279,3.8
2017,Jun,7409,7087,322,4.3
2017,Jul,7429,7110,319,4.3
2017,Aug,7437,7129,308,4.1
2017,Sep,7391,7097,294,4.0
2017,Oct,7363,7109,254,3.4
2017,Nov,7341,7080,261,3.6
2017,Dec,7395,7143,252,3.4
2018,Jan,7249,6979,270,3.7
2018,Feb,7332,7075,257,3.5
2018,Mar,7403,7143,260,3.5
2018,Apr,7337,7113,224,3.1
2018,May,7413,7186,227,3.1
2018,Jun,7436,7174,262,3.5
2018,Jul,7466,7217,249,3.3
2018,Aug,7449,7210,239,3.2
2018,Sep,7379,7151,228,3.1
2018,Oct,7315,7095,220,3.0
2018,Nov,7302,7091,211,2.9
2018,Dec,7324,7104,220,3.0
2019,Jan,7401,7146,255,3.4
2019,Feb,7412,7181,231,3.1
2019,Mar,7466,7238,228,3.1
2019,Apr,7500,7302,198,2.6
2019,May,7533,7333,200,2.7
2019,Jun,7607,7362,245,3.2
2019,Jul,7698,7435,263,3.4
2019,Aug,7733,7502,231,3.0
2019,Sep,7664,7446,218,2.8
2019,Oct,7681,7464,217,2.8
2019,Nov,7652,7427,225,2.9
2019,Dec,7704,7484,220,2.9
2020,Jan,7678,7414,264,3.4
2020,Feb,7699,7455,244,3.2
2020,Mar,7614,7275,339,4.5
2020,Apr,6619,6089,530,8.0
