Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482410000000003,LAUCN482410000000004,LAUCN482410000000005,LAUCN482410000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Jasper County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,14724,12801,1923,13.1
2010,Feb,14709,12834,1875,12.7
2010,Mar,14779,12910,1869,12.6
2010,Apr,14832,13055,1777,12.0
2010,May,14858,13045,1813,12.2
2010,Jun,14948,13059,1889,12.6
2010,Jul,14944,13100,1844,12.3
2010,Aug,14886,13083,1803,12.1
2010,Sep,14850,13042,1808,12.2
2010,Oct,14798,13055,1743,11.8
2010,Nov,14832,13006,1826,12.3
2010,Dec,14928,13057,1871,12.5
2011,Jan,14743,12749,1994,13.5
2011,Feb,14712,12804,1908,13.0
2011,Mar,14925,13013,1912,12.8
2011,Apr,14870,13068,1802,12.1
2011,May,15019,13144,1875,12.5
2011,Jun,15151,13172,1979,13.1
2011,Jul,15141,13196,1945,12.8
2011,Aug,15190,13273,1917,12.6
2011,Sep,15085,13237,1848,12.3
2011,Oct,15211,13473,1738,11.4
2011,Nov,15201,13507,1694,11.1
2011,Dec,15181,13528,1653,10.9
2012,Jan,14973,13287,1686,11.3
2012,Feb,14972,13317,1655,11.1
2012,Mar,14902,13334,1568,10.5
2012,Apr,14885,13390,1495,10.0
2012,May,14984,13417,1567,10.5
2012,Jun,15147,13418,1729,11.4
2012,Jul,15052,13364,1688,11.2
2012,Aug,14919,13300,1619,10.9
2012,Sep,14952,13436,1516,10.1
2012,Oct,14836,13340,1496,10.1
2012,Nov,14672,13203,1469,10.0
2012,Dec,14705,13142,1563,10.6
2013,Jan,14713,12995,1718,11.7
2013,Feb,14586,13040,1546,10.6
2013,Mar,14520,12990,1530,10.5
2013,Apr,14467,12994,1473,10.2
2013,May,14601,13063,1538,10.5
2013,Jun,14689,13034,1655,11.3
2013,Jul,14524,12905,1619,11.1
2013,Aug,14355,12844,1511,10.5
2013,Sep,14442,12966,1476,10.2
2013,Oct,14391,12958,1433,10.0
2013,Nov,14429,13043,1386,9.6
2013,Dec,14539,13194,1345,9.3
2014,Jan,14391,13031,1360,9.5
2014,Feb,14482,13173,1309,9.0
2014,Mar,14709,13415,1294,8.8
2014,Apr,14420,13328,1092,7.6
2014,May,14496,13345,1151,7.9
2014,Jun,14587,13389,1198,8.2
2014,Jul,14502,13225,1277,8.8
2014,Aug,14462,13214,1248,8.6
2014,Sep,14464,13339,1125,7.8
2014,Oct,14343,13309,1034,7.2
2014,Nov,14394,13337,1057,7.3
2014,Dec,14291,13302,989,6.9
2015,Jan,14164,13045,1119,7.9
2015,Feb,14154,13133,1021,7.2
2015,Mar,14248,13247,1001,7.0
2015,Apr,14003,13065,938,6.7
2015,May,14100,13119,981,7.0
2015,Jun,14193,13109,1084,7.6
2015,Jul,13745,12654,1091,7.9
2015,Aug,13635,12568,1067,7.8
2015,Sep,13697,12695,1002,7.3
2015,Oct,13551,12518,1033,7.6
2015,Nov,13529,12492,1037,7.7
2015,Dec,13528,12479,1049,7.8
2016,Jan,13317,12307,1010,7.6
2016,Feb,13446,12453,993,7.4
2016,Mar,13567,12558,1009,7.4
2016,Apr,13330,12383,947,7.1
2016,May,13398,12480,918,6.9
2016,Jun,13537,12468,1069,7.9
2016,Jul,13436,12336,1100,8.2
2016,Aug,13534,12409,1125,8.3
2016,Sep,13586,12505,1081,8.0
2016,Oct,13352,12383,969,7.3
2016,Nov,13504,12478,1026,7.6
2016,Dec,13504,12383,1121,8.3
2017,Jan,13480,12279,1201,8.9
2017,Feb,13584,12461,1123,8.3
2017,Mar,13680,12639,1041,7.6
2017,Apr,13398,12441,957,7.1
2017,May,13421,12479,942,7.0
2017,Jun,13521,12514,1007,7.4
2017,Jul,13356,12335,1021,7.6
2017,Aug,13376,12347,1029,7.7
2017,Sep,13301,12353,948,7.1
2017,Oct,13293,12426,867,6.5
2017,Nov,13448,12521,927,6.9
2017,Dec,13522,12562,960,7.1
2018,Jan,13306,12278,1028,7.7
2018,Feb,13364,12419,945,7.1
2018,Mar,13508,12612,896,6.6
2018,Apr,13404,12574,830,6.2
2018,May,13422,12628,794,5.9
2018,Jun,13445,12550,895,6.7
2018,Jul,13218,12326,892,6.7
2018,Aug,13147,12275,872,6.6
2018,Sep,13139,12365,774,5.9
2018,Oct,12923,12173,750,5.8
2018,Nov,12973,12216,757,5.8
2018,Dec,12938,12091,847,6.5
2019,Jan,13006,12074,932,7.2
2019,Feb,12968,12158,810,6.2
2019,Mar,12971,12198,773,6.0
2019,Apr,12796,12132,664,5.2
2019,May,12782,12104,678,5.3
2019,Jun,12853,12042,811,6.3
2019,Jul,12845,11982,863,6.7
2019,Aug,12842,12007,835,6.5
2019,Sep,12841,12094,747,5.8
2019,Oct,12789,12085,704,5.5
2019,Nov,12845,12069,776,6.0
2019,Dec,12891,12049,842,6.5
2020,Jan,12840,11910,930,7.2
2020,Feb,12853,11995,858,6.7
2020,Mar,12932,11708,1224,9.5
2020,Apr,11906,9845,2061,17.3
