Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482430000000003,LAUCN482430000000004,LAUCN482430000000005,LAUCN482430000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Jeff Davis County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1208,1142,66,5.5
2010,Feb,1226,1163,63,5.1
2010,Mar,1265,1204,61,4.8
2010,Apr,1297,1227,70,5.4
2010,May,1270,1209,61,4.8
2010,Jun,1361,1290,71,5.2
2010,Jul,1357,1287,70,5.2
2010,Aug,1301,1237,64,4.9
2010,Sep,1277,1218,59,4.6
2010,Oct,1247,1193,54,4.3
2010,Nov,1234,1175,59,4.8
2010,Dec,1227,1169,58,4.7
2011,Jan,1191,1126,65,5.5
2011,Feb,1192,1126,66,5.5
2011,Mar,1246,1187,59,4.7
2011,Apr,1239,1182,57,4.6
2011,May,1247,1188,59,4.7
2011,Jun,1322,1259,63,4.8
2011,Jul,1302,1233,69,5.3
2011,Aug,1289,1228,61,4.7
2011,Sep,1266,1205,61,4.8
2011,Oct,1227,1172,55,4.5
2011,Nov,1256,1191,65,5.2
2011,Dec,1234,1171,63,5.1
2012,Jan,1177,1107,70,5.9
2012,Feb,1150,1084,66,5.7
2012,Mar,1206,1145,61,5.1
2012,Apr,1230,1174,56,4.6
2012,May,1225,1167,58,4.7
2012,Jun,1274,1209,65,5.1
2012,Jul,1261,1197,64,5.1
2012,Aug,1220,1163,57,4.7
2012,Sep,1221,1164,57,4.7
2012,Oct,1223,1171,52,4.3
2012,Nov,1214,1162,52,4.3
2012,Dec,1181,1129,52,4.4
2013,Jan,1115,1060,55,4.9
2013,Feb,1109,1062,47,4.2
2013,Mar,1131,1081,50,4.4
2013,Apr,1157,1114,43,3.7
2013,May,1170,1126,44,3.8
2013,Jun,1212,1161,51,4.2
2013,Jul,1239,1186,53,4.3
2013,Aug,1171,1124,47,4.0
2013,Sep,1161,1115,46,4.0
2013,Oct,1160,1115,45,3.9
2013,Nov,1143,1093,50,4.4
2013,Dec,1175,1128,47,4.0
2014,Jan,1123,1074,49,4.4
2014,Feb,1153,1105,48,4.2
2014,Mar,1200,1152,48,4.0
2014,Apr,1175,1140,35,3.0
2014,May,1188,1147,41,3.5
2014,Jun,1197,1156,41,3.4
2014,Jul,1201,1158,43,3.6
2014,Aug,1133,1092,41,3.6
2014,Sep,1147,1109,38,3.3
2014,Oct,1122,1083,39,3.5
2014,Nov,1088,1050,38,3.5
2014,Dec,1059,1024,35,3.3
2015,Jan,1029,985,44,4.3
2015,Feb,1071,1033,38,3.5
2015,Mar,1119,1081,38,3.4
2015,Apr,1089,1059,30,2.8
2015,May,1119,1085,34,3.0
2015,Jun,1133,1099,34,3.0
2015,Jul,1119,1083,36,3.2
2015,Aug,1050,1019,31,3.0
2015,Sep,1074,1042,32,3.0
2015,Oct,1075,1041,34,3.2
2015,Nov,1042,1007,35,3.4
2015,Dec,1037,1003,34,3.3
2016,Jan,997,964,33,3.3
2016,Feb,1072,1040,32,3.0
2016,Mar,1134,1099,35,3.1
2016,Apr,1114,1087,27,2.4
2016,May,1135,1108,27,2.4
2016,Jun,1116,1086,30,2.7
2016,Jul,1089,1052,37,3.4
2016,Aug,1077,1046,31,2.9
2016,Sep,1051,1019,32,3.0
2016,Oct,1049,1017,32,3.1
2016,Nov,1022,991,31,3.0
2016,Dec,1015,985,30,3.0
2017,Jan,1020,986,34,3.3
2017,Feb,1059,1020,39,3.7
2017,Mar,1111,1076,35,3.2
2017,Apr,1098,1066,32,2.9
2017,May,1108,1072,36,3.2
2017,Jun,1113,1079,34,3.1
2017,Jul,1060,1026,34,3.2
2017,Aug,1059,1023,36,3.4
2017,Sep,1039,1006,33,3.2
2017,Oct,1065,1036,29,2.7
2017,Nov,1028,997,31,3.0
2017,Dec,1034,1005,29,2.8
2018,Jan,1024,994,30,2.9
2018,Feb,1048,1016,32,3.1
2018,Mar,1102,1071,31,2.8
2018,Apr,1073,1045,28,2.6
2018,May,1103,1074,29,2.6
2018,Jun,1113,1080,33,3.0
2018,Jul,1094,1063,31,2.8
2018,Aug,1098,1066,32,2.9
2018,Sep,1079,1049,30,2.8
2018,Oct,1042,1012,30,2.9
2018,Nov,1036,1003,33,3.2
2018,Dec,1007,978,29,2.9
2019,Jan,1023,982,41,4.0
2019,Feb,1028,998,30,2.9
2019,Mar,1087,1056,31,2.9
2019,Apr,1057,1033,24,2.3
2019,May,1066,1042,24,2.3
2019,Jun,1062,1034,28,2.6
2019,Jul,1080,1047,33,3.1
2019,Aug,1071,1037,34,3.2
2019,Sep,1017,986,31,3.0
2019,Oct,1023,995,28,2.7
2019,Nov,985,954,31,3.1
2019,Dec,991,961,30,3.0
2020,Jan,982,950,32,3.3
2020,Feb,1002,970,32,3.2
2020,Mar,1018,972,46,4.5
2020,Apr,872,800,72,8.3
