Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482450000000003,LAUCN482450000000004,LAUCN482450000000005,LAUCN482450000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Jefferson County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,111806,98899,12907,11.5
2010,Feb,112149,99462,12687,11.3
2010,Mar,112768,99811,12957,11.5
2010,Apr,112787,100415,12372,11.0
2010,May,112997,100486,12511,11.1
2010,Jun,113320,100150,13170,11.6
2010,Jul,113838,100775,13063,11.5
2010,Aug,113233,100363,12870,11.4
2010,Sep,113364,100669,12695,11.2
2010,Oct,113868,101463,12405,10.9
2010,Nov,114184,100937,13247,11.6
2010,Dec,114289,101018,13271,11.6
2011,Jan,114234,100298,13936,12.2
2011,Feb,114386,101058,13328,11.7
2011,Mar,115044,101852,13192,11.5
2011,Apr,114572,101755,12817,11.2
2011,May,115161,102067,13094,11.4
2011,Jun,116169,102152,14017,12.1
2011,Jul,116206,102496,13710,11.8
2011,Aug,115767,102182,13585,11.7
2011,Sep,116604,103346,13258,11.4
2011,Oct,116060,103513,12547,10.8
2011,Nov,115939,103655,12284,10.6
2011,Dec,115410,103285,12125,10.5
2012,Jan,114470,101968,12502,10.9
2012,Feb,114640,102415,12225,10.7
2012,Mar,114287,102344,11943,10.5
2012,Apr,114505,102856,11649,10.2
2012,May,114618,102232,12386,10.8
2012,Jun,115107,101164,13943,12.1
2012,Jul,113863,99984,13879,12.2
2012,Aug,112355,99193,13162,11.7
2012,Sep,112546,100245,12301,10.9
2012,Oct,112986,100801,12185,10.8
2012,Nov,111668,99901,11767,10.5
2012,Dec,112286,99558,12728,11.3
2013,Jan,112723,98919,13804,12.2
2013,Feb,112682,100178,12504,11.1
2013,Mar,112139,100094,12045,10.7
2013,Apr,111884,100018,11866,10.6
2013,May,112118,100073,12045,10.7
2013,Jun,112224,99240,12984,11.6
2013,Jul,110616,98053,12563,11.4
2013,Aug,109903,97645,12258,11.2
2013,Sep,110183,98487,11696,10.6
2013,Oct,110217,98673,11544,10.5
2013,Nov,110445,99297,11148,10.1
2013,Dec,110037,99369,10668,9.7
2014,Jan,109960,98939,11021,10.0
2014,Feb,110337,99789,10548,9.6
2014,Mar,110336,100252,10084,9.1
2014,Apr,110005,101305,8700,7.9
2014,May,110499,101803,8696,7.9
2014,Jun,110196,101105,9091,8.2
2014,Jul,110442,100754,9688,8.8
2014,Aug,110197,100553,9644,8.8
2014,Sep,110157,101531,8626,7.8
2014,Oct,110732,102930,7802,7.0
2014,Nov,110467,102477,7990,7.2
2014,Dec,109828,102178,7650,7.0
2015,Jan,109426,101050,8376,7.7
2015,Feb,109287,101904,7383,6.8
2015,Mar,108531,101282,7249,6.7
2015,Apr,107821,100923,6898,6.4
2015,May,108630,101380,7250,6.7
2015,Jun,108249,100680,7569,7.0
2015,Jul,107666,99756,7910,7.3
2015,Aug,106982,99310,7672,7.2
2015,Sep,107313,99901,7412,6.9
2015,Oct,107239,99800,7439,6.9
2015,Nov,107146,99562,7584,7.1
2015,Dec,107412,100054,7358,6.9
2016,Jan,108023,100532,7491,6.9
2016,Feb,108303,101220,7083,6.5
2016,Mar,107944,100863,7081,6.6
2016,Apr,107311,100559,6752,6.3
2016,May,106432,99769,6663,6.3
2016,Jun,107306,99599,7707,7.2
2016,Jul,107101,98936,8165,7.6
2016,Aug,106808,98656,8152,7.6
2016,Sep,107884,99854,8030,7.4
2016,Oct,107645,100331,7314,6.8
2016,Nov,107307,99766,7541,7.0
2016,Dec,107332,99093,8239,7.7
2017,Jan,108345,99153,9192,8.5
2017,Feb,108925,100476,8449,7.8
2017,Mar,108703,100760,7943,7.3
2017,Apr,108145,100623,7522,7.0
2017,May,107244,100102,7142,6.7
2017,Jun,107451,99824,7627,7.1
2017,Jul,107314,99713,7601,7.1
2017,Aug,106193,98418,7775,7.3
2017,Sep,108001,98675,9326,8.6
2017,Oct,106957,99512,7445,7.0
2017,Nov,107130,99645,7485,7.0
2017,Dec,106862,99198,7664,7.2
2018,Jan,108047,99710,8337,7.7
2018,Feb,108773,101113,7660,7.0
2018,Mar,107653,100453,7200,6.7
2018,Apr,107277,100668,6609,6.2
2018,May,107024,100823,6201,5.8
2018,Jun,107557,100560,6997,6.5
2018,Jul,106928,99929,6999,6.5
2018,Aug,106246,99369,6877,6.5
2018,Sep,106833,100494,6339,5.9
2018,Oct,106471,100752,5719,5.4
2018,Nov,106829,101046,5783,5.4
2018,Dec,106711,100261,6450,6.0
2019,Jan,107454,100216,7238,6.7
2019,Feb,107741,101362,6379,5.9
2019,Mar,107191,101296,5895,5.5
2019,Apr,106273,101151,5122,4.8
2019,May,106124,100688,5436,5.1
2019,Jun,106609,100036,6573,6.2
2019,Jul,106477,99433,7044,6.6
2019,Aug,106426,99534,6892,6.5
2019,Sep,107197,101003,6194,5.8
2019,Oct,107441,101653,5788,5.4
2019,Nov,107505,101593,5912,5.5
2019,Dec,107105,100882,6223,5.8
2020,Jan,107782,100867,6915,6.4
2020,Feb,107841,101556,6285,5.8
2020,Mar,106763,97534,9229,8.6
2020,Apr,100715,81681,19034,18.9
