Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482470000000003,LAUCN482470000000004,LAUCN482470000000005,LAUCN482470000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Jim Hogg County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2309,2052,257,11.1
2010,Feb,2292,2042,250,10.9
2010,Mar,2293,2037,256,11.2
2010,Apr,2308,2070,238,10.3
2010,May,2308,2064,244,10.6
2010,Jun,2303,2052,251,10.9
2010,Jul,2329,2079,250,10.7
2010,Aug,2324,2087,237,10.2
2010,Sep,2344,2114,230,9.8
2010,Oct,2339,2123,216,9.2
2010,Nov,2394,2168,226,9.4
2010,Dec,2402,2182,220,9.2
2011,Jan,2372,2144,228,9.6
2011,Feb,2348,2132,216,9.2
2011,Mar,2326,2115,211,9.1
2011,Apr,2314,2113,201,8.7
2011,May,2299,2093,206,9.0
2011,Jun,2303,2082,221,9.6
2011,Jul,2318,2103,215,9.3
2011,Aug,2310,2102,208,9.0
2011,Sep,2330,2134,196,8.4
2011,Oct,2351,2172,179,7.6
2011,Nov,2362,2190,172,7.3
2011,Dec,2325,2165,160,6.9
2012,Jan,2332,2171,161,6.9
2012,Feb,2348,2181,167,7.1
2012,Mar,2314,2159,155,6.7
2012,Apr,2335,2187,148,6.3
2012,May,2335,2184,151,6.5
2012,Jun,2340,2176,164,7.0
2012,Jul,2382,2219,163,6.8
2012,Aug,2369,2212,157,6.6
2012,Sep,2403,2259,144,6.0
2012,Oct,2380,2235,145,6.1
2012,Nov,2323,2175,148,6.4
2012,Dec,2341,2189,152,6.5
2013,Jan,2380,2202,178,7.5
2013,Feb,2377,2219,158,6.6
2013,Mar,2338,2180,158,6.8
2013,Apr,2315,2167,148,6.4
2013,May,2296,2139,157,6.8
2013,Jun,2311,2126,185,8.0
2013,Jul,2355,2177,178,7.6
2013,Aug,2304,2128,176,7.6
2013,Sep,2304,2132,172,7.5
2013,Oct,2306,2138,168,7.3
2013,Nov,2314,2159,155,6.7
2013,Dec,2304,2159,145,6.3
2014,Jan,2255,2099,156,6.9
2014,Feb,2269,2114,155,6.8
2014,Mar,2225,2072,153,6.9
2014,Apr,2257,2133,124,5.5
2014,May,2266,2132,134,5.9
2014,Jun,2249,2110,139,6.2
2014,Jul,2275,2132,143,6.3
2014,Aug,2200,2061,139,6.3
2014,Sep,2212,2090,122,5.5
2014,Oct,2113,1996,117,5.5
2014,Nov,2079,1961,118,5.7
2014,Dec,2013,1913,100,5.0
2015,Jan,2033,1919,114,5.6
2015,Feb,2022,1901,121,6.0
2015,Mar,2036,1907,129,6.3
2015,Apr,2042,1907,135,6.6
2015,May,2056,1902,154,7.5
2015,Jun,2047,1876,171,8.4
2015,Jul,2068,1900,168,8.1
2015,Aug,2049,1891,158,7.7
2015,Sep,2044,1903,141,6.9
2015,Oct,1975,1829,146,7.4
2015,Nov,1985,1829,156,7.9
2015,Dec,1977,1820,157,7.9
2016,Jan,1948,1788,160,8.2
2016,Feb,1979,1808,171,8.6
2016,Mar,1987,1800,187,9.4
2016,Apr,1983,1794,189,9.5
2016,May,1928,1754,174,9.0
2016,Jun,1929,1734,195,10.1
2016,Jul,1933,1730,203,10.5
2016,Aug,1921,1726,195,10.2
2016,Sep,1956,1753,203,10.4
2016,Oct,1919,1736,183,9.5
2016,Nov,1901,1724,177,9.3
2016,Dec,1933,1745,188,9.7
2017,Jan,1917,1724,193,10.1
2017,Feb,1924,1750,174,9.0
2017,Mar,1915,1763,152,7.9
2017,Apr,1908,1770,138,7.2
2017,May,1889,1753,136,7.2
2017,Jun,1922,1780,142,7.4
2017,Jul,1888,1748,140,7.4
2017,Aug,1878,1739,139,7.4
2017,Sep,1923,1805,118,6.1
2017,Oct,1901,1790,111,5.8
2017,Nov,1894,1779,115,6.1
2017,Dec,1910,1800,110,5.8
2018,Jan,1853,1736,117,6.3
2018,Feb,1881,1769,112,6.0
2018,Mar,1868,1761,107,5.7
2018,Apr,1883,1786,97,5.2
2018,May,1867,1771,96,5.1
2018,Jun,1867,1755,112,6.0
2018,Jul,1866,1753,113,6.1
2018,Aug,1867,1753,114,6.1
2018,Sep,1884,1779,105,5.6
2018,Oct,1877,1772,105,5.6
2018,Nov,1904,1810,94,4.9
2018,Dec,1924,1821,103,5.4
2019,Jan,1926,1813,113,5.9
2019,Feb,1917,1813,104,5.4
2019,Mar,1911,1814,97,5.1
2019,Apr,1911,1831,80,4.2
2019,May,1883,1805,78,4.1
2019,Jun,1855,1761,94,5.1
2019,Jul,1857,1764,93,5.0
2019,Aug,1854,1763,91,4.9
2019,Sep,1882,1801,81,4.3
2019,Oct,1864,1782,82,4.4
2019,Nov,1870,1785,85,4.5
2019,Dec,1874,1791,83,4.4
2020,Jan,1859,1766,93,5.0
2020,Feb,1867,1780,87,4.7
2020,Mar,1838,1721,117,6.4
2020,Apr,1592,1396,196,12.3
