Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482490000000003,LAUCN482490000000004,LAUCN482490000000005,LAUCN482490000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Jim Wells County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,17836,15766,2070,11.6
2010,Feb,17808,15839,1969,11.1
2010,Mar,17882,15993,1889,10.6
2010,Apr,17986,16180,1806,10.0
2010,May,18057,16275,1782,9.9
2010,Jun,18289,16371,1918,10.5
2010,Jul,18405,16500,1905,10.4
2010,Aug,18402,16551,1851,10.1
2010,Sep,18585,16831,1754,9.4
2010,Oct,18565,16922,1643,8.8
2010,Nov,18609,16942,1667,9.0
2010,Dec,18669,17078,1591,8.5
2011,Jan,18953,17303,1650,8.7
2011,Feb,18976,17372,1604,8.5
2011,Mar,19085,17519,1566,8.2
2011,Apr,19272,17760,1512,7.8
2011,May,19517,17969,1548,7.9
2011,Jun,19789,18047,1742,8.8
2011,Jul,19871,18176,1695,8.5
2011,Aug,19971,18337,1634,8.2
2011,Sep,20226,18661,1565,7.7
2011,Oct,20428,18945,1483,7.3
2011,Nov,20448,19070,1378,6.7
2011,Dec,20601,19249,1352,6.6
2012,Jan,20550,19172,1378,6.7
2012,Feb,20628,19285,1343,6.5
2012,Mar,20732,19474,1258,6.1
2012,Apr,20796,19601,1195,5.7
2012,May,20916,19665,1251,6.0
2012,Jun,21040,19620,1420,6.7
2012,Jul,20807,19395,1412,6.8
2012,Aug,20569,19254,1315,6.4
2012,Sep,20527,19338,1189,5.8
2012,Oct,20529,19347,1182,5.8
2012,Nov,20358,19204,1154,5.7
2012,Dec,20371,19183,1188,5.8
2013,Jan,20301,18986,1315,6.5
2013,Feb,20254,19007,1247,6.2
2013,Mar,20156,18960,1196,5.9
2013,Apr,20135,19007,1128,5.6
2013,May,20196,18973,1223,6.1
2013,Jun,20414,19024,1390,6.8
2013,Jul,20345,18969,1376,6.8
2013,Aug,20149,18853,1296,6.4
2013,Sep,20086,18844,1242,6.2
2013,Oct,19895,18709,1186,6.0
2013,Nov,19883,18745,1138,5.7
2013,Dec,19904,18831,1073,5.4
2014,Jan,20051,18919,1132,5.6
2014,Feb,20096,18939,1157,5.8
2014,Mar,20073,18950,1123,5.6
2014,Apr,19990,19015,975,4.9
2014,May,20080,19017,1063,5.3
2014,Jun,20219,19066,1153,5.7
2014,Jul,20265,19069,1196,5.9
2014,Aug,20045,18945,1100,5.5
2014,Sep,20180,19192,988,4.9
2014,Oct,20281,19331,950,4.7
2014,Nov,20213,19286,927,4.6
2014,Dec,20048,19210,838,4.2
2015,Jan,19938,18937,1001,5.0
2015,Feb,19860,18775,1085,5.5
2015,Mar,19710,18501,1209,6.1
2015,Apr,19487,18130,1357,7.0
2015,May,19571,18038,1533,7.8
2015,Jun,19473,17779,1694,8.7
2015,Jul,19076,17340,1736,9.1
2015,Aug,18921,17167,1754,9.3
2015,Sep,18802,17085,1717,9.1
2015,Oct,18689,16993,1696,9.1
2015,Nov,18628,16889,1739,9.3
2015,Dec,18496,16835,1661,9.0
2016,Jan,18008,16346,1662,9.2
2016,Feb,18048,16367,1681,9.3
2016,Mar,18197,16292,1905,10.5
2016,Apr,17591,15712,1879,10.7
2016,May,17392,15535,1857,10.7
2016,Jun,17435,15354,2081,11.9
2016,Jul,17237,15172,2065,12.0
2016,Aug,17121,15130,1991,11.6
2016,Sep,17137,15227,1910,11.1
2016,Oct,17172,15441,1731,10.1
2016,Nov,17148,15485,1663,9.7
2016,Dec,16944,15312,1632,9.6
2017,Jan,16860,15151,1709,10.1
2017,Feb,16935,15352,1583,9.3
2017,Mar,16981,15553,1428,8.4
2017,Apr,16852,15528,1324,7.9
2017,May,16802,15586,1216,7.2
2017,Jun,16981,15703,1278,7.5
2017,Jul,16550,15310,1240,7.5
2017,Aug,16406,15165,1241,7.6
2017,Sep,16494,15408,1086,6.6
2017,Oct,16289,15288,1001,6.1
2017,Nov,16203,15175,1028,6.3
2017,Dec,16492,15478,1014,6.1
2018,Jan,16814,15730,1084,6.4
2018,Feb,17004,15950,1054,6.2
2018,Mar,17108,16113,995,5.8
2018,Apr,17113,16206,907,5.3
2018,May,17064,16196,868,5.1
2018,Jun,17127,16120,1007,5.9
2018,Jul,17060,16091,969,5.7
2018,Aug,16925,16028,897,5.3
2018,Sep,17014,16182,832,4.9
2018,Oct,16867,16087,780,4.6
2018,Nov,16887,16098,789,4.7
2018,Dec,16847,16047,800,4.7
2019,Jan,17063,16195,868,5.1
2019,Feb,17105,16289,816,4.8
2019,Mar,17006,16214,792,4.7
2019,Apr,16993,16327,666,3.9
2019,May,16902,16213,689,4.1
2019,Jun,16974,16132,842,5.0
2019,Jul,16818,15954,864,5.1
2019,Aug,16715,15888,827,4.9
2019,Sep,16671,15936,735,4.4
2019,Oct,16648,15868,780,4.7
2019,Nov,16678,15836,842,5.0
2019,Dec,16647,15798,849,5.1
2020,Jan,16834,15899,935,5.6
2020,Feb,16871,15987,884,5.2
2020,Mar,16797,15458,1339,8.0
2020,Apr,15703,13087,2616,16.7
