Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482510000000003,LAUCN482510000000004,LAUCN482510000000005,LAUCN482510000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Johnson County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,70946,64286,6660,9.4
2010,Feb,71089,64578,6511,9.2
2010,Mar,71490,65063,6427,9.0
2010,Apr,72016,65915,6101,8.5
2010,May,71904,65788,6116,8.5
2010,Jun,72233,65693,6540,9.1
2010,Jul,72306,65793,6513,9.0
2010,Aug,72142,65904,6238,8.6
2010,Sep,72181,66171,6010,8.3
2010,Oct,72201,66363,5838,8.1
2010,Nov,72378,66320,6058,8.4
2010,Dec,72394,66561,5833,8.1
2011,Jan,71580,65537,6043,8.4
2011,Feb,71731,65856,5875,8.2
2011,Mar,72092,66369,5723,7.9
2011,Apr,72328,66835,5493,7.6
2011,May,72659,67042,5617,7.7
2011,Jun,73288,67032,6256,8.5
2011,Jul,73200,67158,6042,8.3
2011,Aug,73143,67356,5787,7.9
2011,Sep,73347,67682,5665,7.7
2011,Oct,73232,67902,5330,7.3
2011,Nov,73275,68195,5080,6.9
2011,Dec,73269,68300,4969,6.8
2012,Jan,72259,67060,5199,7.2
2012,Feb,72596,67481,5115,7.0
2012,Mar,72812,67796,5016,6.9
2012,Apr,72590,68029,4561,6.3
2012,May,73062,68275,4787,6.6
2012,Jun,73732,68342,5390,7.3
2012,Jul,73584,68214,5370,7.3
2012,Aug,73183,68157,5026,6.9
2012,Sep,73368,68783,4585,6.2
2012,Oct,73592,69084,4508,6.1
2012,Nov,73497,69131,4366,5.9
2012,Dec,73720,69309,4411,6.0
2013,Jan,73080,67992,5088,7.0
2013,Feb,73021,68356,4665,6.4
2013,Mar,73100,68531,4569,6.3
2013,Apr,73339,69086,4253,5.8
2013,May,73932,69434,4498,6.1
2013,Jun,74400,69324,5076,6.8
2013,Jul,74230,69356,4874,6.6
2013,Aug,73893,69354,4539,6.1
2013,Sep,74106,69728,4378,5.9
2013,Oct,73506,69182,4324,5.9
2013,Nov,73843,69815,4028,5.5
2013,Dec,73814,70000,3814,5.2
2014,Jan,73626,69535,4091,5.6
2014,Feb,74036,69949,4087,5.5
2014,Mar,74450,70371,4079,5.5
2014,Apr,74134,70706,3428,4.6
2014,May,74601,70823,3778,5.1
2014,Jun,74968,70867,4101,5.5
2014,Jul,74934,70716,4218,5.6
2014,Aug,74613,70626,3987,5.3
2014,Sep,74506,70903,3603,4.8
2014,Oct,74590,71215,3375,4.5
2014,Nov,74591,71311,3280,4.4
2014,Dec,74401,71430,2971,4.0
2015,Jan,73767,70455,3312,4.5
2015,Feb,73817,70651,3166,4.3
2015,Mar,73750,70558,3192,4.3
2015,Apr,74000,71057,2943,4.0
2015,May,74451,71257,3194,4.3
2015,Jun,74463,70978,3485,4.7
2015,Jul,74536,70936,3600,4.8
2015,Aug,74331,70969,3362,4.5
2015,Sep,74270,70997,3273,4.4
2015,Oct,74513,71231,3282,4.4
2015,Nov,74774,71552,3222,4.3
2015,Dec,74923,71887,3036,4.1
2016,Jan,74760,71546,3214,4.3
2016,Feb,75379,72163,3216,4.3
2016,Mar,75582,72335,3247,4.3
2016,Apr,75649,72590,3059,4.0
2016,May,75702,72664,3038,4.0
2016,Jun,76105,72508,3597,4.7
2016,Jul,76412,72733,3679,4.8
2016,Aug,76257,72712,3545,4.6
2016,Sep,76557,73090,3467,4.5
2016,Oct,76322,73041,3281,4.3
2016,Nov,76763,73576,3187,4.2
2016,Dec,76611,73479,3132,4.1
2017,Jan,77052,73656,3396,4.4
2017,Feb,77476,74082,3394,4.4
2017,Mar,77720,74460,3260,4.2
2017,Apr,77586,74820,2766,3.6
2017,May,77469,74644,2825,3.6
2017,Jun,77939,74810,3129,4.0
2017,Jul,78439,75264,3175,4.0
2017,Aug,78314,75219,3095,4.0
2017,Sep,78828,76118,2710,3.4
2017,Oct,78418,75906,2512,3.2
2017,Nov,79002,76344,2658,3.4
2017,Dec,78809,76210,2599,3.3
2018,Jan,79375,76453,2922,3.7
2018,Feb,80156,77270,2886,3.6
2018,Mar,80048,77214,2834,3.5
2018,Apr,80016,77503,2513,3.1
2018,May,80126,77620,2506,3.1
2018,Jun,80631,77589,3042,3.8
2018,Jul,80816,77822,2994,3.7
2018,Aug,80227,77379,2848,3.5
2018,Sep,80681,78045,2636,3.3
2018,Oct,80955,78394,2561,3.2
2018,Nov,81237,78676,2561,3.2
2018,Dec,81322,78692,2630,3.2
2019,Jan,81439,78302,3137,3.9
2019,Feb,81586,78910,2676,3.3
2019,Mar,81657,78963,2694,3.3
2019,Apr,81143,78969,2174,2.7
2019,May,81294,79038,2256,2.8
2019,Jun,81925,79106,2819,3.4
2019,Jul,82360,79449,2911,3.5
2019,Aug,82196,79383,2813,3.4
2019,Sep,82758,80164,2594,3.1
2019,Oct,82930,80343,2587,3.1
2019,Nov,83581,80974,2607,3.1
2019,Dec,83241,80778,2463,3.0
2020,Jan,83206,80399,2807,3.4
2020,Feb,83714,80978,2736,3.3
2020,Mar,81681,77832,3849,4.7
2020,Apr,74413,65652,8761,11.8
