Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482530000000003,LAUCN482530000000004,LAUCN482530000000005,LAUCN482530000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Jones County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,6047,5486,561,9.3
2010,Feb,6082,5523,559,9.2
2010,Mar,6152,5586,566,9.2
2010,Apr,6217,5683,534,8.6
2010,May,6180,5643,537,8.7
2010,Jun,6232,5659,573,9.2
2010,Jul,6225,5649,576,9.3
2010,Aug,6161,5607,554,9.0
2010,Sep,6175,5651,524,8.5
2010,Oct,6162,5667,495,8.0
2010,Nov,6160,5646,514,8.3
2010,Dec,6132,5646,486,7.9
2011,Jan,6072,5561,511,8.4
2011,Feb,6023,5527,496,8.2
2011,Mar,6130,5620,510,8.3
2011,Apr,6122,5642,480,7.8
2011,May,6120,5623,497,8.1
2011,Jun,6182,5631,551,8.9
2011,Jul,6163,5626,537,8.7
2011,Aug,6158,5631,527,8.6
2011,Sep,6193,5653,540,8.7
2011,Oct,6162,5664,498,8.1
2011,Nov,6167,5695,472,7.7
2011,Dec,6166,5691,475,7.7
2012,Jan,5906,5435,471,8.0
2012,Feb,5903,5445,458,7.8
2012,Mar,5934,5483,451,7.6
2012,Apr,5924,5502,422,7.1
2012,May,5912,5482,430,7.3
2012,Jun,5946,5474,472,7.9
2012,Jul,5955,5488,467,7.8
2012,Aug,5866,5437,429,7.3
2012,Sep,5897,5508,389,6.6
2012,Oct,5911,5531,380,6.4
2012,Nov,5869,5508,361,6.2
2012,Dec,5839,5465,374,6.4
2013,Jan,5789,5367,422,7.3
2013,Feb,5789,5396,393,6.8
2013,Mar,5759,5378,381,6.6
2013,Apr,5846,5484,362,6.2
2013,May,5897,5501,396,6.7
2013,Jun,5929,5483,446,7.5
2013,Jul,5916,5485,431,7.3
2013,Aug,5821,5410,411,7.1
2013,Sep,5874,5480,394,6.7
2013,Oct,5880,5500,380,6.5
2013,Nov,5853,5491,362,6.2
2013,Dec,5836,5494,342,5.9
2014,Jan,5794,5440,354,6.1
2014,Feb,5837,5495,342,5.9
2014,Mar,5848,5499,349,6.0
2014,Apr,5873,5575,298,5.1
2014,May,5905,5577,328,5.6
2014,Jun,5875,5537,338,5.8
2014,Jul,5859,5506,353,6.0
2014,Aug,5779,5435,344,6.0
2014,Sep,5785,5480,305,5.3
2014,Oct,5781,5486,295,5.1
2014,Nov,5741,5458,283,4.9
2014,Dec,5669,5421,248,4.4
2015,Jan,5634,5343,291,5.2
2015,Feb,5689,5400,289,5.1
2015,Mar,5714,5410,304,5.3
2015,Apr,5719,5430,289,5.1
2015,May,5771,5442,329,5.7
2015,Jun,5732,5395,337,5.9
2015,Jul,5673,5330,343,6.0
2015,Aug,5598,5284,314,5.6
2015,Sep,5647,5322,325,5.8
2015,Oct,5646,5324,322,5.7
2015,Nov,5627,5312,315,5.6
2015,Dec,5585,5308,277,5.0
2016,Jan,5542,5238,304,5.5
2016,Feb,5659,5361,298,5.3
2016,Mar,5708,5374,334,5.9
2016,Apr,5640,5351,289,5.1
2016,May,5656,5357,299,5.3
2016,Jun,5641,5301,340,6.0
2016,Jul,5590,5240,350,6.3
2016,Aug,5608,5265,343,6.1
2016,Sep,5655,5285,370,6.5
2016,Oct,5606,5269,337,6.0
2016,Nov,5601,5273,328,5.9
2016,Dec,5558,5245,313,5.6
2017,Jan,5564,5220,344,6.2
2017,Feb,5640,5316,324,5.7
2017,Mar,5697,5412,285,5.0
2017,Apr,5700,5413,287,5.0
2017,May,5707,5400,307,5.4
2017,Jun,5655,5344,311,5.5
2017,Jul,5594,5273,321,5.7
2017,Aug,5635,5320,315,5.6
2017,Sep,5650,5371,279,4.9
2017,Oct,5659,5388,271,4.8
2017,Nov,5650,5361,289,5.1
2017,Dec,5639,5366,273,4.8
2018,Jan,5517,5219,298,5.4
2018,Feb,5612,5318,294,5.2
2018,Mar,5661,5389,272,4.8
2018,Apr,5653,5401,252,4.5
2018,May,5681,5439,242,4.3
2018,Jun,5642,5361,281,5.0
2018,Jul,5605,5332,273,4.9
2018,Aug,5593,5320,273,4.9
2018,Sep,5629,5365,264,4.7
2018,Oct,5633,5376,257,4.6
2018,Nov,5625,5373,252,4.5
2018,Dec,5585,5335,250,4.5
2019,Jan,5595,5316,279,5.0
2019,Feb,5665,5415,250,4.4
2019,Mar,5747,5478,269,4.7
2019,Apr,5677,5479,198,3.5
2019,May,5697,5492,205,3.6
2019,Jun,5702,5447,255,4.5
2019,Jul,5749,5476,273,4.7
2019,Aug,5793,5525,268,4.6
2019,Sep,5806,5565,241,4.2
2019,Oct,5842,5613,229,3.9
2019,Nov,5798,5571,227,3.9
2019,Dec,5779,5547,232,4.0
2020,Jan,5767,5519,248,4.3
2020,Feb,5806,5576,230,4.0
2020,Mar,5735,5386,349,6.1
2020,Apr,5157,4670,487,9.4
