Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482550000000003,LAUCN482550000000004,LAUCN482550000000005,LAUCN482550000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Karnes County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,4826,4349,477,9.9
2010,Feb,4875,4410,465,9.5
2010,Mar,4876,4436,440,9.0
2010,Apr,4912,4472,440,9.0
2010,May,4868,4433,435,8.9
2010,Jun,4950,4467,483,9.8
2010,Jul,4934,4447,487,9.9
2010,Aug,4814,4352,462,9.6
2010,Sep,4808,4379,429,8.9
2010,Oct,4892,4489,403,8.2
2010,Nov,4856,4451,405,8.3
2010,Dec,4811,4436,375,7.8
2011,Jan,4822,4421,401,8.3
2011,Feb,4852,4470,382,7.9
2011,Mar,4842,4483,359,7.4
2011,Apr,4838,4493,345,7.1
2011,May,4880,4515,365,7.5
2011,Jun,4956,4520,436,8.8
2011,Jul,4957,4525,432,8.7
2011,Aug,4886,4462,424,8.7
2011,Sep,4849,4460,389,8.0
2011,Oct,4887,4536,351,7.2
2011,Nov,4922,4582,340,6.9
2011,Dec,4959,4632,327,6.6
2012,Jan,4951,4618,333,6.7
2012,Feb,4970,4642,328,6.6
2012,Mar,5051,4730,321,6.4
2012,Apr,5123,4829,294,5.7
2012,May,5188,4873,315,6.1
2012,Jun,5280,4903,377,7.1
2012,Jul,5510,5131,379,6.9
2012,Aug,5433,5096,337,6.2
2012,Sep,5464,5155,309,5.7
2012,Oct,5491,5190,301,5.5
2012,Nov,5507,5220,287,5.2
2012,Dec,5487,5202,285,5.2
2013,Jan,5542,5221,321,5.8
2013,Feb,5531,5225,306,5.5
2013,Mar,5537,5227,310,5.6
2013,Apr,5555,5278,277,5.0
2013,May,5582,5282,300,5.4
2013,Jun,5654,5298,356,6.3
2013,Jul,5703,5360,343,6.0
2013,Aug,5649,5336,313,5.5
2013,Sep,5667,5372,295,5.2
2013,Oct,5686,5401,285,5.0
2013,Nov,5679,5415,264,4.6
2013,Dec,5707,5460,247,4.3
2014,Jan,5863,5597,266,4.5
2014,Feb,5965,5703,262,4.4
2014,Mar,6022,5775,247,4.1
2014,Apr,6043,5836,207,3.4
2014,May,6161,5932,229,3.7
2014,Jun,6207,5966,241,3.9
2014,Jul,6558,6305,253,3.9
2014,Aug,6447,6215,232,3.6
2014,Sep,6405,6185,220,3.4
2014,Oct,6607,6392,215,3.3
2014,Nov,6571,6371,200,3.0
2014,Dec,6540,6356,184,2.8
2015,Jan,6549,6331,218,3.3
2015,Feb,6599,6371,228,3.5
2015,Mar,6622,6390,232,3.5
2015,Apr,6588,6341,247,3.7
2015,May,6563,6296,267,4.1
2015,Jun,6505,6209,296,4.6
2015,Jul,6420,6108,312,4.9
2015,Aug,6274,5981,293,4.7
2015,Sep,6234,5935,299,4.8
2015,Oct,6288,5985,303,4.8
2015,Nov,6335,6041,294,4.6
2015,Dec,6153,5887,266,4.3
2016,Jan,6356,6078,278,4.4
2016,Feb,6375,6088,287,4.5
2016,Mar,6240,5927,313,5.0
2016,Apr,6311,5996,315,5.0
2016,May,6285,5986,299,4.8
2016,Jun,6324,5988,336,5.3
2016,Jul,6263,5932,331,5.3
2016,Aug,6167,5840,327,5.3
2016,Sep,6271,5960,311,5.0
2016,Oct,6247,5954,293,4.7
2016,Nov,6238,5945,293,4.7
2016,Dec,6208,5921,287,4.6
2017,Jan,6398,6095,303,4.7
2017,Feb,6384,6121,263,4.1
2017,Mar,6483,6240,243,3.7
2017,Apr,6483,6260,223,3.4
2017,May,6448,6228,220,3.4
2017,Jun,6440,6208,232,3.6
2017,Jul,6492,6262,230,3.5
2017,Aug,6409,6179,230,3.6
2017,Sep,6447,6241,206,3.2
2017,Oct,6448,6270,178,2.8
2017,Nov,6491,6298,193,3.0
2017,Dec,6448,6271,177,2.7
2018,Jan,6571,6376,195,3.0
2018,Feb,6594,6389,205,3.1
2018,Mar,6682,6473,209,3.1
2018,Apr,6860,6681,179,2.6
2018,May,6891,6706,185,2.7
2018,Jun,6897,6680,217,3.1
2018,Jul,6946,6734,212,3.1
2018,Aug,6936,6738,198,2.9
2018,Sep,6905,6720,185,2.7
2018,Oct,7033,6849,184,2.6
2018,Nov,7038,6858,180,2.6
2018,Dec,6982,6805,177,2.5
2019,Jan,7055,6861,194,2.7
2019,Feb,7123,6939,184,2.6
2019,Mar,7066,6894,172,2.4
2019,Apr,7101,6948,153,2.2
2019,May,7091,6933,158,2.2
2019,Jun,7170,6981,189,2.6
2019,Jul,7228,7029,199,2.8
2019,Aug,7181,6995,186,2.6
2019,Sep,7247,7064,183,2.5
2019,Oct,7351,7173,178,2.4
2019,Nov,7343,7159,184,2.5
2019,Dec,7294,7124,170,2.3
2020,Jan,7404,7217,187,2.5
2020,Feb,7435,7245,190,2.6
2020,Mar,7347,7076,271,3.7
2020,Apr,6390,5925,465,7.3
