Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482570000000003,LAUCN482570000000004,LAUCN482570000000005,LAUCN482570000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Kaufman County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,49854,45386,4468,9.0
2010,Feb,49958,45576,4382,8.8
2010,Mar,50143,45810,4333,8.6
2010,Apr,50726,46507,4219,8.3
2010,May,50647,46482,4165,8.2
2010,Jun,50931,46420,4511,8.9
2010,Jul,51239,46704,4535,8.9
2010,Aug,51245,46818,4427,8.6
2010,Sep,51131,46937,4194,8.2
2010,Oct,51195,47058,4137,8.1
2010,Nov,51343,47081,4262,8.3
2010,Dec,51272,47168,4104,8.0
2011,Jan,50922,46566,4356,8.6
2011,Feb,50989,46749,4240,8.3
2011,Mar,51190,47043,4147,8.1
2011,Apr,51223,47258,3965,7.7
2011,May,51361,47322,4039,7.9
2011,Jun,51726,47199,4527,8.8
2011,Jul,51794,47338,4456,8.6
2011,Aug,51710,47395,4315,8.3
2011,Sep,51919,47732,4187,8.1
2011,Oct,51964,47992,3972,7.6
2011,Nov,51803,48054,3749,7.2
2011,Dec,51706,48037,3669,7.1
2012,Jan,51066,47253,3813,7.5
2012,Feb,51306,47553,3753,7.3
2012,Mar,51421,47731,3690,7.2
2012,Apr,51300,47923,3377,6.6
2012,May,51605,48046,3559,6.9
2012,Jun,51932,47959,3973,7.7
2012,Jul,51894,47957,3937,7.6
2012,Aug,51570,47865,3705,7.2
2012,Sep,51724,48343,3381,6.5
2012,Oct,51967,48616,3351,6.4
2012,Nov,51821,48588,3233,6.2
2012,Dec,51896,48614,3282,6.3
2013,Jan,51884,48170,3714,7.2
2013,Feb,51805,48316,3489,6.7
2013,Mar,51863,48473,3390,6.5
2013,Apr,52021,48833,3188,6.1
2013,May,52327,49008,3319,6.3
2013,Jun,52753,49046,3707,7.0
2013,Jul,52831,49269,3562,6.7
2013,Aug,52738,49356,3382,6.4
2013,Sep,52830,49580,3250,6.2
2013,Oct,52543,49388,3155,6.0
2013,Nov,52949,49972,2977,5.6
2013,Dec,52859,50023,2836,5.4
2014,Jan,53101,50067,3034,5.7
2014,Feb,53227,50169,3058,5.7
2014,Mar,53465,50422,3043,5.7
2014,Apr,53270,50740,2530,4.7
2014,May,53440,50731,2709,5.1
2014,Jun,53778,50821,2957,5.5
2014,Jul,54061,50998,3063,5.7
2014,Aug,53938,51017,2921,5.4
2014,Sep,53848,51184,2664,4.9
2014,Oct,53938,51451,2487,4.6
2014,Nov,54079,51636,2443,4.5
2014,Dec,53885,51669,2216,4.1
2015,Jan,54430,51932,2498,4.6
2015,Feb,54498,52174,2324,4.3
2015,Mar,54402,52127,2275,4.2
2015,Apr,54645,52634,2011,3.7
2015,May,54840,52671,2169,4.0
2015,Jun,55124,52724,2400,4.4
2015,Jul,55325,52926,2399,4.3
2015,Aug,55246,53008,2238,4.1
2015,Sep,55199,53004,2195,4.0
2015,Oct,55467,53311,2156,3.9
2015,Nov,55802,53643,2159,3.9
2015,Dec,55859,53831,2028,3.6
2016,Jan,56802,54644,2158,3.8
2016,Feb,57214,55101,2113,3.7
2016,Mar,57356,55158,2198,3.8
2016,Apr,57352,55383,1969,3.4
2016,May,57369,55417,1952,3.4
2016,Jun,57801,55461,2340,4.0
2016,Jul,58208,55785,2423,4.2
2016,Aug,58165,55825,2340,4.0
2016,Sep,58426,56125,2301,3.9
2016,Oct,58552,56316,2236,3.8
2016,Nov,58781,56664,2117,3.6
2016,Dec,58689,56573,2116,3.6
2017,Jan,59553,57193,2360,4.0
2017,Feb,59886,57541,2345,3.9
2017,Mar,59908,57647,2261,3.8
2017,Apr,60004,58027,1977,3.3
2017,May,59860,57824,2036,3.4
2017,Jun,60220,57925,2295,3.8
2017,Jul,60611,58325,2286,3.8
2017,Aug,60490,58214,2276,3.8
2017,Sep,60894,58880,2014,3.3
2017,Oct,60644,58756,1888,3.1
2017,Nov,61088,59100,1988,3.3
2017,Dec,60849,58921,1928,3.2
2018,Jan,62357,60177,2180,3.5
2018,Feb,62952,60706,2246,3.6
2018,Mar,62739,60507,2232,3.6
2018,Apr,62703,60710,1993,3.2
2018,May,62714,60727,1987,3.2
2018,Jun,63225,60811,2414,3.8
2018,Jul,63497,61118,2379,3.7
2018,Aug,62974,60700,2274,3.6
2018,Sep,63293,61146,2147,3.4
2018,Oct,63524,61486,2038,3.2
2018,Nov,63863,61817,2046,3.2
2018,Dec,63848,61733,2115,3.3
2019,Jan,63768,61363,2405,3.8
2019,Feb,63947,61749,2198,3.4
2019,Mar,63841,61698,2143,3.4
2019,Apr,63728,61956,1772,2.8
2019,May,63817,61954,1863,2.9
2019,Jun,64463,62219,2244,3.5
2019,Jul,64944,62608,2336,3.6
2019,Aug,64765,62530,2235,3.5
2019,Sep,65157,63093,2064,3.2
2019,Oct,65371,63313,2058,3.1
2019,Nov,65668,63603,2065,3.1
2019,Dec,65696,63739,1957,3.0
2020,Jan,65566,63326,2240,3.4
2020,Feb,65958,63769,2189,3.3
2020,Mar,64650,61617,3033,4.7
2020,Apr,59641,52754,6887,11.5
